"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","site"
"MacArthur North vs Emerald Reef.51","MacN_Emerald","OG0005766","Ofaveolata027573","Ssiderea042303",-1.27290095588,3.17928510682977,"Threonine dehydratase","Threonine dehydratase","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",3.17928510682977,1.27290095588,1.90638415094977,0.000661781912665859,0.0533456540388644,80.6091146008688,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.52","MacN_Emerald","OG0005767","Ofaveolata006978","Ssiderea027873",2.27802758686962,-1.34786724588888,NA,"Nidogen 2a (osteonidogen)",NA,"Signal transduction mechanisms","Inverse",1.34786724588888,2.27802758686962,0.93016034098074,0.0448882582330931,0.00527196372257942,8.51452335319382,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.53","MacN_Emerald","OG0005806","Ofaveolata022498","Ssiderea015579",-1.85110120644661,2.47405358170474,"calcium ion binding","calcium ion binding",NA,"Function Unknown","Inverse",2.47405358170474,1.85110120644661,0.62295237525813,0.00335696194688302,0.0140896042101927,4.19712955735915,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.54","MacN_Emerald","OG0005954","Ofaveolata031778","Ssiderea006713",-1.42030430164847,3.21595136033296,"ankyrin repeat","ATPase activity, coupled to transmembrane movement of substances","Translation, ribosomal structure and biogenesis","Defense mechanisms","Inverse",3.21595136033296,1.42030430164847,1.79564705868449,0.000608203114371742,0.0379923098353022,62.4664835439839,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.55","MacN_Emerald","OG0006289","Ofaveolata015393","Ssiderea038281",1.53983618266053,-2.34465867617409,"tRNA modification","tRNA modification",NA,"Function Unknown","Inverse",2.34465867617409,1.53983618266053,0.80482249351356,0.00452211209819136,0.0288511957471023,6.38002666025052,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.56","MacN_Emerald","OG0006296","Ofaveolata003309","Ssiderea030049",1.16890169068543,-1.27237031048594,"eukaryotic translation initiation factor","Initiation factor 5a","Translation, ribosomal structure and biogenesis","Translation, ribosomal structure and biogenesis","Inverse",1.27237031048594,1.16890169068543,0.10346861980051,0.0534108745925633,0.0677794919674486,1.26902044732452,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.57","MacN_Emerald","OG0006552","Ofaveolata011110","Ssiderea056770",1.04913381387725,-1.29800023215396,"histidine transport","histidine transport","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",1.29800023215396,1.04913381387725,0.24886641827671,0.0503500339639588,0.0893030282777427,1.77364385377907,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.58","MacN_Emerald","OG0006894","Ofaveolata033691","Ssiderea053633",-4.26089942502724,2.95746445671417,NA,"Von Willebrand factor",NA,"","Inverse",2.95746445671417,4.26089942502724,1.30343496831307,0.00110289849295699,5.48403950937648e-05,20.1110603063906,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.59","MacN_Emerald","OG0006927","Ofaveolata016863","Ssiderea039399",1.19381529796214,-1.00559548862643,"aminopeptidase activity","aminopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.00559548862643,1.19381529796214,0.18821980933571,0.0987198555857548,0.0640006967555749,1.54248095083677,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.60","MacN_Emerald","OG0006971","Ofaveolata008809","Ssiderea008227",-1.16046056754778,1.73225339370353,"belongs to the NAD synthetase family","belongs to the NAD synthetase family","Coenzyme transport and metabolism","Coenzyme transport and metabolism","Inverse",1.73225339370353,1.16046056754778,0.57179282615575,0.0185245047624171,0.0691097675859423,3.7307214671754,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.61","MacN_Emerald","OG0007183","Ofaveolata033224","Ssiderea055305",-1.2095525941643,1.45833697835446,"protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1","protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",NA,"Function Unknown","Inverse",1.45833697835446,1.2095525941643,0.24878438419016,0.0348067137513083,0.0617230539177149,1.77330886100659,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.62","MacN_Emerald","OG0007749","Ofaveolata024406","Ssiderea006083",1.24145703498549,-1.46206309984911,"Putative transmembrane family 234","Transmembrane protein 234",NA,"Function Unknown","Inverse",1.46206309984911,1.24145703498549,0.22060606486362,0.0345093596088068,0.0573512601686397,1.66190450413353,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.63","MacN_Emerald","OG0008011","Ofaveolata005679","Ssiderea016688",1.18143308966207,-2.5508756164013,"RNA binding","RNA binding","RNA processing and modification","RNA processing and modification","Inverse",2.5508756164013,1.18143308966207,1.36944252673923,0.00281270628487585,0.0658516877681302,23.4122162424922,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.64","MacN_Emerald","OG0008364","Ofaveolata034384","Ssiderea052808",-1.27425012329693,1.21353594378397,NA,"positive regulation of interleukin-6-mediated signaling pathway",NA,"Transcription","Inverse",1.21353594378397,1.27425012329693,0.0607141795129602,0.0611595183027919,0.0531801890295993,1.15004326646435,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.65","MacN_Emerald","OG0008410","Ofaveolata005622","Ssiderea053041",1.44079900059809,-1.1421541391673,"Belongs to the peroxisomal membrane protein PXMP2 4 family","Mpv17 / PMP22 family","Energy production and conversion","Function Unknown","Inverse",1.1421541391673,1.44079900059809,0.29864486143079,0.0720851590175371,0.0362410689881142,1.98904615758378,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.66","MacN_Emerald","OG0008524","Ofaveolata004630","Ssiderea016539",-1.35518154971729,2.96022872933356,"microtubule motor activity","microtubule motor activity","Cytoskeleton","Cytoskeleton","Inverse",2.96022872933356,1.35518154971729,1.60504717961627,0.00109590086738192,0.044138589461478,40.2760785899585,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.67","MacN_Emerald","OG0008541","Ofaveolata002461","Ssiderea024988",-1.73313014217237,1.97261423040653,"ephrin receptor binding","ephrin receptor binding","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",1.97261423040653,1.73313014217237,0.23948408823416,0.0106508868162493,0.0184871454383017,1.73573766741162,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.68","MacN_Emerald","OG0008966","Ofaveolata024196","Ssiderea005677",1.23849295410578,-2.11227683504466,"Armadillo repeat containing 1","Armadillo repeat containing 1",NA,"Function Unknown","Inverse",2.11227683504466,1.23849295410578,0.87378388093888,0.00772188207429726,0.0577440240896225,7.47797279653193,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.69","MacN_Emerald","OG0008969","Ofaveolata000728","Ssiderea044862",-1.00237784367629,1.23043831963653,"translation regulator activity","translation regulator activity","RNA processing and modification","RNA processing and modification","Inverse",1.23043831963653,1.00237784367629,0.22806047596024,0.058824965394733,0.0994539774117887,1.69067634369902,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.70","MacN_Emerald","OG0009047","Ofaveolata017639","Ssiderea046884",-1.32177864189853,3.91386618343337,"G protein-coupled receptor 180","G protein-coupled receptor 180",NA,"Function Unknown","Inverse",3.91386618343337,1.32177864189853,2.59208754153484,0.00012193652567861,0.0476673883605674,390.919686248935,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.71","MacN_Emerald","OG0009065","Ofaveolata003292","Ssiderea030069",1.53456968180464,-1.02811039894076,"phosphopyruvate hydratase activity","phosphopyruvate hydratase activity","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism","Inverse",1.02811039894076,1.53456968180464,0.50645928286388,0.0937323706182625,0.0292031916241516,3.2096618693124,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.72","MacN_Emerald","OG0009081","Ofaveolata027902","Ssiderea042436",-1.54287293341942,1.01391621192827,"Glycine dehydrogenase (decarboxylating)","Glycine dehydrogenase (decarboxylating)","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",1.01391621192827,1.54287293341942,0.52895672149115,0.0968464683321098,0.0286501609832505,3.38031148895562,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.73","MacN_Emerald","OG0010060","Ofaveolata006485","Ssiderea010064",1.03460261094833,-1.09154960714872,NA,"CREB ATF bZIP transcription factor",NA,"Transcription","Inverse",1.09154960714872,1.03460261094833,0.0569469962003901,0.0809935421781119,0.0923415986741849,1.14011063340232,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.74","MacN_Emerald","OG0010399","Ofaveolata001155","Ssiderea029395",-1.93208929428172,1.35347678552925,"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity","Alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity. It is involved in the biological process described with oligosaccharide biosynthetic process","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism","Inverse",1.35347678552925,1.93208929428172,0.57861250875247,0.0443121900181591,0.0116925895767933,3.78976699106135,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.75","MacN_Emerald","OG0010400","Ofaveolata022918","Ssiderea014951",1.00500570615161,-3.78305208258116,"Trypsin-like serine protease","Trypsin-like serine protease","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",3.78305208258116,1.00500570615161,2.77804637642955,0.000164796474820258,0.0988540106242371,599.85512877054,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.76","MacN_Emerald","OG0010600","Ofaveolata016823","Ssiderea054550",-1.66200066423025,1.20872612491327,"eukaryotic translation initiation factor","RNA strand-exchange activity","RNA processing and modification","RNA processing and modification","Inverse",1.20872612491327,1.66200066423025,0.45327453931698,0.0618406256981344,0.0217770644166474,2.83971358650436,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.77","MacN_Emerald","OG0011010","Ofaveolata018309","Ssiderea018632",1.28872678048155,-1.38802885131654,"propionyl-CoA carboxylase activity","propionyl-CoA carboxylase activity","","","Inverse",1.38802885131654,1.28872678048155,0.0993020708349899,0.0409233472378724,0.05143671439416,1.25690389144312,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.78","MacN_Emerald","OG0011070","Ofaveolata011236","Ssiderea051431",1.06810460777502,-9.15576233592534,"glycerate dehydrogenase activity","glycerate dehydrogenase activity","Energy production and conversion","Energy production and conversion","Inverse",9.15576233592534,1.06810460777502,8.08765772815032,6.98614610573831e-10,0.0854860779218723,122365144.713557,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.79","MacN_Emerald","OG0011360","Ofaveolata025862","Ssiderea055489",-2.23721805304699,2.00365849060725,"homologous chromosome movement towards spindle pole involved in homologous chromosome segregation","homologous chromosome movement towards spindle pole involved in homologous chromosome segregation","","","Inverse",2.00365849060725,2.23721805304699,0.23355956243974,0.00991611396411235,0.00579137846588736,1.71221998743834,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.80","MacN_Emerald","OG0011426","Ofaveolata016294","Ssiderea052675",1.49169380625313,-1.13001565937037,NA,"Cytochrome p-450",NA,"Secondary metabolites biosynthesis, transport and catabolism","Inverse",1.13001565937037,1.49169380625313,0.36167814688276,0.0741283512335133,0.0322334056521531,2.29973686409279,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.81","MacN_Emerald","OG0011947","Ofaveolata026506","Ssiderea021770",-1.36171878915525,1.38570964775809,"U6 snRNA binding","U6 snRNA binding","RNA processing and modification","RNA processing and modification","Inverse",1.38570964775809,1.36171878915525,0.0239908586028399,0.0411424691574924,0.0434791665820582,1.05679526466001,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.82","MacN_Emerald","OG0012143","Ofaveolata002328","Ssiderea012842",-1.23968223365667,3.8705298727585,NA,"Lactose-binding lectin l-2-like",NA,"Signal transduction mechanisms","Inverse",3.8705298727585,1.23968223365667,2.63084763910183,0.000134731804746663,0.0575861131630062,427.412913166907,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.83","MacN_Emerald","OG0012179","Ofaveolata002556","Ssiderea013067",6.29495813272127,-4.12755595276766,"dihydrofolate reductase activity","dihydrofolate reductase activity","Coenzyme transport and metabolism","Coenzyme transport and metabolism","Inverse",4.12755595276766,6.29495813272127,2.16740217995361,7.45493819392174e-05,5.07039586041645e-07,147.028721211315,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.84","MacN_Emerald","OG0012242","Ofaveolata034333","Ssiderea052907",-2.32200390533059,1.17908998859615,"carbohydrate binding","carbohydrate binding",NA,"Function Unknown","Inverse",1.17908998859615,2.32200390533059,1.14291391673444,0.0662079302418969,0.00476426702587636,13.8967715038429,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.85","MacN_Emerald","OG0012318","Ofaveolata007200","Ssiderea009898",4.2160103769129,-1.13467103956286,"Papain family cysteine protease","Papain family cysteine protease","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.13467103956286,4.2160103769129,3.08133933735004,0.073337982824936,6.08120470841856e-05,1205.97786690867,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.86","MacN_Emerald","OG0012425","Ofaveolata033404","Ssiderea040239",1.31044501824895,-2.71339951995481,"beta-tubulin binding","Leucine-rich PPR motif-containing protein","Transcription","RNA processing and modification","Inverse",2.71339951995481,1.31044501824895,1.40295450170586,0.00193464141293712,0.0489277203786071,25.2903303172479,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.87","MacN_Emerald","OG0012535","Ofaveolata015180","Ssiderea051132",-2.53045136489707,1.32641199826947,"calcium ion-regulated exocytosis of neurotransmitter","calcium ion-regulated exocytosis of neurotransmitter",NA,"Function Unknown","Inverse",1.32641199826947,2.53045136489707,1.2040393666276,0.0471615425783309,0.00294814361029626,15.9970302713956,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.88","MacN_Emerald","OG0012655","Ofaveolata004748","Ssiderea010924",1.03098256826516,-1.52760322741467,NA,"cyclin binding",NA,"Function Unknown","Inverse",1.52760322741467,1.03098256826516,0.49662065914951,0.0296754130501431,0.0931145249074933,3.1377667684071,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.89","MacN_Emerald","OG0013076","Ofaveolata026686","Ssiderea002294",1.09568790431953,-4.86537208139985,"gamma-glutamylcyclotransferase activity","PFAM AIG2 family protein","Inorganic ion transport and metabolism","Nucleotide transport and metabolism","Inverse",4.86537208139985,1.09568790431953,3.76968417708032,1.36341453190767e-05,0.0802254377830973,5884.15598525617,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.90","MacN_Emerald","OG0000288","Ofaveolata014826","Ssiderea60736",-1.11546257944564,-4.59989941677139,"DNA topoisomerase type I activity","DNA topoisomerase type I activity","Replication, recombination and repair","Replication, recombination and repair","Direct",4.59989941677139,1.11546257944564,3.48443683732575,2.5124682554043e-05,0.0766544585873022,3050.96227275385,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.91","MacN_Emerald","OG0001629","Ofaveolata005498","Ssiderea010414",-1.18064187400286,-3.2568617783145,"AMP catabolic process","AMP catabolic process","Nucleotide transport and metabolism","Nucleotide transport and metabolism","Direct",3.2568617783145,1.18064187400286,2.07621990431164,0.000553526250429998,0.0659717684487597,119.184534423635,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.92","MacN_Emerald","OG0002308","Ofaveolata005310","Ssiderea015840",-1.00003158664507,-4.86440392972236,"E3 ubiquitin-protein ligase parkin","E3 ubiquitin-protein ligase parkin","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Direct",4.86440392972236,1.00003158664507,3.86437234307729,1.366457316268e-05,0.0999927271706755,7317.66195549896,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.93","MacN_Emerald","OG0005913","Ofaveolata024345","Ssiderea006219",-1.20513342063741,-5.90301332407534,"negative regulation of negative chemotaxis","negative regulation of negative chemotaxis","Amino acid transport and metabolism","Amino acid transport and metabolism","Direct",5.90301332407534,1.20513342063741,4.69787990343793,1.25022067308755e-06,0.062354324585572,49874.6548731926,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.94","MacN_Emerald","OG0006310","Ofaveolata000974","Ssiderea022465",-1.1134266916003,-4.61857683781526,"cerebellar granular layer formation","cerebellar granular layer formation","Signal transduction mechanisms","Signal transduction mechanisms","Direct",4.61857683781526,1.1134266916003,3.50515014621496,2.40670667333833e-05,0.0770146433201156,3200.00123709671,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.95","MacN_Emerald","OG0006537","Ofaveolata029067","Ssiderea013770",-1.07437440122241,-3.1965268520175,"Galactose-3-O-sulfotransferase","Galactose-3-O-sulfotransferase",NA,"Function Unknown","Direct",3.1965268520175,1.07437440122241,2.12215245079509,0.000636023478890737,0.0842608040028251,132.480650163703,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.96","MacN_Emerald","OG0007901","Ofaveolata036110","Ssiderea052336",-1.00842472502791,-4.66024443354892,"Transposase IS4","Transposase IS4",NA,"Function Unknown","Direct",4.66024443354892,1.00842472502791,3.65181970852101,2.18653063461271e-05,0.0980788296711439,4485.59138017823,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.97","MacN_Emerald","OG0013170","Ofaveolata009169","Ssiderea051634",1.06188839507045,7.35233367897612,"aspartate N-acetyltransferase activity","aspartate N-acetyltransferase activity",NA,"Function Unknown","Direct",7.35233367897612,1.06188839507045,6.29044528390567,4.44289777694348e-08,0.0867184696117423,1951844.808624,"DirectDiscordant","Direct (discordant significance)","Ofav >> Ssid",2,2,1.3,100,"MacArthur North vs Emerald Reef"
"MacArthur North vs Rainbow Reef.1","MacN_Rainbow","OG0000159","Ofaveolata035798","Ssiderea034404",-1.56877928527034,1.25621962974871,"carbohydrate binding","carbohydrate binding","","","Inverse",1.25621962974871,1.56877928527034,0.31255965552163,0.0554345300668545,0.0269911081104459,2.05380712196106,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.2","MacN_Rainbow","OG0000217","Ofaveolata002958","Ssiderea023623",-1.23994879799465,2.26713230662688,NA,"endocytosis",NA,"Signal transduction mechanisms","Inverse",2.26713230662688,1.23994879799465,1.02718350863223,0.00540589608710252,0.0575507783964009,10.6459276073964,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.3","MacN_Rainbow","OG0000233","Ofaveolata024356","Ssiderea045997",1.60643461726735,-4.72739981779107,"FAD dependent oxidoreductase","FAD dependent oxidoreductase","Amino acid transport and metabolism","Amino acid transport and metabolism","Inverse",4.72739981779107,1.60643461726735,3.12096520052372,1.87326915527706e-05,0.0247494403439342,1321.18976465364,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.4","MacN_Rainbow","OG0000237","Ofaveolata027123","Ssiderea025805",-1.05189530108983,1.03076976058097,"Receptor-type tyrosine-protein phosphatase","Receptor-type tyrosine-protein phosphatase","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",1.03076976058097,1.05189530108983,0.02112554050886,0.0931601629316923,0.0887369911750173,1.04984586132688,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.5","MacN_Rainbow","OG0000421","Ofaveolata032911","Ssiderea027777",-1.21101482423889,1.16955905963849,"guanylate cyclase activity","Adenylyl- / guanylyl cyclase, catalytic domain","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",1.16955905963849,1.21101482423889,0.0414557646004001,0.0676769752849069,0.0615155874576898,1.1001597819651,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.6","MacN_Rainbow","OG0000444","Ofaveolata026424","Ssiderea038632",-3.32503498122226,8.01788115735288,"zinc ion binding","zinc ion binding","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",8.01788115735288,3.32503498122226,4.69284617613062,9.59663202921001e-09,0.000473113149467866,49299.9156399677,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.7","MacN_Rainbow","OG0000570","Ofaveolata001035","Ssiderea022318",1.57803641301286,-2.69024188695207,"fibroblast growth factor-activated receptor activity","fibroblast growth factor-activated receptor activity","Signal transduction mechanisms","Signal transduction mechanisms","Inverse",2.69024188695207,1.57803641301286,1.11220547393921,0.00204060108412834,0.0264218721632954,12.9480829784925,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.8","MacN_Rainbow","OG0000616","Ofaveolata024831","Ssiderea016706",-1.76498701264041,1.98395557548671,NA,"C-terminal of Roc, COR, domain",NA,"Signal transduction mechanisms","Inverse",1.98395557548671,1.76498701264041,0.2189685628463,0.0103763455129587,0.0171795976111812,1.65565011204823,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.9","MacN_Rainbow","OG0000633","Ofaveolata019961","Ssiderea057815",1.44691315163294,-2.61773715137153,"ATP-binding cassette, subfamily B (MDR TAP), member","ATP-binding cassette, subfamily B (MDR TAP), member","Secondary metabolites biosynthesis, transport and catabolism","Secondary metabolites biosynthesis, transport and catabolism","Inverse",2.61773715137153,1.44691315163294,1.17082399973859,0.00241136442043234,0.0357344291201803,14.8191740814411,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.10","MacN_Rainbow","OG0000861","Ofaveolata027502","Ssiderea047867",-1.76910118677219,3.81306703436712,"Belongs to the peptidase M10A family","Belongs to the peptidase M10A family","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",3.81306703436712,1.76910118677219,2.04396584759493,0.000153791724086561,0.0170176196671821,110.653676381206,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.11","MacN_Rainbow","OG0001035","Ofaveolata013447","Ssiderea000550",-1.8550501207852,3.27563052249445,"ammonium transmembrane transporter activity","ammonium transmembrane transporter activity","Inorganic ion transport and metabolism","Inorganic ion transport and metabolism","Inverse",3.27563052249445,1.8550501207852,1.42058040170925,0.000530114248600166,0.0139620721915052,26.3378549593296,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.12","MacN_Rainbow","OG0001060","Ofaveolata021998","Ssiderea023406",1.39149813585305,-6.65049518484774,"tumor necrosis factor-activated receptor activity","Tumor necrosis factor receptor / nerve growth factor receptor repeats.","Signal transduction mechanisms","Function Unknown","Inverse",6.65049518484774,1.39149813585305,5.25899704899469,2.23616999166774e-07,0.0405977405847779,181550.332649353,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.13","MacN_Rainbow","OG0001173","Ofaveolata030656","Ssiderea013904",-1.64856059357195,9.74810932675267,"Crystallin, zeta (quinone reductase)","Crystallin, zeta (quinone reductase)","Energy production and conversion","Energy production and conversion","Inverse",9.74810932675267,1.64856059357195,8.09954873318072,1.78603791151937e-10,0.0224615336664319,125761796.66491,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.14","MacN_Rainbow","OG0001510","Ofaveolata026785","Ssiderea018341",1.88410249066145,-3.12548518765226,"dipeptidyl-peptidase activity","dipeptidyl-peptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",3.12548518765226,1.88410249066145,1.24138269699081,0.000749056905927592,0.0130586267670192,17.4334241680185,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
"MacArthur North vs Rainbow Reef.15","MacN_Rainbow","OG0001866","Ofaveolata019305","Ssiderea043956",-1.31257908174085,1.28146988006201,"serine-type endopeptidase activity","serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",1.28146988006201,1.31257908174085,0.0311092016788401,0.05230342392946,0.048687886013503,1.07425949680695,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Rainbow Reef"
