"","comparison","Orthogroup","Protein_ofav","Protein_ssid","lpv_ssid","lpv_ofav","annot_ofav","annot_ssid","KOG_ofav","KOG_ssid","rel_class","abs_ofav","abs_ssid","delta_log10p","p_ofav","p_ssid","p_ratio","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","site"
"MacArthur North vs Emerald Reef.13","MacN_Emerald","OG0001562","Ofaveolata015523","Ssiderea056865",1.32504917322599,-3.19615725709103,NA,"GTPase activity",NA,"Function Unknown","Inverse",3.19615725709103,1.32504917322599,1.87110808386504,0.000636564980370999,0.0473097689188827,74.3204077788098,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.14","MacN_Emerald","OG0001593","Ofaveolata014508","Ssiderea046106",3.47701308253445,-1.19056579852984,NA,"Death effector domain",NA,"Function Unknown","Inverse",1.19056579852984,3.47701308253445,2.28644728400461,0.0644813618874608,0.000333416368894355,193.395909448861,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.15","MacN_Emerald","OG0001758","Ofaveolata026913","Ssiderea017924",-1.39395553995979,2.17669237676039,NA,"lipoprotein receptor-related protein 2",NA,"Signal transduction mechanisms","Inverse",2.17669237676039,1.39395553995979,0.7827368368006,0.00665744555195167,0.0403686717483064,6.06368785644399,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.16","MacN_Emerald","OG0001872","Ofaveolata029158","Ssiderea058945",-1.19719153465703,2.54754895768778,"G-protein coupled receptor activity","G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",2.54754895768778,1.19719153465703,1.35035742303075,0.00283433410314458,0.0635050796903098,22.4056435759826,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.17","MacN_Emerald","OG0001882","Ofaveolata009900","Ssiderea054746",-1.07705856622978,1.18917799843419,"UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide","UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4","Carbohydrate transport and metabolism","Carbohydrate transport and metabolism","Inverse",1.18917799843419,1.07705856622978,0.11211943220441,0.0646877434461322,0.083741634579629,1.29455179788987,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.18","MacN_Emerald","OG0002119","Ofaveolata014701","Ssiderea004568",-3.19161257518371,4.23111754491791,"temperature-gated cation channel activity","Transient receptor potential cation channel, subfamily A, member","Cytoskeleton","Function Unknown","Inverse",4.23111754491791,3.19161257518371,1.0395049697342,5.87330365837261e-05,0.000643261301083257,10.9522908825983,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.19","MacN_Emerald","OG0002165","Ofaveolata005122","Ssiderea010612",-1.03938064350447,1.61929791370047,NA,"sterile alpha motif",NA,"Function Unknown","Inverse",1.61929791370047,1.03938064350447,0.579917270196,0.0240271404086581,0.0913312405071546,3.8011698002249,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.20","MacN_Emerald","OG0002169","Ofaveolata007407","Ssiderea044665",1.09388790156898,-2.19840364424332,NA,"phosphatidylserine exposure on apoptotic cell surface",NA,"Function Unknown","Inverse",2.19840364424332,1.09388790156898,1.10451574267434,0.00633280850456078,0.0805586349233774,12.7208386082353,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.21","MacN_Emerald","OG0002175","Ofaveolata003889","Ssiderea030331",1.74913787639864,-1.10256169545684,"DNA-directed 5'-3' RNA polymerase activity","G-protein coupled receptor activity","Transcription","Posttranslational modification, protein turnover, chaperones","Inverse",1.10256169545684,1.74913787639864,0.6465761809418,0.0789656663564624,0.0178181300165836,4.43175946538542,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.22","MacN_Emerald","OG0002272","Ofaveolata017458","Ssiderea041651",1.1929622063679,-1.35883825508323,NA,"PFAM SMP-30 Gluconolaconase",NA,"Secondary metabolites biosynthesis, transport and catabolism","Inverse",1.35883825508323,1.1929622063679,0.16587604871533,0.0437685082490437,0.064126537902871,1.46512962100489,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.23","MacN_Emerald","OG0002275","Ofaveolata024347","Ssiderea005820",-1.10521813589607,2.13783432643322,"e3 ubiquitin-protein ligase","e3 ubiquitin-protein ligase","Posttranslational modification, protein turnover, chaperones","Posttranslational modification, protein turnover, chaperones","Inverse",2.13783432643322,1.10521813589607,1.03261619053715,0.00728057489108256,0.0784841328266949,10.7799362002064,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.24","MacN_Emerald","OG0002478","Ofaveolata033066","Ssiderea026130",3.16878517205682,-2.93603578927181,"HD domain","HD domain",NA,"Function Unknown","Inverse",2.93603578927181,3.16878517205682,0.23274938278501,0.00115868186774636,0.000677976792420095,1.70902880555888,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.25","MacN_Emerald","OG0002804","Ofaveolata010953","Ssiderea057082",3.47449441629965,-1.90960405963638,"GTPase activity","GTPase activity",NA,"Function Unknown","Inverse",1.90960405963638,3.47449441629965,1.56489035666327,0.0123139090153115,0.000335355616071618,36.7189586969127,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
"MacArthur North vs Emerald Reef.26","MacN_Emerald","OG0002863","Ofaveolata024078","Ssiderea005462",1.4125933319277,-3.21954809071528,"RNA-directed 5'-3' RNA polymerase activity","AAA domain","Translation, ribosomal structure and biogenesis","Replication, recombination and repair","Inverse",3.21954809071528,1.4125933319277,1.80695475878758,0.000603186911553769,0.0386728935834028,64.1142784146028,"Inverse","Inverse",NA,NA,NA,NA,NA,"MacArthur North vs Emerald Reef"
