"","V1","V2","V3","V4"
"1","OG0000133","ATPase activity, coupled to transmembrane movement of substances / Multidrug resistance-associated protein 1","-4.31846712099319","-4.06149260023419"
"2","OG0000222","thioesterase binding / thioesterase binding","-1.99742786720232","-1.18259039448281"
"3","OG0000365","heat shock / heat shock","1.4020097179873","3.01942345770594"
"4","OG0000418","CUB and zona pellucida-like domain-containing protein / NA","-1.22214447919114","-1.85137941884514"
"5","OG0000523","plasma membrane repair / plasma membrane repair","2.11779411380012","1.82030876375679"
"6","OG0000778","complement activation, classical pathway / carbohydrate binding","2.67185909835622","-1.64575855628707"
"7","OG0000875","homophilic cell adhesion via plasma membrane adhesion molecules / homophilic cell adhesion via plasma membrane adhesion molecules","-3.0907122948235","-2.11346585874143"
"8","OG0000877","glutamic-type peptidase activity / glutamic-type peptidase activity","2.10166187024623","-1.75621734493019"
"9","OG0001035","ammonium transmembrane transporter activity / ammonium transmembrane transporter activity","-9.27048457168282","-1.19067379644702"
"10","OG0001054","lens fiber cell differentiation / V-maf avian musculoaponeurotic fibrosarcoma oncogene homolog","3.33285214679354","1.91135735250029"
"11","OG0001060","Tumor necrosis factor receptor / nerve growth factor receptor repeats. / tumor necrosis factor-activated receptor activity","2.72865859489872","1.51079922460886"
"12","OG0001085","Sterol-sensing domain of SREBP cleavage-activation / Sterol-sensing domain of SREBP cleavage-activation","-8.10373712192794","-5.94439728029026"
"13","OG0001245","ATPase activity, coupled to transmembrane movement of substances / ATPase activity, coupled to transmembrane movement of substances","-1.53053074456463","-4.60513065940305"
"14","OG0001372","alpha-L-fucosidase activity / alpha-L-fucosidase activity","-1.11848721967449","-3.27069033361303"
"15","OG0001377","antigen processing and presentation of exogenous peptide antigen via MHC class I / antigen processing and presentation of exogenous peptide antigen via MHC class I","-2.80021148904059","-7.27949602237853"
"16","OG0001411","transmembrane transport / thyroid hormone transmembrane transporter activity","-1.94983963215935","-2.0625529535054"
