"","V1","V2","V3","V4"
"52","OG0004166","Myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) / Myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)","-1.29928850328781","-1.10006206217316"
"53","OG0004183","calcium, potassium:sodium antiporter activity / calcium, potassium:sodium antiporter activity","-3.51674122110857","-3.01044833693964"
"54","OG0004231","Belongs to the 5'-nucleotidase family / Belongs to the 5'-nucleotidase family","-1.09853764433641","-1.07061486201793"
"55","OG0004276","recombination hotspot binding / recombination hotspot binding","-7.66361131179225","-1.6745960398214"
"56","OG0004300","adenosine kinase activity / adenosine kinase activity","-7.62010350367919","-3.46083734522521"
"57","OG0004341","Activating molecule in BECN1-regulated autophagy protein / Activating molecule in BECN1-regulated autophagy protein","-1.42677434788817","-4.42698167894511"
"58","OG0004388","enhancer sequence-specific DNA binding / enhancer sequence-specific DNA binding","2.58759014539517","7.30209524446606"
"59","OG0004437","abducens nerve formation / abducens nerve formation","3.08085603697704","7.09856356143612"
"60","OG0004469","Nucleoporin / Nucleoporin","-2.5807801749579","-2.39761106028836"
"61","OG0004489","protein phosphatase inhibitor activity / protein phosphatase inhibitor activity","2.87379248753139","4.6263524930406"
"62","OG0004522","ubiquitin binding / NA","-6.96132628847205","-5.33233982788927"
"63","OG0004546","Hemicentin 1 / NA","2.06362104922779","2.57001186825353"
"64","OG0004551","Ubiquitin-conjugating enzyme / Ubiquitin-conjugating enzyme","-2.08900600051838","-1.48940008555429"
"65","OG0004565","Sulfide quinone / Sulfide quinone","4.32587369955358","5.46545563253685"
"66","OG0004628","glycerol ether metabolic process / glycerol ether metabolic process","-1.44646045014902","-4.52698156232055"
"67","OG0004650","ATPase activity, coupled to transmembrane movement of substances / ATPase activity, coupled to transmembrane movement of substances","-13.8371926352842","-11.7019991620187"
"68","OG0004661","ATP-dependent chromatin remodeling / ATP-dependent chromatin remodeling","-2.3189283754086","-10.9181636102557"
"69","OG0004694","intracellular chloride channel activity / intracellular chloride channel activity","1.37676642960554","3.24880075077759"
"70","OG0004710","cyclin-dependent protein serine/threonine kinase activity / cyclin-dependent protein serine/threonine kinase activity","1.83117819729227","2.09455452287841"
"71","OG0004721","cytoskeletal anchoring at plasma membrane / cytoskeletal anchoring at plasma membrane","1.90228287632674","3.33204597525771"
"72","OG0004739","calcium ion binding / calcium ion binding","-1.0852379690072","-3.62872172044744"
"73","OG0004911","phosphatidic acid transporter activity / phosphatidic acid transporter activity","1.83173179921345","1.26741678872645"
"74","OG0004978","Histone H1-delta-like / Histone H1-delta-like","5.97598079311279","9.94799586754967"
"75","OG0005009","Signal peptide, CUB and EGF-like domain-containing protein 3 / positive regulation of smoothened signaling pathway","1.49583064959989","1.12971647638943"
"76","OG0005030","O-acyltransferase / O-acyltransferase","-1.37121235746341","-1.92818681643448"
"77","OG0005039","calcium ion-regulated exocytosis of neurotransmitter / NA","3.56516867657028","3.35001214709298"
"78","OG0005081","SH2B adapter protein / Signal transducer activity. It is involved in the biological process described with intracellular signal transduction","-1.42677434788817","-2.63740937319113"
"79","OG0005139","glutamate synthase (NADH) activity. It is involved in the biological process described with oxidation-reduction process / GXGXG motif","-2.55389826026888","-25.4082604833148"
"80","OG0005204","Belongs to the G-protein coupled receptor 2 family / adenylate cyclase-activating G-protein coupled receptor signaling pathway","4.66305353079932","1.25594288309782"
"81","OG0005250","PFAM FAD linked oxidase domain protein / Belongs to the oxygen-dependent FAD-linked oxidoreductase family","-1.69686530234982","7.85730709800244"
"82","OG0005407","glycine biosynthetic process from serine / glycine biosynthetic process from serine","-3.26267588939362","-6.52014102941643"
"83","OG0005424","regulation of T cell differentiation in thymus / regulation of T cell differentiation in thymus","-1.98325397065186","-4.3961723198934"
"84","OG0005451","Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (ESCRT-0 complex). The ESCRT-0 complex binds ubiquitin and acts as sorting machinery that recognizes ubiquitinated receptors and transfers them to further sequential lysosomal sorting trafficking processes. May contribute to the efficient recruitment of SMADs to the activin receptor complex. Involved in receptor recycling via its association with the CART complex, a multiprotein complex required for efficient transferrin receptor recycling but not for EGFR degradation / Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (ESCRT-0 complex). The ESCRT-0 complex binds ubiquitin and acts as sorting machinery that recognizes ubiquitinated receptors and transfers them to further sequential lysosomal sorting trafficking processes. May contribute to the efficient recruitment of SMADs to the activin receptor complex. Involved in receptor recycling via its association with the CART complex, a multiprotein complex required for efficient transferrin receptor recycling but not for EGFR degradation","-1.01061489557095","-1.64514269699069"
"85","OG0005469","intracellular distribution of mitochondria / intracellular distribution of mitochondria","-1.01218285573676","-2.25009507882548"
"86","OG0005521","suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) / Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)","2.51041011076221","3.53735941661921"
"87","OG0005544","homolog subfamily C member 7 / homolog subfamily C member 7","-1.03178550397199","-2.09372339887033"
"88","OG0005579","metal ion binding / metal ion binding","-1.80786649178062","1.23554711289368"
"89","OG0005685","Transcriptional regulatory protein LGE1 / NA","1.44534416196069","1.53660965952536"
"90","OG0005698","FMN transmembrane transporter activity / FMN transmembrane transporter activity","-2.90738580065584","-2.71542887128826"
"91","OG0005716","EF-hand domain family, member / EF-hand domain family, member","2.14146727540729","2.3120412054822"
"92","OG0005720","phosphatidate cytidylyltransferase activity / phosphatidate cytidylyltransferase activity","-1.01992512009738","-1.3357132066082"
"93","OG0005731","nuclear protein 1 / nuclear protein 1","-4.40298858586783","-1.118499701443"
"94","OG0005832","regulation of mRNA export from nucleus / regulation of mRNA export from nucleus","1.25100176612806","3.01605928696696"
"95","OG0005900","SMG6 nonsense mediated mRNA decay factor / nonsense mediated mRNA decay factor","-1.94392258861708","1.28209283806745"
"96","OG0005958","phosphatase, non-receptor type / phosphatase, non-receptor type","-1.08336653311949","1.86766347975143"
"97","OG0005967","Solute carrier family 35 / Solute carrier family 35","-1.98325397065186","-10.5503672684561"
"98","OG0005974","glutamine biosynthetic process / glutamine biosynthetic process","2.68929706656794","-1.19658045323465"
"99","OG0006010","quinone binding / quinone binding","2.76278412106762","-3.6749080603235"
"100","OG0006020","Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis / Catalyzes conversion of folates to polyglutamate derivatives allowing concentration of folate compounds in the cell and the intracellular retention of these cofactors, which are important substrates for most of the folate-dependent enzymes that are involved in one-carbon transfer reactions involved in purine, pyrimidine and amino acid synthesis","-1.55045614460406","-6.25315851217837"
"101","OG0006039","Luc7-like protein 3 / Luc7-like protein 3","1.79726477216643","1.23790533196721"
"102","OG0006049","N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity / N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity","4.75482456926668","3.27914824429758"
"103","OG0006060","TNFR/NGFR cysteine-rich region / NA","-1.52566141348148","-1.44411808530973"
"104","OG0006063","negative regulation of glucocorticoid receptor signaling pathway / negative regulation of glucocorticoid receptor signaling pathway","-14.2981846698353","-2.3570941335182"
"105","OG0006103","lethal(3)malignant brain tumor-like protein / lethal(3)malignant brain tumor-like protein","1.77986462450471","1.88992380078415"
"106","OG0006119","Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily / Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily","-1.40721058136003","2.29599637085655"
"107","OG0006214","endoplasmic reticulum-plasma membrane tethering / endoplasmic reticulum-plasma membrane tethering","5.57271557869427","4.37508864711288"
"108","OG0006224","iron-sulfur cluster assembly / iron-sulfur cluster assembly","1.21745520166079","-1.28245890960159"
"109","OG0006254","Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide / Non-lysosomal glucosylceramidase that catalyzes the conversion of glucosylceramide to free glucose and ceramide","-1.60396699722644","-5.23142822558764"
"110","OG0006285","Myosin, light / Myosin, light","1.51016008938342","-1.51435415830404"
"111","OG0006287","Zinc ion binding / Zinc ion binding","-2.16573044678179","-1.09754580953285"
"112","OG0006296","Initiation factor 5a / eukaryotic translation initiation factor","-18.9772639307866","-6.14429538582946"
"113","OG0006306","glutamate dehydrogenase [NAD(P)+] activity / RNA recognition motif","-1.05785556056404","-1.36300031409398"
"114","OG0006321","Marginal zone B and / Marginal zone B and","12.3626032359784","-3.2007500724123"
"115","OG0006384","defense response to fungus / defense response to fungus","-1.73187641940453","-6.73157860095075"
"116","OG0006545","Stress-induced-phosphoprotein 1 (Hsp70 Hsp90-organizing protein) / stress-induced-phosphoprotein 1","2.09838183132969","2.2118431808244"
