"","V1","V2","V3","V4"
"1","OG0000430","Cell adhesion molecule / NA","-1.22057071040207","2.84316654282264"
"2","OG0001067","serine-type endopeptidase activity / serine-type endopeptidase activity","1.00566458340304","1.02742320745488"
"3","OG0001357","Belongs to the peptidase S1 family / Belongs to the peptidase S1 family","1.55323271198332","1.21317102157592"
"4","OG0001518","Belongs to the peptidase S1 family / Belongs to the peptidase S1 family","1.36258957846457","1.19376770569736"
"5","OG0001686","PX domain / PX domain","-1.21987981328492","-2.66394824306671"
"6","OG0002369","Eps15 homology domain / calcium ion binding","1.3145652820879","-1.19376770569736"
"7","OG0002827","structural constituent of cuticle / negative chemotaxis","2.01631314792157","1.49062191343209"
"8","OG0003251","endoribonuclease activity / Endoribonuclease XendoU","2.58401812207852","1.73894530485947"
"9","OG0004246","metalloendopeptidase activity / metalloendopeptidase activity","1.05726789148635","1.17535042895303"
"10","OG0004354","regulation of BMP signaling pathway / NA","1.8712833371091","1.44950578657865"
"11","OG0004586","myosin VI binding / Serine threonine-protein kinase","1.75220567360132","1.56634797061644"
"12","OG0004777","Paired box 3 / skeletal muscle satellite cell commitment","-1.7818558606584","-2.3794890203152"
"13","OG0005102","FKBP-type peptidyl-prolyl cis-trans isomerase / FKBP-type peptidyl-prolyl cis-trans isomerase","1.10052889977246","-1.44668436549174"
"14","OG0005114","podosome assembly / podosome assembly","1.00207237378561","-1.46300440695452"
"15","OG0005269","supervillin / supervillin","1.00681890897403","2.50613782739102"
"16","OG0005604","Cupin-like domain / NA","1.00076078865555","-1.51566711833014"
"17","OG0005850","pancreatic epsilon cell differentiation / pancreatic epsilon cell differentiation","2.52792752291418","2.01056775166438"
"18","OG0005959","peptidyl-prolyl cis-trans isomerase activity / peptidyl-prolyl cis-trans isomerase activity","1.27892728462627","2.0991352826723"
"19","OG0006096","negative regulation of appetite / negative regulation of appetite","-1.91674608823868","-2.0991352826723"
"20","OG0006285","Myosin, light / Myosin, light","1.40686144584992","-1.68597606440008"
"21","OG0006775","Cupin-like domain / Cupin-like domain","1.57999573705448","-1.84046334735272"
"22","OG0007046","scavenger receptor activity / scavenger receptor activity","1.79640534775278","2.07622825169416"
"23","OG0007627","Universal stress protein family / Universal stress protein family","1.21814288802561","-2.50271832199385"
"24","OG0008320","supervillin / supervillin","1.74739044728767","1.65512525917341"
"25","OG0008761","carbohydrate binding / carbohydrate binding","-1.08867647140721","1.59744474692699"
"26","OG0008881","positive regulation of epithelial to mesenchymal transition / peptidase inhibitor activity","1.27922708257751","1.66724071961546"
"27","OG0009918","dolichyl-diphosphooligosaccharide-protein glycotransferase activity / dolichyl-diphosphooligosaccharide-protein glycotransferase activity","1.08882194059472","-1.61243671731311"
"28","OG0010375","structural constituent of cuticle / structural constituent of cuticle","1.6667168186813","1.46844551335222"
"29","OG0010777","Egl-9 family hypoxia-inducible factor / Egl-9 family hypoxia-inducible factor","4.63980099895212","2.73643004941293"
"30","OG0011553","Carboxypeptidase / Carboxypeptidase","1.03812050527686","1.07844018509982"
"31","OG0011819","Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2 / Bcl2-/adenovirus E1B nineteen kDa-interacting protein 2","1.25925624769155","-1.02884143809577"
"32","OG0012678","coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway / coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","1.13427667790857","1.21830185912115"
"33","OG0013203","DDB1- and CUL4-associated factor 10 / DDB1- and CUL4-associated factor 10","-1.08074532819672","-1.4524930499488"
