"","V1","V2","V3","V4"
"55","OG0002597","betaine-homocysteine S-methyltransferase activity / betaine-homocysteine S-methyltransferase activity","4.93991262657784","1.12223162453216"
"56","OG0002629","adiponectin receptor / adiponectin receptor","-32.5131520689138","-10.0370883874332"
"57","OG0002635","vesicle-mediated cholesterol transport / vesicle-mediated cholesterol transport","-1.16713961860649","-1.54137177230406"
"58","OG0002647","RNA pyrophosphohydrolase activity / NA","1.09418823630248","1.5930897452004"
"59","OG0002710","Ubiquitin homologues / Ubiquitin homologues","2.53950545264917","8.29431941957925"
"60","OG0002736","rRNA export from nucleus / rRNA export from nucleus","-3.41470154695567","-1.11815280214334"
"61","OG0002744","protein polyubiquitination / NA","1.42750222831868","2.55470950242352"
"62","OG0002804","GTPase activity / GTPase activity","-1.83706760116932","1.08073784038597"
"63","OG0002864","- / NA","-1.74855540732253","-2.68223646990378"
"64","OG0002901","serine-type endopeptidase activity / serine-type endopeptidase activity","1.73096175419519","-7.10835219269313"
"65","OG0002916","negative regulation of histone acetylation / negative regulation of histone acetylation","-2.65823470547131","-1.55832869881218"
"66","OG0002933","metalloendopeptidase activity / Disintegrin and metalloproteinase domain-containing protein","1.56157973418517","-6.1127656266234"
"67","OG0002979","detection of mechanical stimulus / polycystic kidney disease protein 1-like","-1.31311714180551","-7.9714430256069"
"68","OG0003046","Interferon induced with helicase C domain 1 / Interferon induced with helicase C domain 1","1.33044994163319","10.1950277127672"
"69","OG0003076","abducens nerve formation / abducens nerve formation","12.1327359011862","2.86485720199036"
"70","OG0003165","Tnf receptor-associated factor 2 / thioesterase binding","2.49031281678564","19.6396810376127"
"71","OG0003243","chromatin binding / PWWP domain containing 2B","-1.31351307882273","2.09945860360876"
"72","OG0003251","endoribonuclease activity / Endoribonuclease XendoU","-2.53971704578263","-2.47453816570031"
