"","species","ph","temp","meanph_OA","sdph_OA","nph_OA","seph_OA","meantemp_control","sdtemp_control","ntemp_control","setemp_control","meantemp_thermal","sdtemp_thermal","ntemp_thermal","setemp_thermal"
"1","Ofav","C","C",8.04741322139926,0.0172215249323811,82374,6.00034922014263e-05,22.5810506526684,0.0687148086275739,32430,0.000381572323839401,22.5450558068717,0.0383734191353649,22275,0.000257111582212221
"2","Ofav","C","H",8.03490909543113,0.0603475824038135,82374,0.000210263940293323,22.5818338312681,0.0746566405211881,64860,0.000293143298983577,32.9849480884257,0.0255594747430156,44550,0.000121095518330757
"3","Ofav","L","C",7.80530871704432,0.0271335116880603,82374,9.453898324129e-05,22.5986653752024,0.0569472990918536,32430,0.000316227516089397,22.5370389343308,0.0438581056037051,22275,0.000293860364249037
"4","Ofav","L","H",7.80800624201708,0.0328130119259622,82374,0.000114327582077399,22.5897416846446,0.0604487728897093,64860,0.000237355345494944,32.9837846215096,0.0417784652352512,44550,0.000197937749253189
"5","Ssid","C","C",8.04871280641949,0.0190866231363631,82374,6.65018949838131e-05,22.6015416278483,0.0554199151604222,32430,0.000307745975534289,22.517633627182,0.056696726691841,22275,0.00037988236217811
"6","Ssid","C","H",8.04412676935219,0.0422388431226766,82374,0.000147169202719284,22.5822034618282,0.0730823986074473,64860,0.000286961953764042,32.9623985951954,0.138384187123898,44550,0.000655635729491198
"7","Ssid","L","C",7.80686751202633,0.0384237197225379,82374,0.000133876493270699,22.5915355792502,0.0605954120943266,32430,0.00033648543405184,22.520187367969,0.0569574892833387,22275,0.000381629537279845
"8","Ssid","L","H",7.80683894317733,0.0308506929855935,82374,0.000107490441365561,22.6026798693835,0.061211463264285,64860,0.000240350090114381,32.9790545781567,0.0350042224330377,44550,0.000165842784404328
