"","count","site"
"Ofav_080",203.234157545063,"Emerald"
"Ofav_081",223.829284174144,"Emerald"
"Ofav_082",220.991171659342,"Emerald"
"Ofav_083",194.342211365307,"Emerald"
"Ofav_084",256.944080588946,"Rainbow"
"Ofav_085",197.786128021907,"Rainbow"
"Ofav_086",787.429073251079,"Rainbow"
"Ofav_087",195.531407664356,"Star"
"Ofav_088",206.23541430554,"Star"
"Ofav_089",228.048605727093,"Star"
"Ofav_090",194.738531162816,"MacN"
"Ofav_091",243.14685817852,"MacN"
"Ofav_092",203.345591470867,"MacN"
"Ofav_093",437.574323647569,"MacN"
"Ofav_094",184.283669375279,"Emerald"
"Ofav_095",164.004797200583,"Emerald"
"Ofav_096",189.451390513401,"Emerald"
"Ofav_097",208.255585152873,"Emerald"
"Ofav_098",216.668749677061,"Emerald"
"Ofav_099",284.859177246757,"Rainbow"
"Ofav_100",203.628606408261,"Rainbow"
"Ofav_101",236.397679484098,"Rainbow"
"Ofav_102",199.068937227754,"Rainbow"
"Ofav_103",211.480966431609,"Rainbow"
"Ofav_104",192.812828748945,"Star"
"Ofav_105",238.757381076513,"Star"
"Ofav_106",206.5347188057,"Star"
"Ofav_107",198.233206467731,"Star"
"Ofav_108",237.87735916449,"Star"
"Ofav_110",214.861336776026,"MacN"
"Ofav_111",226.305502477153,"MacN"
"Ofav_112",282.221060074625,"MacN"
"Ofav_113",221.698365287472,"MacN"
"Ofav_114",217.942139284778,"MacN"
"Ofav_115",174.479340810632,"Emerald"
"Ofav_116",211.269539996857,"Emerald"
"Ofav_117",196.552175924476,"Emerald"
"Ofav_118",193.963359960031,"Emerald"
"Ofav_119",214.938336240645,"Rainbow"
"Ofav_120",256.030304345733,"Rainbow"
"Ofav_121",239.200185683203,"Rainbow"
"Ofav_122",269.552102118723,"Star"
"Ofav_123",236.394782591779,"Star"
"Ofav_124",245.75113585594,"Star"
"Ofav_126",261.14186789714,"Star"
"Ofav_127",153.521747585284,"MacN"
"Ofav_128",233.637672342531,"MacN"
"Ofav_129",182.271585624225,"MacN"
"Ofav_130",230.798341297319,"MacN"
"Ofav_132",213.350928974325,"Emerald"
"Ofav_133",175.684388239901,"Emerald"
"Ofav_153",227.338566577536,"Emerald"
"Ofav_154",192.6693174462,"Emerald"
"Ofav_134",231.067427330878,"Rainbow"
"Ofav_155",279.448215199019,"Rainbow"
"Ofav_156",235.111204509683,"Star"
"Ofav_157",211.199471420837,"Star"
"Ofav_158",198.842230108053,"Star"
"Ofav_159",180.402528102333,"Star"
"Ofav_136",182.531202051164,"MacN"
"Ofav_137",223.570095524825,"MacN"
"Ofav_138",308.418486109425,"MacN"
"Ofav_160",226.398884388278,"MacN"
"Ofav_161",208.942137661769,"MacN"
"Ofav_162",202.463631252539,"MacN"
"Ofav_163",228.785002195797,"MacN"
