"","count","site"
"Ofav_080",0.5,"Emerald"
"Ofav_081",0.5,"Emerald"
"Ofav_082",5.87783345510591,"Emerald"
"Ofav_083",4.18521314382713,"Emerald"
"Ofav_084",6.60581144259396,"Rainbow"
"Ofav_085",4.92345578524456,"Rainbow"
"Ofav_086",3.45837997462812,"Rainbow"
"Ofav_087",3.51594960305706,"Star"
"Ofav_088",0.5,"Star"
"Ofav_089",1.51132713656486,"Star"
"Ofav_090",1.72935779216972,"MacN"
"Ofav_091",0.5,"MacN"
"Ofav_092",2.41363765538554,"MacN"
"Ofav_093",0.5,"MacN"
"Ofav_094",92.3918346876395,"Emerald"
"Ofav_095",2.51857774321708,"Emerald"
"Ofav_096",4.57222824382329,"Emerald"
"Ofav_097",7.78966965448679,"Emerald"
"Ofav_098",32.790767586615,"Emerald"
"Ofav_099",34.7284194834059,"Rainbow"
"Ofav_100",49.9932645055661,"Rainbow"
"Ofav_101",45.5122780641035,"Rainbow"
"Ofav_102",3.42013142981992,"Rainbow"
"Ofav_103",45.0189195222662,"Rainbow"
"Ofav_104",20.5325863280152,"Star"
"Ofav_105",8.90009997385141,"Star"
"Ofav_106",2.41660203540186,"Star"
"Ofav_107",2.12076398744042,"Star"
"Ofav_108",26.0346163244671,"Star"
"Ofav_110",5.04155374525479,"MacN"
"Ofav_111",7.78404846700493,"MacN"
"Ofav_112",8.21838520752398,"MacN"
"Ofav_113",6.76033109304166,"MacN"
"Ofav_114",5.57647017785473,"MacN"
"Ofav_115",6.39760477324176,"Emerald"
"Ofav_116",4.14968900427458,"Emerald"
"Ofav_117",5.1311537619955,"Emerald"
"Ofav_118",3.64574569040701,"Emerald"
"Ofav_119",6.038997615072,"Rainbow"
"Ofav_120",2.31227166202647,"Rainbow"
"Ofav_121",3.39919253866239,"Rainbow"
"Ofav_122",3.73185708250719,"Star"
"Ofav_123",2.79767645381603,"Star"
"Ofav_124",2.05715006892661,"Star"
"Ofav_126",1.50246872268131,"Star"
"Ofav_127",0.5,"MacN"
"Ofav_128",2.20173483461702,"MacN"
"Ofav_129",0.5,"MacN"
"Ofav_130",3.53024133285946,"MacN"
"Ofav_132",4.37001689044227,"Emerald"
"Ofav_133",36.9108728498618,"Emerald"
"Ofav_153",33.6533289613322,"Emerald"
"Ofav_154",19.4695034388953,"Emerald"
"Ofav_134",76.0958778134025,"Rainbow"
"Ofav_155",51.6680158057372,"Rainbow"
"Ofav_156",2.83057487923526,"Star"
"Ofav_157",3.13374339276047,"Star"
"Ofav_158",4.93222860576655,"Star"
"Ofav_159",1.79426279210312,"Star"
"Ofav_136",14.7769570236207,"MacN"
"Ofav_137",4.37947992217086,"MacN"
"Ofav_138",2.88081303692854,"MacN"
"Ofav_160",3.96205186801959,"MacN"
"Ofav_161",11.3001107596771,"MacN"
"Ofav_162",3.92311239411083,"MacN"
"Ofav_163",3.70025704012799,"MacN"
