site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,Initial,LH_Ssid_EMRL,3,0.564,1.000
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,Initial,LH_Ssid_EMRL,4,0.509,1.000
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,Initial,LH_Ssid_EMRL,5,0.526,1.000
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,Initial,LH_Ssid_MACN,1,0.53,1.000
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,Initial,LH_Ssid_MACN,2,0.487,1.000
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,Initial,LH_Ssid_MACN,3,0.498,1.000
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,Initial,LH_Ssid_MACN,4,0.436,1.000
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,Initial,LH_Ssid_MACN,5,0.51,1.000
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,Initial,LH_Ssid_RAIN,1,0.507,1.000
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,Initial,LH_Ssid_RAIN,2,0.535,1.000
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,Initial,LH_Ssid_RAIN_3-4,1,0.343,1.000
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,Initial,LH_Ssid_RAIN,3,0.521,1.000
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,Initial,LH_Ssid_RAIN,4,0.54,1.000
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,Initial,LH_Ssid_STAR,1,0.514,1.000
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,Initial,LH_Ssid_STAR,2,0.521,1.000
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,Initial,LH_Ssid_STAR,3,0.484,1.000
Star,Ssid,4,4,Ss4-4,2,low pH,high temp,LH,Initial,LH_Ssid_STAR,4,0.488,1.000
Star,Ssid,5,4,Ss5-4,2,low pH,high temp,LH,Initial,LH_Ssid_STAR,5,0.558,1.000
Emerald,Ssid,1,1,Es1-1,3,control pH,control temp,CC,Initial,CC_Ssid_EMRL,1,0.46,1.000
Emerald,Ssid,2,1,Es2-1,3,control pH,control temp,CC,Initial,CC_Ssid_EMRL,2,0.461,1.000
Emerald,Ssid,3,1,Es3-1,3,control pH,control temp,CC,Initial,CC_Ssid_EMRL,3,0.545,1.000
Emerald,Ssid,4,1,Es4-1,3,control pH,control temp,CC,Initial,CC_Ssid_EMRL,4,0.485,1.000
Emerald,Ssid,5,1,Es5-1,3,control pH,control temp,CC,Initial,CC_Ssid_EMRL,5,0.561,1.000
MacN,Ssid,1,1,Ms1-1,3,control pH,control temp,CC,Initial,CC_Ssid_MACN,1,0.507,1.000
MacN,Ssid,2,1,Ms2-1,3,control pH,control temp,CC,Initial,CC_Ssid_MACN,2,0.465,1.000
MacN,Ssid,3,1,Ms3-1,3,control pH,control temp,CC,Initial,CC_Ssid_MACN,3,0.47,1.000
MacN,Ssid,4,1,Ms4-1,3,control pH,control temp,CC,Initial,CC_Ssid_MACN,4,0.412,1.000
MacN,Ssid,5,1,Ms5-1,3,control pH,control temp,CC,Initial,CC_Ssid_MACN,5,0.506,1.000
Rainbow,Ssid,1,1,Rs1-1,3,control pH,control temp,CC,Initial,CC_Ssid_RAIN,1,0.483,1.000
Rainbow,Ssid,2,1,Rs2-1,3,control pH,control temp,CC,Initial,CC_Ssid_RAIN,2,0.522,1.000
Rainbow,Ssid,3,1,Rs3-1,3,control pH,control temp,CC,Initial,CC_Ssid_RAIN_3-1,1,0.333,1.000
Rainbow,Ssid,4,1,Rs4-1,3,control pH,control temp,CC,Initial,CC_Ssid_RAIN,4,0.521,1.000
Rainbow,Ssid,5,1,Rs5-1,3,control pH,control temp,CC,Initial,CC_Ssid_RAIN,5,0.541,1.000
Star,Ssid,1,1,Ss1-1,3,control pH,control temp,CC,Initial,CC_Ssid_STAR,1,0.496,1.000
Star,Ssid,2,1,Ss2-1,3,control pH,control temp,CC,Initial,CC_Ssid_STAR,2,0.528,1.000
Star,Ssid,3,1,Ss3-1,3,control pH,control temp,CC,Initial,CC_Ssid_STAR,3,0.486,1.000
Star,Ssid,4,1,Ss4-1,3,control pH,control temp,CC,Initial,CC_Ssid_STAR,4,0.464,1.000
Star,Ssid,5,1,Ss5-1,3,control pH,control temp,CC,Initial,CC_Ssid_STAR,5,0.557,1.000
Emerald,Ofav,1,3,Eo1-3,4,low pH,control temp,LC,Initial,LC_Ofav_EMRL,1,0.584,1.000
Emerald,Ofav,2,3,Eo2-3,4,low pH,control temp,LC,Initial,LC_Ofav_EMRL,2,0.573,1.000
Emerald,Ofav,3,3,Eo3-3,4,low pH,control temp,LC,Initial,LC_Ofav_EMRL,3,0.58,1.000
Emerald,Ofav,4,3,Eo4-3,4,low pH,control temp,LC,Initial,LC_Ofav_EMRL,4,0.572,1.000
Emerald,Ofav,5,3,Eo5-3,4,low pH,control temp,LC,Initial,LC_Ofav_EMRL,5,0.585,1.000
MacN,Ofav,6,3,CR047,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,6,0.604,1.000
MacN,Ofav,1,3,Mo1-3,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,1,0.541,1.000
MacN,Ofav,2,3,Mo2-3,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,2,0.539,1.000
MacN,Ofav,3,3,Mo3-3,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,3,0.625,1.000
MacN,Ofav,4,3,Mo4-3,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,4,0.599,1.000
MacN,Ofav,5,3,Mo5-3,4,low pH,control temp,LC,Initial,LC_Ofav_MACN,5,0.613,1.000
Rainbow,Ofav,1,3,Ro1-3,4,low pH,control temp,LC,Initial,LC_Ofav_RAIN,1,0.581,1.000
Rainbow,Ofav,2,3,Ro2-3,4,low pH,control temp,LC,Initial,LC_Ofav_RAIN,2,0.543,1.000
Rainbow,Ofav,3,3,Ro3-3,4,low pH,control temp,LC,Initial,LC_Ofav_RAIN,3,0.589,1.000
Rainbow,Ofav,4,3,Ro4-3,4,low pH,control temp,LC,Initial,LC_Ofav_RAIN,4,0.599,1.000
Rainbow,Ofav,5,3,Ro5-3,4,low pH,control temp,LC,Initial,LC_Ofav_RAIN,5,0.576,1.000
