site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,time,file,AOI,FvFm,ratio
Star,Ofav,2,2,So2-2,6,control pH,high temp,CH,7,CH_Ofav_STAR,2,0.539,0.879
Star,Ofav,3,2,So3-2,6,control pH,high temp,CH,7,CH_Ofav_STAR,3,0.523,0.838
Star,Ofav,4,2,So4-2,6,control pH,high temp,CH,7,CH_Ofav_STAR,4,0.508,0.874
Star,Ofav,5,2,So5-2,6,control pH,high temp,CH,7,CH_Ofav_STAR,5,0.486,0.789
Emerald,Ssid,1,3,Es1-3,7,low pH,control temp,LC,7,LC_Ssid_EMRL,1,0.332,0.667
Emerald,Ssid,2,3,Es2-3,7,low pH,control temp,LC,7,LC_Ssid_EMRL,2,0.323,0.661
Emerald,Ssid,3,3,Es3-3,7,low pH,control temp,LC,7,LC_Ssid_EMRL,3,0.41,0.762
Emerald,Ssid,4,3,Es4-3,7,low pH,control temp,LC,7,LC_Ssid_EMRL,4,0.362,0.670
Emerald,Ssid,5,3,Es5-3,7,low pH,control temp,LC,7,LC_Ssid_EMRL,5,0.43,0.762
MacN,Ssid,1,3,Ms1-3,7,low pH,control temp,LC,7,LC_Ssid_MACN,1,0.376,0.692
MacN,Ssid,2,3,Ms2-3,7,low pH,control temp,LC,7,LC_Ssid_MACN,2,0.379,0.772
MacN,Ssid,3,3,Ms3-3,7,low pH,control temp,LC,7,LC_Ssid_MACN,3,0.37,0.721
MacN,Ssid,4,3,Ms4-3,7,low pH,control temp,LC,7,LC_Ssid_MACN,4,0.196,0.440
MacN,Ssid,5,3,Ms5-3,7,low pH,control temp,LC,7,LC_Ssid_MACN,5,0.387,0.749
Rainbow,Ssid,1,3,Rs1-3,7,low pH,control temp,LC,7,LC_Ssid_RAIN,1,0.333,0.658
Rainbow,Ssid,2,3,Rs2-3,7,low pH,control temp,LC,7,LC_Ssid_RAIN_2-3_3-3,1,0.355,0.666
Rainbow,Ssid,3,3,Rs3-3,7,low pH,control temp,LC,7,LC_Ssid_RAIN_2-3_3-3,2,0.231,0.647
Rainbow,Ssid,4,3,Rs4-3,7,low pH,control temp,LC,7,LC_Ssid_RAIN,2,0.324,0.614
Rainbow,Ssid,5,3,Rs5-3,7,low pH,control temp,LC,7,LC_Ssid_RAIN,3,0.308,0.561
Star,Ssid,1,3,Ss1-3,7,low pH,control temp,LC,7,LC_Ssid_STAR,1,0.338,0.668
Star,Ssid,2,3,Ss2-3,7,low pH,control temp,LC,7,LC_Ssid_STAR,2,0.383,0.738
Star,Ssid,3,3,Ss3-3,7,low pH,control temp,LC,7,LC_Ssid_STAR,3,0.349,0.690
Star,Ssid,4,3,Ss4-3,7,low pH,control temp,LC,7,LC_Ssid_STAR,4,0.291,0.582
Star,Ssid,5,3,Ss5-3,7,low pH,control temp,LC,7,LC_Ssid_STAR,5,0.44,0.764
Emerald,Ofav,1,4,Eo1-4,8,low pH,high temp,LH,7,LH_Ofav_QT,1,0.443,0.785
Emerald,Ofav,2,4,Eo2-4,8,low pH,high temp,LH,7,LH_Ofav_EMRL,1,0.43,0.734
Emerald,Ofav,3,4,Eo3-4,8,low pH,high temp,LH,7,LH_Ofav_QT,2,0.388,0.694
Emerald,Ofav,4,4,Eo4-4,8,low pH,high temp,LH,7,LH_Ofav_EMRL,2,0.442,0.721
Emerald,Ofav,5,4,Eo5-4,8,low pH,high temp,LH,7,LH_Ofav_EMRL,3,0.424,0.711
MacN,Ofav,6,4,CR049,8,low pH,high temp,LH,7,LH_Ofav_MACN,3,0.534,0.867
MacN,Ofav,1,4,Mo1-4,8,low pH,high temp,LH,7,LH_Ofav_QT2,2,0.468,0.811
MacN,Ofav,2,4,Mo2-4,8,low pH,high temp,LH,7,(dead),,,
MacN,Ofav,3,4,Mo3-4,8,low pH,high temp,LH,7,LH_Ofav_QT2,3,0.542,0.847
MacN,Ofav,4,4,Mo4-4,8,low pH,high temp,LH,7,LH_Ofav_MACN,1,0.508,0.862
MacN,Ofav,5,4,Mo5-4,8,low pH,high temp,LH,7,LH_Ofav_MACN,2,0.543,0.876
Rainbow,Ofav,1,4,Ro1-4,8,low pH,high temp,LH,7,(dead),,,
Rainbow,Ofav,2,4,Ro2-4,8,low pH,high temp,LH,7,LH_Ofav_QT,3,0.436,0.761
Rainbow,Ofav,3,4,Ro3-4,8,low pH,high temp,LH,7,LH_Ofav_QT,4,0.426,0.711
Rainbow,Ofav,4,4,Ro4-4,8,low pH,high temp,LH,7,LH_Ofav_QT,5,0.501,0.802
Rainbow,Ofav,5,4,Ro5-4,8,low pH,high temp,LH,7,LH_Ofav_RAIN,1,0.436,0.723
Star,Ofav,1,4,So1-4,8,low pH,high temp,LH,7,(dead),,,
Star,Ofav,2,4,So2-4,8,low pH,high temp,LH,7,(dead),,,
Star,Ofav,3,4,So3-4,8,low pH,high temp,LH,7,(dead),,,
Star,Ofav,4,4,So4-4,8,low pH,high temp,LH,7,LH_Ofav_QT2,1,0.501,0.835
Star,Ofav,5,4,So5-4,8,low pH,high temp,LH,7,LH_Ofav_STAR,1,0.535,0.832
Emerald,Ofav,1,1,Eo1-1,1,control pH,control temp,CC,10,CC_Ofav_QT,1,0.318,0.566
Emerald,Ofav,2,1,Eo2-1,1,control pH,control temp,CC,10,CC_Ofav_QT,2,0.395,0.689
Emerald,Ofav,3,1,Eo3-1,1,control pH,control temp,CC,10,CC_Ofav_EMRL,1,0.431,0.732
Emerald,Ofav,4,1,Eo4-1,1,control pH,control temp,CC,10,CC_Ofav_EMRL,2,0.325,0.560
Emerald,Ofav,5,1,Eo5-1,1,control pH,control temp,CC,10,CC_Ofav_EMRL,3,0.371,0.628
MacN,Ofav,6,1,CR043,1,control pH,control temp,CC,10,CC_Ofav_MACN,4,0.507,0.826
MacN,Ofav,1,1,Mo1-1,1,control pH,control temp,CC,10,CC_Ofav_MACN,1,0.43,0.772
MacN,Ofav,2,1,Mo2-1,1,control pH,control temp,CC,10,(dead),,,
MacN,Ofav,3,1,Mo3-1,1,control pH,control temp,CC,10,CC_Ofav_QT2,4,0.483,0.778
MacN,Ofav,4,1,Mo4-1,1,control pH,control temp,CC,10,CC_Ofav_MACN,2,0.476,0.818
MacN,Ofav,5,1,Mo5-1,1,control pH,control temp,CC,10,CC_Ofav_MACN,3,0.515,0.858
Rainbow,Ofav,1,1,Ro1-1,1,control pH,control temp,CC,10,(dead),,,
Rainbow,Ofav,2,1,Ro2-1,1,control pH,control temp,CC,10,CC_Ofav_QT,3,0.354,0.662
Rainbow,Ofav,3,1,Ro3-1,1,control pH,control temp,CC,10,CC_Ofav_QT2,1,0.351,0.599
Rainbow,Ofav,4,1,Ro4-1,1,control pH,control temp,CC,10,CC_Ofav_RAIN,1,0.425,0.697
Rainbow,Ofav,5,1,Ro5-1,1,control pH,control temp,CC,10,CC_Ofav_RAIN,2,0.428,0.709
Star,Ofav,1,1,So1-1,1,control pH,control temp,CC,10,CC_Ofav_QT2,2,0.42,0.704
Star,Ofav,2,1,So2-1,1,control pH,control temp,CC,10,CC_Ofav_QT2,3,0.492,0.795
Star,Ofav,3,1,So3-1,1,control pH,control temp,CC,10,CC_Ofav_STAR,1,0.43,0.720
Star,Ofav,4,1,So4-1,1,control pH,control temp,CC,10,CC_Ofav_STAR,2,0.458,0.775
Star,Ofav,5,1,So5-1,1,control pH,control temp,CC,10,CC_Ofav_STAR,3,0.495,0.772
Emerald,Ssid,1,4,Es1-4,2,low pH,high temp,LH,10,LH_Ssid_EMRL,1,0.29,0.612
Emerald,Ssid,2,4,Es2-4,2,low pH,high temp,LH,10,LH_Ssid_EMRL,2,0.187,0.400
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,10,LH_Ssid_EMRL,3,0.327,0.580
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,10,LH_Ssid_EMRL,4,0.292,0.574
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,10,LH_Ssid_EMRL,5,0.288,0.548
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,10,LH_Ssid_MACN,1,0.291,0.549
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,10,LH_Ssid_MACN,2,0.269,0.552
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,10,LH_Ssid_MACN,3,0.321,0.645
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,10,LH_Ssid_MACN_4-4,1,0.215,0.493
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,10,LH_Ssid_MACN,4,0.345,0.676
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,10,LH_Ssid_RAIN,1,0.301,0.594
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,10,LH_Ssid_RAIN_2-4,1,0.316,0.591
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,10,LH_Ssid_RAIN_3-4,1,0.211,0.615
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,10,LH_Ssid_RAIN,2,0.28,0.537
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,10,LH_Ssid_RAIN,3,0.292,0.541
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,10,LH_Ssid_STAR,1,0.312,0.607
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,10,LH_Ssid_STAR,2,0.324,0.622
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,10,LH_Ssid_STAR,3,0.264,0.545
Star,Ssid,4,4,Ss4-4,2,low pH,high temp,LH,10,LH_Ssid_STAR,4,0.248,0.508
Star,Ssid,5,4,Ss5-4,2,low pH,high temp,LH,10,LH_Ssid_STAR,5,0.37,0.663
Emerald,Ssid,1,1,Es1-1,3,control pH,control temp,CC,10,CC_Ssid_EMRL,1,0.358,0.778
Emerald,Ssid,2,1,Es2-1,3,control pH,control temp,CC,10,CC_Ssid_EMRL,2,0.379,0.822
Emerald,Ssid,3,1,Es3-1,3,control pH,control temp,CC,10,CC_Ssid_EMRL,3,0.456,0.837
Emerald,Ssid,4,1,Es4-1,3,control pH,control temp,CC,10,CC_Ssid_EMRL,4,0.399,0.823
Emerald,Ssid,5,1,Es5-1,3,control pH,control temp,CC,10,CC_Ssid_EMRL,5,0.44,0.784
MacN,Ssid,1,1,Ms1-1,3,control pH,control temp,CC,10,CC_Ssid_MACN,1,0.395,0.779
MacN,Ssid,2,1,Ms2-1,3,control pH,control temp,CC,10,CC_Ssid_MACN,2,0.4,0.860
MacN,Ssid,3,1,Ms3-1,3,control pH,control temp,CC,10,(dead),,,
MacN,Ssid,4,1,Ms4-1,3,control pH,control temp,CC,10,CC_Ssid_MACN,3,0.268,0.650
MacN,Ssid,5,1,Ms5-1,3,control pH,control temp,CC,10,CC_Ssid_MACN,4,0.447,0.883
Rainbow,Ssid,1,1,Rs1-1,3,control pH,control temp,CC,10,CC_Ssid_RAIN,1,0.36,0.745
Rainbow,Ssid,2,1,Rs2-1,3,control pH,control temp,CC,10,CC_Ssid_RAIN_2-1_3-1,1,0.445,0.852
Rainbow,Ssid,3,1,Rs3-1,3,control pH,control temp,CC,10,CC_Ssid_RAIN_2-1_3-1,2,0.289,0.868
Rainbow,Ssid,4,1,Rs4-1,3,control pH,control temp,CC,10,CC_Ssid_RAIN,2,0.361,0.693
Rainbow,Ssid,5,1,Rs5-1,3,control pH,control temp,CC,10,CC_Ssid_RAIN,3,0.376,0.695
Star,Ssid,1,1,Ss1-1,3,control pH,control temp,CC,10,CC_Ssid_STAR,1,0.349,0.704
Star,Ssid,2,1,Ss2-1,3,control pH,control temp,CC,10,CC_Ssid_STAR,2,0.397,0.752
Star,Ssid,3,1,Ss3-1,3,control pH,control temp,CC,10,CC_Ssid_STAR,3,0.384,0.790
Star,Ssid,4,1,Ss4-1,3,control pH,control temp,CC,10,CC_Ssid_STAR,4,0.303,0.653
Star,Ssid,5,1,Ss5-1,3,control pH,control temp,CC,10,CC_Ssid_STAR,5,0.441,0.792
Emerald,Ofav,1,3,Eo1-3,4,low pH,control temp,LC,10,LC_Ofav_EMRL,1,0.333,0.570
Emerald,Ofav,2,3,Eo2-3,4,low pH,control temp,LC,10,LC_Ofav_EMRL,2,0.375,0.654
Emerald,Ofav,3,3,Eo3-3,4,low pH,control temp,LC,10,LC_Ofav_EMRL,3,0.316,0.545
Emerald,Ofav,4,3,Eo4-3,4,low pH,control temp,LC,10,LC_Ofav_EMRL,4,0.278,0.486
Emerald,Ofav,5,3,Eo5-3,4,low pH,control temp,LC,10,LC_Ofav_EMRL,5,0.319,0.545
MacN,Ofav,6,3,CR047,4,low pH,control temp,LC,10,LC_Ofav_MACN,3,0.46,0.762
MacN,Ofav,1,3,Mo1-3,4,low pH,control temp,LC,10,LC_Ofav_MACN,1,0.39,0.721
MacN,Ofav,2,3,Mo2-3,4,low pH,control temp,LC,10,LC_Ofav_QT,2,0.389,0.722
MacN,Ofav,3,3,Mo3-3,4,low pH,control temp,LC,10,LC_Ofav_QT,3,0.444,0.710
MacN,Ofav,4,3,Mo4-3,4,low pH,control temp,LC,10,LC_Ofav_MACN,2,0.451,0.753
MacN,Ofav,5,3,Mo5-3,4,low pH,control temp,LC,10,LC_Ofav_QT,4,0.467,0.762
Rainbow,Ofav,1,3,Ro1-3,4,low pH,control temp,LC,10,LC_Ofav_RAIN,1,0.379,0.652
Rainbow,Ofav,2,3,Ro2-3,4,low pH,control temp,LC,10,LC_Ofav_RAIN,2,0.331,0.610
Rainbow,Ofav,3,3,Ro3-3,4,low pH,control temp,LC,10,LC_Ofav_RAIN,3,0.306,0.520
Rainbow,Ofav,4,3,Ro4-3,4,low pH,control temp,LC,10,LC_Ofav_QT,1,0.406,0.678
Rainbow,Ofav,5,3,Ro5-3,4,low pH,control temp,LC,10,LC_Ofav_RAIN,4,0.397,0.689
Star,Ofav,1,3,So1-3,4,low pH,control temp,LC,10,LC_Ofav_STAR,1,0.372,0.646
Star,Ofav,2,3,So2-3,4,low pH,control temp,LC,10,LC_Ofav_STAR,2,0.425,0.692
Star,Ofav,3,3,So3-3,4,low pH,control temp,LC,10,LC_Ofav_STAR,3,0.422,0.712
Star,Ofav,4,3,So4-3,4,low pH,control temp,LC,10,LC_Ofav_STAR,4,0.43,0.714
Star,Ofav,5,3,So5-3,4,low pH,control temp,LC,10,LC_Ofav_STAR,5,0.416,0.658
Emerald,Ssid,1,2,Es1-2,5,control pH,high temp,CH,10,CH_Ssid_EMRL,1,0.254,0.552
Emerald,Ssid,2,2,Es2-2,5,control pH,high temp,CH,10,CH_Ssid_EMRL,2,0.179,0.359
Emerald,Ssid,3,2,Es3-2,5,control pH,high temp,CH,10,CH_Ssid_EMRL,3,0.315,0.542
Emerald,Ssid,4,2,Es4-2,5,control pH,high temp,CH,10,CH_Ssid_EMRL,4,0.207,0.463
Emerald,Ssid,5,2,Es5-2,5,control pH,high temp,CH,10,CH_Ssid_EMRL,5,0.283,0.512
MacN,Ssid,1,2,Ms1-2,5,control pH,high temp,CH,10,CH_Ssid_MACN,1,0.244,0.450
MacN,Ssid,2,2,Ms2-2,5,control pH,high temp,CH,10,CH_Ssid_MACN,2,0.295,0.584
MacN,Ssid,3,2,Ms3-2,5,control pH,high temp,CH,10,CH_Ssid_MACN,3,0.272,0.573
MacN,Ssid,4,2,Ms4-2,5,control pH,high temp,CH,10,CH_Ssid_MACN,4,0.242,0.522
MacN,Ssid,5,2,Ms5-2,5,control pH,high temp,CH,10,CH_Ssid_MACN,5,0.322,0.604
Rainbow,Ssid,1,2,Rs1-2,5,control pH,high temp,CH,10,CH_Ssid_RAIN,1,0.292,0.560
Rainbow,Ssid,2,2,Rs2-2,5,control pH,high temp,CH,10,CH_Ssid_RAIN_2-2,1,0.345,0.651
Rainbow,Ssid,3,2,Rs3-2,5,control pH,high temp,CH,10,CH_Ssid_RAIN_3-2,1,0.201,0.688
Rainbow,Ssid,4,2,Rs4-2,5,control pH,high temp,CH,10,CH_Ssid_RAIN,2,0.265,0.503
Rainbow,Ssid,5,2,Rs5-2,5,control pH,high temp,CH,10,CH_Ssid_RAIN,3,0.252,0.484
Star,Ssid,1,2,Ss1-2,5,control pH,high temp,CH,10,CH_Ssid_STAR,1,0.293,0.593
Star,Ssid,2,2,Ss2-2,5,control pH,high temp,CH,10,CH_Ssid_STAR,2,0.32,0.613
Star,Ssid,3,2,Ss3-2,5,control pH,high temp,CH,10,CH_Ssid_STAR,3,0.286,0.587
Star,Ssid,4,2,Ss4-2,5,control pH,high temp,CH,10,CH_Ssid_STAR,4,0.237,0.487
Star,Ssid,5,2,Ss5-2,5,control pH,high temp,CH,10,CH_Ssid_STAR,5,0.365,0.658
Emerald,Ofav,1,2,Eo1-2,6,control pH,high temp,CH,10,CH_Ofav_EMRL,1,0.355,0.655
Emerald,Ofav,2,2,Eo2-2,6,control pH,high temp,CH,10,CH_Ofav_EMRL,2,0.478,0.798
Emerald,Ofav,3,2,Eo3-2,6,control pH,high temp,CH,10,CH_Ofav_EMRL,3,0.463,0.755
Emerald,Ofav,4,2,Eo4-2,6,control pH,high temp,CH,10,CH_Ofav_EMRL,4,0.312,0.532
Emerald,Ofav,5,2,Eo5-2,6,control pH,high temp,CH,10,CH_Ofav_EMRL,5,0.368,0.622
MacN,Ofav,6,2,CR046,6,control pH,high temp,CH,10,CH_Ofav_MACN,6,0.533,0.880
MacN,Ofav,1,2,Mo1-2,6,control pH,high temp,CH,10,CH_Ofav_MACN,1,0.439,0.791
MacN,Ofav,2,2,Mo2-2,6,control pH,high temp,CH,10,CH_Ofav_MACN,2,0.463,0.880
MacN,Ofav,3,2,Mo3-2,6,control pH,high temp,CH,10,CH_Ofav_MACN,3,0.507,0.818
MacN,Ofav,4,2,Mo4-2,6,control pH,high temp,CH,10,CH_Ofav_MACN,4,0.494,0.877
MacN,Ofav,5,2,Mo5-2,6,control pH,high temp,CH,10,CH_Ofav_MACN,5,0.508,0.867
Rainbow,Ofav,1,2,Ro1-2,6,control pH,high temp,CH,10,CH_Ofav_RAIN,1,0.417,0.728
Rainbow,Ofav,2,2,Ro2-2,6,control pH,high temp,CH,10,CH_Ofav_RAIN,2,0.392,0.713
Rainbow,Ofav,3,2,Ro3-2,6,control pH,high temp,CH,10,CH_Ofav_RAIN,3,0.363,0.617
Rainbow,Ofav,4,2,Ro4-2,6,control pH,high temp,CH,10,CH_Ofav_RAIN_4-2,1,0.483,0.785
Rainbow,Ofav,5,2,Ro5-2,6,control pH,high temp,CH,10,CH_Ofav_RAIN,4,0.394,0.701
Star,Ofav,1,2,So1-2,6,control pH,high temp,CH,10,CH_Ofav_STAR,1,0.451,0.786
Star,Ofav,2,2,So2-2,6,control pH,high temp,CH,10,CH_Ofav_STAR,2,0.525,0.856
Star,Ofav,3,2,So3-2,6,control pH,high temp,CH,10,CH_Ofav_STAR,3,0.497,0.796
Star,Ofav,4,2,So4-2,6,control pH,high temp,CH,10,CH_Ofav_STAR,4,0.5,0.861
Star,Ofav,5,2,So5-2,6,control pH,high temp,CH,10,CH_Ofav_STAR,5,0.458,0.744
Emerald,Ssid,1,3,Es1-3,7,low pH,control temp,LC,10,LC_Ssid_EMRL,1,0.336,0.675
Emerald,Ssid,2,3,Es2-3,7,low pH,control temp,LC,10,LC_Ssid_EMRL,2,0.318,0.650
Emerald,Ssid,3,3,Es3-3,7,low pH,control temp,LC,10,LC_Ssid_EMRL,3,0.405,0.753
Emerald,Ssid,4,3,Es4-3,7,low pH,control temp,LC,10,LC_Ssid_EMRL,4,0.353,0.654
Emerald,Ssid,5,3,Es5-3,7,low pH,control temp,LC,10,LC_Ssid_EMRL,5,0.417,0.739
MacN,Ssid,1,3,Ms1-3,7,low pH,control temp,LC,10,LC_Ssid_MACN,1,0.364,0.670
MacN,Ssid,2,3,Ms2-3,7,low pH,control temp,LC,10,LC_Ssid_MACN,2,0.368,0.749
MacN,Ssid,3,3,Ms3-3,7,low pH,control temp,LC,10,LC_Ssid_MACN,3,0.365,0.712
MacN,Ssid,4,3,Ms4-3,7,low pH,control temp,LC,10,LC_Ssid_MACN,4,0.205,0.461
MacN,Ssid,5,3,Ms5-3,7,low pH,control temp,LC,10,LC_Ssid_MACN,5,0.394,0.762
Rainbow,Ssid,1,3,Rs1-3,7,low pH,control temp,LC,10,LC_Ssid_RAIN,1,0.33,0.652
Rainbow,Ssid,2,3,Rs2-3,7,low pH,control temp,LC,10,LC_Ssid_RAIN_2-3,1,0.336,0.630
Rainbow,Ssid,3,3,Rs3-3,7,low pH,control temp,LC,10,LC_Ssid_RAIN_3-3,1,0.257,0.720
Rainbow,Ssid,4,3,Rs4-3,7,low pH,control temp,LC,10,LC_Ssid_RAIN,2,0.32,0.606
Rainbow,Ssid,5,3,Rs5-3,7,low pH,control temp,LC,10,LC_Ssid_RAIN,3,0.312,0.568
Star,Ssid,1,3,Ss1-3,7,low pH,control temp,LC,10,LC_Ssid_STAR,1,0.337,0.666
Star,Ssid,2,3,Ss2-3,7,low pH,control temp,LC,10,LC_Ssid_STAR,2,0.373,0.719
Star,Ssid,3,3,Ss3-3,7,low pH,control temp,LC,10,LC_Ssid_STAR,3,0.331,0.654
Star,Ssid,4,3,Ss4-3,7,low pH,control temp,LC,10,LC_Ssid_STAR,4,0.285,0.570
Star,Ssid,5,3,Ss5-3,7,low pH,control temp,LC,10,LC_Ssid_STAR,5,0.437,0.759
Emerald,Ofav,1,4,Eo1-4,8,low pH,high temp,LH,10,LH_Ofav_QT,1,0.43,0.762
Emerald,Ofav,2,4,Eo2-4,8,low pH,high temp,LH,10,LH_Ofav_QT,2,0.457,0.780
Emerald,Ofav,3,4,Eo3-4,8,low pH,high temp,LH,10,(dead),,,
Emerald,Ofav,4,4,Eo4-4,8,low pH,high temp,LH,10,LH_Ofav_EMRL,1,0.438,0.715
Emerald,Ofav,5,4,Eo5-4,8,low pH,high temp,LH,10,LH_Ofav_EMRL,2,0.419,0.703
MacN,Ofav,6,4,CR049,8,low pH,high temp,LH,10,LH_Ofav_MACN,3,0.534,0.867
MacN,Ofav,1,4,Mo1-4,8,low pH,high temp,LH,10,LH_Ofav_QT,5,0.45,0.780
MacN,Ofav,2,4,Mo2-4,8,low pH,high temp,LH,10,(dead),,,
MacN,Ofav,3,4,Mo3-4,8,low pH,high temp,LH,10,(dead),,,
MacN,Ofav,4,4,Mo4-4,8,low pH,high temp,LH,10,LH_Ofav_MACN,1,0.51,0.866
MacN,Ofav,5,4,Mo5-4,8,low pH,high temp,LH,10,LH_Ofav_MACN,2,0.535,0.863
Rainbow,Ofav,1,4,Ro1-4,8,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,2,4,Ro2-4,8,low pH,high temp,LH,10,LH_Ofav_QT,3,0.431,0.752
Rainbow,Ofav,3,4,Ro3-4,8,low pH,high temp,LH,10,LH_Ofav_QT,4,0.417,0.696
Rainbow,Ofav,4,4,Ro4-4,8,low pH,high temp,LH,10,(dead),,,
Rainbow,Ofav,5,4,Ro5-4,8,low pH,high temp,LH,10,LH_Ofav_RAIN,1,0.426,0.706
Star,Ofav,1,4,So1-4,8,low pH,high temp,LH,10,(dead),,,
Star,Ofav,2,4,So2-4,8,low pH,high temp,LH,10,(dead),,,
Star,Ofav,3,4,So3-4,8,low pH,high temp,LH,10,(dead),,,
Star,Ofav,4,4,So4-4,8,low pH,high temp,LH,10,(dead),,,
Star,Ofav,5,4,So5-4,8,low pH,high temp,LH,10,LH_Ofav_STAR,1,0.544,0.846
Emerald,Ofav,1,1,Eo1-1,1,control pH,control temp,CC,14,CC_Ofav_QT,1,0.319,0.568
Emerald,Ofav,2,1,Eo2-1,1,control pH,control temp,CC,14,(dead),,,
Emerald,Ofav,3,1,Eo3-1,1,control pH,control temp,CC,14,CC_Ofav_EMRL,1,0.44,0.747
Emerald,Ofav,4,1,Eo4-1,1,control pH,control temp,CC,14,CC_Ofav_EMRL,2,0.3,0.517
Emerald,Ofav,5,1,Eo5-1,1,control pH,control temp,CC,14,CC_Ofav_EMRL,3,0.368,0.623
MacN,Ofav,6,1,CR043,1,control pH,control temp,CC,14,CC_Ofav_MACN,4,0.499,0.813
MacN,Ofav,1,1,Mo1-1,1,control pH,control temp,CC,14,CC_Ofav_MACN,1,0.401,0.720
MacN,Ofav,2,1,Mo2-1,1,control pH,control temp,CC,14,(dead),,,
MacN,Ofav,3,1,Mo3-1,1,control pH,control temp,CC,14,(dead),,,
MacN,Ofav,4,1,Mo4-1,1,control pH,control temp,CC,14,CC_Ofav_MACN,2,0.442,0.759
MacN,Ofav,5,1,Mo5-1,1,control pH,control temp,CC,14,CC_Ofav_MACN,3,0.494,0.823
Rainbow,Ofav,1,1,Ro1-1,1,control pH,control temp,CC,14,(dead),,,
Rainbow,Ofav,2,1,Ro2-1,1,control pH,control temp,CC,14,(dead),,,
Rainbow,Ofav,3,1,Ro3-1,1,control pH,control temp,CC,14,CC_Ofav_QT,2,0.306,0.522
Rainbow,Ofav,4,1,Ro4-1,1,control pH,control temp,CC,14,CC_Ofav_RAIN,1,0.395,0.648
Rainbow,Ofav,5,1,Ro5-1,1,control pH,control temp,CC,14,CC_Ofav_RAIN,2,0.42,0.695
Star,Ofav,1,1,So1-1,1,control pH,control temp,CC,14,(dead),,,
Star,Ofav,2,1,So2-1,1,control pH,control temp,CC,14,(dead),,,
Star,Ofav,3,1,So3-1,1,control pH,control temp,CC,14,CC_Ofav_STAR,1,0.435,0.729
Star,Ofav,4,1,So4-1,1,control pH,control temp,CC,14,CC_Ofav_STAR,2,0.442,0.748
Star,Ofav,5,1,So5-1,1,control pH,control temp,CC,14,CC_Ofav_STAR,3,0.466,0.727
Emerald,Ssid,1,4,Es1-4,2,low pH,high temp,LH,14,LH_Ssid_EMRL,1,0.269,0.568
Emerald,Ssid,2,4,Es2-4,2,low pH,high temp,LH,14,LH_Ssid_EMRL,2,0.184,0.393
Emerald,Ssid,3,4,Es3-4,2,low pH,high temp,LH,14,LH_Ssid_EMRL,3,0.268,0.475
Emerald,Ssid,4,4,Es4-4,2,low pH,high temp,LH,14,LH_Ssid_EMRL,4,0.267,0.525
Emerald,Ssid,5,4,Es5-4,2,low pH,high temp,LH,14,LH_Ssid_EMRL,5,0.28,0.532
MacN,Ssid,1,4,Ms1-4,2,low pH,high temp,LH,14,LH_Ssid_MACN,1,0.249,0.470
MacN,Ssid,2,4,Ms2-4,2,low pH,high temp,LH,14,LH_Ssid_MACN,2,0.258,0.530
MacN,Ssid,3,4,Ms3-4,2,low pH,high temp,LH,14,LH_Ssid_MACN,3,0.297,0.596
MacN,Ssid,4,4,Ms4-4,2,low pH,high temp,LH,14,LH_Ssid_MACN,4,0.243,0.557
MacN,Ssid,5,4,Ms5-4,2,low pH,high temp,LH,14,LH_Ssid_MACN,5,0.313,0.614
Rainbow,Ssid,1,4,Rs1-4,2,low pH,high temp,LH,14,LH_Ssid_RAIN,1,0.299,0.590
Rainbow,Ssid,2,4,Rs2-4,2,low pH,high temp,LH,14,LH_Ssid_RAIN_2-4,1,0.293,0.548
Rainbow,Ssid,3,4,Rs3-4,2,low pH,high temp,LH,14,LH_Ssid_RAIN_3-4,1,0.244,0.711
Rainbow,Ssid,4,4,Rs4-4,2,low pH,high temp,LH,14,LH_Ssid_RAIN,2,0.244,0.468
Rainbow,Ssid,5,4,Rs5-4,2,low pH,high temp,LH,14,LH_Ssid_RAIN,3,0.261,0.483
Star,Ssid,1,4,Ss1-4,2,low pH,high temp,LH,14,LH_Ssid_STAR,1,0.265,0.516
Star,Ssid,2,4,Ss2-4,2,low pH,high temp,LH,14,LH_Ssid_STAR,2,0.287,0.551
Star,Ssid,3,4,Ss3-4,2,low pH,high temp,LH,14,LH_Ssid_STAR,3,0.241,0.498
