id,site,species,geno,replicate,sampleid,tank,ph,temp,treatment,treat,time,genotype,growthrate,fvfm,fvfm_ratio,survival,propB,propD,temp_actual,ph_actual
Ssid_031,Star,Ssid,2,2,Ss2-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:46,33,0.426447523,0.297,0.569,21,0,1,32.979934,8.052668
Ssid_032,Star,Ssid,3,2,Ss3-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:49,34,0.309989208,0.308,0.632,21,0,1,32.949266,8.05349
Ssid_033,Star,Ssid,4,2,Ss4-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:49,35,0.409545447,0.217,0.446,21,0,1,32.949266,8.05349
Ssid_034,Star,Ssid,5,2,Ss5-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:51,36,0.439314154,0.369,0.665,30,0,1,32.960167,8.052777
Ssid_035,MacN,Ssid,1,2,Ms1-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:51,37,0.642571168,0.255,0.47,11,0,1,32.960167,8.052777
Ssid_036,MacN,Ssid,2,2,Ms2-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:53,38,0.678500701,0.283,0.56,16,0,1,32.993998,8.052947
Ssid_037,MacN,Ssid,3,2,Ms3-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:55,39,0.682435424,0.292,0.615,21,0,0,32.989228,8.053293
Ssid_038,MacN,Ssid,4,2,Ms4-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:56,40,0.499675524,0.233,0.502,29,0.5,0.5,32.996998,8.051359
Ssid_039,MacN,Ssid,5,2,Ms5-2,5,controlpH,hightemp,controlpH_hightemp,CH,12:57,41,0.565362108,0.338,0.634,28,0,1,33.004685,8.049731
Ssid_040,Emerald,Ssid,1,3,Es1-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:02,22,0.188417505,0.316,0.635,25,0,1,22.509874,7.803966
Ssid_041,Emerald,Ssid,2,3,Es2-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:03,23,0.253411843,0.296,0.605,12,0,0,22.521856,7.803734
Ssid_042,Emerald,Ssid,3,3,Es3-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:04,24,0.163547232,0.373,0.693,12,0,0.9,22.53256,7.803478
Ssid_043,Emerald,Ssid,4,3,Es4-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:06,25,0.259519389,0.345,0.639,25,0,0.98,22.556229,7.806334
Ssid_044,Emerald,Ssid,5,3,Es5-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:07,26,0.178850212,0.376,0.667,12,0,0,22.556212,7.805907
Ssid_045,Rainbow,Ssid,1,3,Rs1-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:10,27,0.197654799,0.31,0.613,17,0,1,22.583783,7.809321
Ssid_046,Rainbow,Ssid,2,3,Rs2-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:11,28,0.163453689,0.333,0.625,12,1,0,22.59047,7.81134
Ssid_047,Rainbow,Ssid,3,3,Rs3-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:12,29,0.134165372,0.268,0.751,3,0,0,22.606288,7.813672
Ssid_048,Rainbow,Ssid,4,3,Rs4-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:14,30,0.165241205,0.312,0.591,25,0,1,22.63212,7.816172
Ssid_049,Rainbow,Ssid,5,3,Rs5-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:16,31,0.319355961,0.294,0.536,25,0,1,22.598649,7.816183
Ssid_050,Star,Ssid,1,3,Ss1-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:21,32,0.043211486,0.345,0.682,25,0,1,22.456144,7.813335
Ssid_051,Star,Ssid,2,3,Ss2-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:23,33,0.234477761,0.367,0.707,11,0,1,22.435097,7.811994
Ssid_052,Star,Ssid,3,3,Ss3-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:24,34,0.273531821,0.324,0.64,25,0,1,22.437146,7.808319
Ssid_053,Star,Ssid,4,3,Ss4-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:25,35,0.230937128,0.345,0.69,11,0,1,22.430131,7.807912
Ssid_054,Star,Ssid,5,3,Ss5-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:26,36,0.297222476,0.433,0.752,25,0,1,22.441637,7.808838
Ssid_055,MacN,Ssid,1,3,Ms1-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:27,37,0.271754945,0.341,0.628,17,0,1,22.447702,7.810189
Ssid_056,MacN,Ssid,2,3,Ms2-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:29,38,0.12118526,0.359,0.731,25,0,1,22.459897,7.811078
Ssid_057,MacN,Ssid,3,3,Ms3-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:30,39,0.297323752,0.348,0.678,12,0,1,22.460389,7.810483
Ssid_058,MacN,Ssid,4,3,Ms4-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:30,40,0.31455339,0.231,0.519,27,0.88,0.12,22.460389,7.810483
Ssid_059,MacN,Ssid,5,3,Ms5-3,7,lowpH,controltemp,lowpH_controltemp,LC,1:30,41,0.275146473,0.38,0.735,25,0,1,22.460389,7.810483
Ssid_060,Emerald,Ssid,1,4,Es1-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:35,22,0.248171775,0.283,0.597,11,0,1,32.941185,7.809012
Ssid_061,Emerald,Ssid,2,4,Es2-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:36,23,0.226585725,0.197,0.421,16,0,0,32.954266,7.809214
Ssid_062,Emerald,Ssid,3,4,Es3-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:37,24,0.543652118,0.274,0.486,11,0,0,32.949545,7.809134
Ssid_063,Emerald,Ssid,4,4,Es4-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:38,25,0.39033229,0.289,0.568,21,0,1,32.962183,7.810044
Ssid_064,Emerald,Ssid,5,4,Es5-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:39,26,0.392546715,0.299,0.568,11,0,0.81,32.968805,7.810577
Ssid_065,Rainbow,Ssid,1,4,Rs1-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:42,27,0.500561868,0.322,0.635,11,0,1,32.985425,7.810489
Ssid_066,Rainbow,Ssid,2,4,Rs2-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:43,28,0.342677943,0.279,0.521,7,1,0,33.01134,7.811204
Ssid_067,Rainbow,Ssid,3,4,Rs3-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:44,29,0.218192463,0.271,0.79,7,0,1,33.015061,7.810553
Ssid_068,Rainbow,Ssid,4,4,Rs4-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:45,30,0.514151285,0.284,0.545,21,0,1,33.02047,7.810553
Ssid_069,Rainbow,Ssid,5,4,Rs5-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:46,31,0.289550048,0.281,0.52,21,0,1,33.019503,7.811623
Ssid_070,Star,Ssid,1,4,Ss1-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:50,32,0.270425479,0.272,0.529,21,0,0,32.97859,7.810657
Ssid_071,Star,Ssid,2,4,Ss2-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:51,33,0.290350481,0.291,0.559,21,0,1,32.96987,7.809632
Ssid_072,Star,Ssid,3,4,Ss3-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:52,34,0.530850883,0.254,0.525,21,0,1,32.947414,7.786134
Ssid_073,Star,Ssid,4,4,Ss4-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:54,35,0.106791705,0.222,0.455,23,0,1,32.956462,7.809606
Ssid_074,Star,Ssid,5,4,Ss5-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:55,36,0.573475281,0.35,0.627,30,0,1,32.953462,7.806517
Ssid_075,MacN,Ssid,1,4,Ms1-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:57,37,0.419214022,0.261,0.492,11,0,1,32.965281,7.712204
Ssid_076,MacN,Ssid,2,4,Ms2-4,2,lowpH,hightemp,lowpH_hightemp,LH,1:59,38,0.507635729,0.219,0.45,16,0,0,32.997162,7.742619
Ssid_077,MacN,Ssid,3,4,Ms3-4,2,lowpH,hightemp,lowpH_hightemp,LH,2:00,39,0.435304261,0.301,0.604,21,0,1,32.997391,7.771193
Ssid_078,MacN,Ssid,4,4,Ms4-4,2,lowpH,hightemp,lowpH_hightemp,LH,2:01,40,0.373285966,0.245,0.562,30,1,0,33.014586,7.812524
Ssid_079,MacN,Ssid,5,4,Ms5-4,2,lowpH,hightemp,lowpH_hightemp,LH,2:02,41,0.334911425,0.331,0.649,23,0,0,33.00339,7.814244
