term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,89.97906419330451,-68.89407134744249,248.8521997340515,0.449,ns
grp,CC,CH,0,-108.14623774093303,-269.0433164750667,52.750840993200654,0.297,ns
grp,CC,LH,0,-143.99821356583567,-304.89529229996936,16.898865168298016,0.0956,ns
grp,LC,CH,0,-198.12530193423754,-356.99843747498454,-39.25216639349054,0.00851,**
grp,LC,LH,0,-233.97727775914018,-392.8504132998872,-75.10414221839318,0.00131,**
grp,CH,LH,0,-35.85197582490264,-196.74905455903632,125.04510290923105,0.936,ns
