site,species,geno,rep,sample,tank,pH,temp,treat,ramp,start,end,days,status
Rainbow,Ssid,1,1,Rs1-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,2,1,Rs2-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,3,1,Rs3-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,4,1,Rs4-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Rainbow,Ssid,5,1,Rs5-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,1,1,Ss1-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,2,1,Ss2-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,3,1,Ss3-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,4,1,Ss4-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Star,Ssid,5,1,Ss5-1,3,control,control,CC,4/5/21,4/19/21,5/6/21,17,0
Emerald,Ofav,1,2,Eo1-2,6,control,high,CH,4/5/21,4/19/21,5/1/21,12,1
Emerald,Ofav,2,2,Eo2-2,6,control,high,CH,4/5/21,4/19/21,5/13/21,24,1
Emerald,Ofav,3,2,Eo3-2,6,control,high,CH,4/5/21,4/19/21,5/12/21,23,1
Emerald,Ofav,4,2,Eo4-2,6,control,high,CH,4/5/21,4/19/21,5/21/21,32,1
Emerald,Ofav,5,2,Eo5-2,6,control,high,CH,4/5/21,4/19/21,4/30/21,11,1
MacN,Ofav,6,2,CR046,6,control,high,CH,4/5/21,4/19/21,5/24/21,35,1
MacN,Ofav,1,2,Mo1-2,6,control,high,CH,4/5/21,4/19/21,5/7/21,18,1
MacN,Ofav,2,2,Mo2-2,6,control,high,CH,4/5/21,4/19/21,4/30/21,11,1
MacN,Ofav,3,2,Mo3-2,6,control,high,CH,4/5/21,4/19/21,5/24/21,35,1
MacN,Ofav,4,2,Mo4-2,6,control,high,CH,4/5/21,4/19/21,5/17/21,28,1
MacN,Ofav,5,2,Mo5-2,6,control,high,CH,4/5/21,4/19/21,5/14/21,25,1
Rainbow,Ofav,1,2,Ro1-2,6,control,high,CH,4/5/21,4/19/21,5/2/21,13,1
Rainbow,Ofav,2,2,Ro2-2,6,control,high,CH,4/5/21,4/19/21,5/3/21,14,1
Rainbow,Ofav,3,2,Ro3-2,6,control,high,CH,4/5/21,4/19/21,4/30/21,11,1
Rainbow,Ofav,4,2,Ro4-2,6,control,high,CH,4/5/21,4/19/21,4/30/21,11,1
Rainbow,Ofav,5,2,Ro5-2,6,control,high,CH,4/5/21,4/19/21,5/14/21,25,1
Star,Ofav,1,2,So1-2,6,control,high,CH,4/5/21,4/19/21,5/5/21,16,1
Star,Ofav,2,2,So2-2,6,control,high,CH,4/5/21,4/19/21,5/7/21,18,1
Star,Ofav,3,2,So3-2,6,control,high,CH,4/5/21,4/19/21,5/3/21,14,1
Star,Ofav,4,2,So4-2,6,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Star,Ofav,5,2,So5-2,6,control,high,CH,4/5/21,4/19/21,5/19/21,30,1
Emerald,Ofav,1,1,Eo1-1,1,control,high,CH,4/23/21,5/7/21,5/17/21,10,1
Emerald,Ofav,3,1,Eo3-1,1,control,high,CH,4/23/21,5/7/21,5/25/21,18,1
Emerald,Ofav,4,1,Eo4-1,1,control,high,CH,4/23/21,5/7/21,6/7/21,31,1
Emerald,Ofav,5,1,Eo5-1,1,control,high,CH,4/23/21,5/7/21,5/17/21,10,1
MacN,Ofav,6,1,CR043,1,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
MacN,Ofav,1,1,Mo1-1,1,control,high,CH,4/23/21,5/7/21,6/4/21,28,1
MacN,Ofav,4,1,Mo4-1,1,control,high,CH,4/23/21,5/7/21,6/7/21,31,1
MacN,Ofav,5,1,Mo5-1,1,control,high,CH,4/23/21,5/7/21,6/10/21,34,1
Rainbow,Ofav,3,1,Ro3-1,1,control,high,CH,4/23/21,5/7/21,5/24/21,17,1
Rainbow,Ofav,4,1,Ro4-1,1,control,high,CH,4/23/21,5/7/21,5/24/21,17,1
Rainbow,Ofav,5,1,Ro5-1,1,control,high,CH,4/23/21,5/7/21,6/8/21,32,1
Star,Ofav,3,1,So3-1,1,control,high,CH,4/23/21,5/7/21,6/1/21,25,1
Star,Ofav,4,1,So4-1,1,control,high,CH,4/23/21,5/7/21,6/7/21,31,1
Star,Ofav,5,1,So5-1,1,control,high,CH,4/23/21,5/7/21,6/7/21,31,1
Emerald,Ssid,1,2,Es1-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Emerald,Ssid,2,2,Es2-2,5,control,high,CH,4/5/21,4/19/21,5/5/21,16,1
Emerald,Ssid,3,2,Es3-2,5,control,high,CH,4/5/21,4/19/21,5/5/21,16,1
Emerald,Ssid,4,2,Es4-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
Emerald,Ssid,5,2,Es5-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
MacN,Ssid,1,2,Ms1-2,5,control,high,CH,4/5/21,4/19/21,4/30/21,11,1
MacN,Ssid,2,2,Ms2-2,5,control,high,CH,4/5/21,4/19/21,5/5/21,16,1
MacN,Ssid,3,2,Ms3-2,5,control,high,CH,4/5/21,4/19/21,5/10/21,21,1
MacN,Ssid,4,2,Ms4-2,5,control,high,CH,4/5/21,4/19/21,5/18/21,29,1
MacN,Ssid,5,2,Ms5-2,5,control,high,CH,4/5/21,4/19/21,5/17/21,28,1
Rainbow,Ssid,1,2,Rs1-2,5,control,high,CH,4/5/21,4/19/21,5/2/21,13,1
Rainbow,Ssid,2,2,Rs2-2,5,control,high,CH,4/5/21,4/19/21,4/28/21,9,1
