"","count","treat"
"Ssid_001",147.985460113738,"CC"
"Ssid_002",60.7219207863216,"CC"
"Ssid_003",97.4145813090698,"CC"
"Ssid_004",39.2056865275533,"CC"
"Ssid_005",80.5636771473223,"CC"
"Ssid_006",31.0914085684951,"CC"
"Ssid_007",139.679152121089,"CC"
"Ssid_008",101.270252470495,"CC"
"Ssid_009",103.881839745491,"CC"
"Ssid_010",33.9499381549752,"CC"
"Ssid_011",55.8223004118597,"CC"
"Ssid_012",135.815920798911,"CC"
"Ssid_013",72.8333598002188,"CC"
"Ssid_014",42.5086686154263,"CC"
"Ssid_015",80.9099603798307,"CC"
"Ssid_016",68.9777667282165,"CC"
"Ssid_017",471.756497204831,"CC"
"Ssid_018",70.5367777176255,"CC"
"Ssid_019",76.2733780597362,"CC"
"Ssid_020",51.4711121431734,"CH"
"Ssid_021",35.3171178092959,"CH"
"Ssid_022",74.6580957099398,"CH"
"Ssid_023",76.9660422297361,"CH"
"Ssid_024",59.0906084884013,"CH"
"Ssid_025",51.311834208699,"CH"
"Ssid_026",48.3474204069579,"CH"
"Ssid_027",60.7577081738685,"CH"
"Ssid_028",100.585175243151,"CH"
"Ssid_029",21.6456788983043,"CH"
"Ssid_030",21.2770178490238,"CH"
"Ssid_031",27.0602160372613,"CH"
"Ssid_032",31.2059080302023,"CH"
"Ssid_033",45.523667983241,"CH"
"Ssid_035",24.6853645627256,"CH"
"Ssid_036",96.8463120646984,"CH"
"Ssid_037",35.751862378139,"CH"
"Ssid_038",106.071899869874,"CH"
"Ssid_039",47.2502828766811,"CH"
"Ssid_040",27.878088904449,"LC"
"Ssid_041",22.0189947696829,"LC"
"Ssid_042",65.2388795815568,"LC"
"Ssid_043",80.104189966304,"LC"
"Ssid_044",41.7583707961879,"LC"
"Ssid_045",51.4932556366777,"LC"
"Ssid_046",168.882010173441,"LC"
"Ssid_047",58.7579578015908,"LC"
"Ssid_048",71.6342686037232,"LC"
"Ssid_049",48.5783133240722,"LC"
"Ssid_050",43.2270869731623,"LC"
"Ssid_051",167.888136431059,"LC"
"Ssid_052",26.3468292036617,"LC"
"Ssid_053",94.3053317066952,"LC"
"Ssid_054",46.8026015141822,"LC"
"Ssid_055",199.119487709997,"LC"
"Ssid_056",159.149994922252,"LC"
"Ssid_057",20.2652415334003,"LC"
"Ssid_058",139.873058314923,"LC"
"Ssid_059",53.3541635379864,"LC"
"Ssid_060",33.9699403768157,"LH"
"Ssid_061",26.1265632243457,"LH"
"Ssid_062",51.6863919360627,"LH"
"Ssid_063",40.3818808068916,"LH"
"Ssid_064",36.0897302955846,"LH"
"Ssid_065",72.9197814838,"LH"
"Ssid_066",71.3129915560343,"LH"
"Ssid_067",30.2637501707343,"LH"
"Ssid_068",94.8487921176493,"LH"
"Ssid_069",49.8364461384455,"LH"
"Ssid_070",40.9783052908761,"LH"
"Ssid_071",37.9582072702199,"LH"
"Ssid_072",53.3777435114402,"LH"
"Ssid_073",122.259661600265,"LH"
"Ssid_074",98.5959809843745,"LH"
"Ssid_075",99.9708056874918,"LH"
"Ssid_077",41.3145294706147,"LH"
"Ssid_078",77.0933160015069,"LH"
"Ssid_079",74.0161984718178,"LH"
