site,species,genotype,replicate,sampleID,tank,pH,temp,treatment,bw1,temp1,salinity1,density1,mass1,bw2,temp2,salinity2,density2,mass2,deltamonth,deltayear,percentmonth,percentyear,surfacearea,growth,growthadj
Rainbow,Ofav,8,1,Ro3-1,1,control pH,control temp,control pH-control temp,19.7097,22.59,33.55391,1022.98268,30.28258862,19.9155,23.04,35.300455,1024.178727,30.61798913,0.335400506,4.024806076,1.10756881,13.29082572,5.7538,0.699503993,0.707528844
Rainbow,Ofav,9,1,Ro4-1,1,control pH,control temp,control pH-control temp,15.2126,22.59,33.55391,1022.98268,23.37310602,15.4042,23.04,35.300455,1024.178727,23.68233929,0.309233273,3.710799272,1.323030292,15.8763635,8.5001,0.436559484,0.444584335
Rainbow,Ofav,10,1,Ro5-1,1,control pH,control temp,control pH-control temp,17.2435,22.6,33.55391,1022.979851,26.49340387,17.4351,23.07,35.300455,1024.170055,26.80451272,0.311108857,3.73330628,1.174287979,14.09145574,8.4913,0.439662511,0.447687361
Star,Ofav,11,1,So1-1,1,control pH,control temp,control pH-control temp,13.5281,22.62,33.55391,1022.97419,20.78489593,13.6446,23.06,35.300455,1024.172947,20.97707551,0.192179579,2.306154942,0.924611695,11.09534034,14.469,0.159385925,0.167410775
Star,Ofav,12,1,So2-1,1,control pH,control temp,control pH-control temp,12.0205,22.61,33.55391,1022.977021,18.4686107,12.0634,23.06,35.300455,1024.172947,18.54615399,0.077543288,0.930519455,0.419865301,5.038383611,10.352,0.089887892,0.097912742
Star,Ofav,13,1,So3-1,1,control pH,control temp,control pH-control temp,15.0719,22.62,33.55391,1022.97419,23.15682712,15.1964,23.07,35.300455,1024.170055,23.36276231,0.20593519,2.471222275,0.88930659,10.67167908,8.778,0.281524524,0.289549375
Star,Ofav,14,1,So4-1,1,control pH,control temp,control pH-control temp,18.8322,22.63,33.55391,1022.971358,28.93419888,18.9448,23.07,35.300455,1024.170055,29.12550732,0.191308433,2.295701199,0.661184483,7.934213795,8.0444,0.285378798,0.293403648
Star,Ofav,15,1,So5-1,1,control pH,control temp,control pH-control temp,16.4954,22.63,33.55391,1022.971358,25.34388889,16.6156,23.08,35.300455,1024.167163,25.54458453,0.200695642,2.408347702,0.791889685,9.50267622,10.664,0.225839057,0.233863907
control,control,,control,A144,2,low pH,high temp,low pH-high temp,18.3076,22.87,33.44305,1022.819123,28.12594687,18.3283,22.84,35.23362,1024.185643,28.17793811,0.051991243,0.623894919,0.18485153,2.218218365,8.8793,0.070263976,0.044995656
Emerald,Ssid,22,4,Es1-4,2,low pH,high temp,low pH-high temp,21.5294,22.87,33.44305,1022.819123,33.07559486,21.6771,22.84,35.23362,1024.185643,33.326385,0.25079014,3.009481676,0.758233195,9.098798341,11.006,0.273440094,0.248171775
