"","Emerald","Rainbow","Star","MacN","lowpH","hightemp","genotype","growthrate","fvfm","fvfm_ratio","survival","propB","propD","temp_actual","ph_actual"
"22",0,1,0,0,0,1,8,0.265040369,0.325,0.553,11,0,0,32.965281,7.852662
"23",0,1,0,0,0,1,9,0.327051796,0.401,0.652,11,1,0,32.954446,7.823464
"24",0,1,0,0,0,1,10,0.334279926,0.365,0.649,25,0,1,32.953872,7.785509
"25",0,0,1,0,0,1,11,0.074842059,0.414,0.721,16,0,1,32.999112,7.957457
"26",0,0,1,0,0,1,12,-0.026005504,0.507,0.827,18,0,1,33.017225,8.004322
"27",0,0,1,0,0,1,13,0.29230477,0.464,0.744,14,0,1,33.022289,8.026373
"28",0,0,1,0,0,1,14,0.141618714,0.467,0.804,21,0,1,33.019454,8.028577
"29",0,0,1,0,0,1,15,0.424737112,0.421,0.683,30,0,1,32.988458,7.997266
"31",0,0,0,1,0,1,17,-0.080435075,0.399,0.759,11,0,1,32.950774,7.851446
"32",0,0,0,1,0,1,18,0.22596648,0.465,0.75,35,0,1,32.943398,7.859227
"33",0,0,0,1,0,1,19,0.132260971,0.439,0.78,28,0,1,32.972689,7.845783
"34",0,0,0,1,0,1,20,0.259780238,0.476,0.812,25,0,1,32.943398,7.859227
"35",0,0,0,1,0,1,21,0.298560037,0.492,0.812,35,0,1,32.945152,7.890439
"36",1,0,0,0,1,0,1,0.229527512,0.351,0.601,NA,1,0,22.505449,7.815671
"37",1,0,0,0,1,0,3,0.233784935,0.317,0.547,NA,0.97,0.03,22.501449,7.814456
"38",1,0,0,0,1,0,4,0.391298251,0.295,0.516,17,1,0,22.506071,7.815627
"39",1,0,0,0,1,0,5,0.562448949,0.336,0.574,10,1,0,22.518267,7.822422
"40",0,1,0,0,1,0,7,0.132500708,0.322,0.593,NA,0,1,22.54782,7.819187
"41",0,1,0,0,1,0,9,0.181406898,0.409,0.683,NA,0.73,0.27,22.559458,7.818991
"42",0,1,0,0,1,0,10,0.274811332,0.367,0.637,25,0,1,22.564834,7.818991
"43",0,0,1,0,1,0,11,0.009955487,0.367,0.637,NA,0,1,22.577505,7.815602
"44",0,0,1,0,1,0,12,0.096023941,0.405,0.66,25,0,1,22.592847,7.820235
"45",0,0,1,0,1,0,13,0.333742882,0.417,0.703,25,0,1,22.597813,7.820235
