gene,Fish_kME
Ofaveolata000429,0
Ofaveolata000430,0
Ofaveolata000431,0
Ofaveolata000432,0
Ofaveolata000434,0
Ofaveolata000435,0.520382832644186
Ofaveolata000436,0
Ofaveolata000437,0
Ofaveolata000438,0
Ofaveolata000439,0.86437754285267
Ofaveolata000441,0.795905436686595
Ofaveolata000442,0
Ofaveolata000443,0
Ofaveolata000445,0
Ofaveolata000448,0
Ofaveolata000449,0
Ofaveolata000452,0
Ofaveolata000453,0
Ofaveolata000454,0
Ofaveolata000456,0
Ofaveolata000457,0
Ofaveolata000462,0
Ofaveolata000464,0
Ofaveolata000465,0
Ofaveolata000467,0
Ofaveolata000468,0
Ofaveolata000471,0
Ofaveolata000472,0
Ofaveolata000473,0
Ofaveolata000474,0
Ofaveolata000475,0
Ofaveolata000476,0
Ofaveolata000480,0
Ofaveolata000484,0
Ofaveolata000485,0
Ofaveolata000486,0
Ofaveolata000487,0
Ofaveolata000489,0
Ofaveolata000490,0
Ofaveolata000506,0
Ofaveolata000509,0
Ofaveolata000512,0
Ofaveolata000514,0
Ofaveolata000515,0
Ofaveolata000516,0
Ofaveolata000518,0.166801582367176
Ofaveolata000519,0
Ofaveolata000520,0
Ofaveolata000521,0
Ofaveolata000523,0
Ofaveolata000525,0
Ofaveolata000526,0
Ofaveolata000527,0
Ofaveolata000530,0.56267686888443
Ofaveolata000531,0
Ofaveolata000533,0
Ofaveolata000536,0
Ofaveolata000538,0
Ofaveolata000539,0
Ofaveolata000542,0.195649989780808
Ofaveolata000543,0
Ofaveolata000545,0
Ofaveolata000547,0
Ofaveolata000548,0
Ofaveolata000549,0
Ofaveolata000550,0
Ofaveolata000551,0
Ofaveolata000552,0
Ofaveolata000556,0
Ofaveolata000557,0
Ofaveolata000558,0
Ofaveolata000560,0
Ofaveolata000562,0.718774683514909
Ofaveolata000563,0.61452591118872
Ofaveolata000571,0.304989491692178
Ofaveolata000575,0
Ofaveolata000576,0
Ofaveolata000577,0
Ofaveolata000578,0.781489470442755
Ofaveolata000579,0
Ofaveolata000580,0
Ofaveolata000582,0.134883915442739
Ofaveolata000583,0.236969891015157
Ofaveolata000584,0
Ofaveolata000586,0.478114533079904
Ofaveolata000588,0
Ofaveolata000589,0
Ofaveolata000590,0
Ofaveolata000591,0
Ofaveolata000592,0
Ofaveolata000593,0
Ofaveolata000594,0
Ofaveolata000595,0
Ofaveolata000597,0
Ofaveolata000598,0.620800139141331
Ofaveolata000600,0
Ofaveolata000601,0
Ofaveolata000603,0
Ofaveolata000604,0
Ofaveolata000606,0
Ofaveolata000613,0
Ofaveolata000615,0
Ofaveolata000617,0
Ofaveolata000618,0
Ofaveolata000619,0
Ofaveolata000623,0
Ofaveolata000626,0
Ofaveolata000628,0
Ofaveolata000629,0.632461530129404
Ofaveolata000632,0
Ofaveolata000633,0
Ofaveolata000635,0
Ofaveolata000637,0
Ofaveolata000638,0.34646669115573
Ofaveolata000642,0
Ofaveolata000643,0.594774105953242
Ofaveolata000649,0.540072030790762
Ofaveolata000650,0
Ofaveolata000652,0.349053708210039
Ofaveolata000653,0
Ofaveolata000657,0.772410051438942
Ofaveolata000658,0
Ofaveolata000659,0
Ofaveolata000663,0
Ofaveolata000666,0
Ofaveolata000667,0.751150306465465
Ofaveolata000677,0
Ofaveolata000682,0
Ofaveolata000684,0
Ofaveolata000688,0
Ofaveolata000690,0
Ofaveolata000693,0
Ofaveolata000696,0
Ofaveolata000698,0.755380838300067
Ofaveolata000707,0
Ofaveolata000708,0
Ofaveolata000709,0
Ofaveolata000710,0
Ofaveolata000711,0
Ofaveolata000712,0
Ofaveolata000715,0
Ofaveolata000718,0
Ofaveolata000720,0
Ofaveolata000721,0
Ofaveolata000722,0
Ofaveolata000723,0
Ofaveolata000725,0.514308551079294
Ofaveolata000726,0
Ofaveolata000727,0.810823564436012
Ofaveolata000728,0
Ofaveolata000730,0
Ofaveolata000732,0
Ofaveolata000733,0.423556426141672
Ofaveolata000734,0.469424340943748
Ofaveolata000738,0.280017855210131
Ofaveolata000740,0
Ofaveolata000741,0
Ofaveolata000742,0
Ofaveolata000749,0
Ofaveolata000750,0
Ofaveolata000756,0
Ofaveolata000763,0
Ofaveolata000764,0
Ofaveolata000765,0.347652639231625
Ofaveolata000766,0
Ofaveolata000767,0
Ofaveolata000769,0
Ofaveolata000770,0
Ofaveolata000771,0
Ofaveolata000772,0
Ofaveolata000774,0.8466917429367
Ofaveolata000775,0
Ofaveolata000777,0
Ofaveolata000778,0
Ofaveolata000784,0
Ofaveolata000786,0
Ofaveolata000787,0
Ofaveolata000788,0
Ofaveolata000789,0
Ofaveolata000790,0
Ofaveolata000791,0
Ofaveolata000792,0
Ofaveolata000793,0
Ofaveolata000795,0
Ofaveolata000796,0
Ofaveolata000797,0.861441241325999
Ofaveolata000798,0
Ofaveolata000800,0
Ofaveolata000801,0
Ofaveolata000804,0
Ofaveolata000805,0.644721127689414
Ofaveolata000806,0.536785561554138
Ofaveolata000808,0
