"","count","site"
"Ssid_001",29.6729481543658,"Emerald"
"Ssid_002",26.4417504925693,"Emerald"
"Ssid_003",19.5028590802098,"Emerald"
"Ssid_004",30.1920335005888,"Emerald"
"Ssid_005",22.6714798254123,"Emerald"
"Ssid_006",21.4309637573914,"Rainbow"
"Ssid_007",29.9199833751894,"Rainbow"
"Ssid_008",14.5202090393732,"Rainbow"
"Ssid_009",22.2149069785049,"Rainbow"
"Ssid_010",32.0565454292218,"Rainbow"
"Ssid_011",36.9891768673968,"Star"
"Ssid_012",39.2848180633822,"Star"
"Ssid_013",31.6589857600943,"Star"
"Ssid_014",28.5057790769509,"Star"
"Ssid_015",28.3840991639735,"Star"
"Ssid_016",28.8540752859021,"MacN"
"Ssid_017",26.5956366530363,"MacN"
"Ssid_018",16.7122170642652,"MacN"
"Ssid_019",49.6659323288364,"MacN"
"Ssid_020",21.5914946799338,"Emerald"
"Ssid_021",41.8863853204839,"Emerald"
"Ssid_022",18.8214118812792,"Emerald"
"Ssid_023",36.0020910352346,"Emerald"
"Ssid_024",29.7953042442007,"Emerald"
"Ssid_025",13.2029585521747,"Rainbow"
"Ssid_026",24.1718816750213,"Rainbow"
"Ssid_027",20.5859027246228,"Rainbow"
"Ssid_028",25.1586663642547,"Rainbow"
"Ssid_029",34.735861073445,"Rainbow"
"Ssid_030",25.1246137469911,"Star"
"Ssid_031",20.8107534402587,"Star"
"Ssid_032",28.1353172271821,"Star"
"Ssid_033",38.4887198608596,"Star"
"Ssid_035",24.6853645627256,"MacN"
"Ssid_036",51.0818138339667,"MacN"
"Ssid_037",26.137718093192,"MacN"
"Ssid_038",30.9047071625238,"MacN"
"Ssid_039",57.9126280941698,"MacN"
"Ssid_040",18.7520592696326,"Emerald"
"Ssid_041",51.0696377087549,"Emerald"
"Ssid_042",42.9631360696233,"Emerald"
"Ssid_043",37.8793587667862,"Emerald"
"Ssid_044",32.3814683425088,"Emerald"
"Ssid_045",42.9943796972314,"Rainbow"
"Ssid_046",36.7217114907983,"Rainbow"
"Ssid_047",27.172318029644,"Rainbow"
"Ssid_048",38.027527531098,"Rainbow"
"Ssid_049",37.1913443788972,"Rainbow"
"Ssid_050",31.1520406546599,"Star"
"Ssid_051",31.7457854671309,"Star"
"Ssid_052",38.5100429465613,"Star"
"Ssid_053",26.6978854315996,"Star"
"Ssid_054",28.0312765760002,"Star"
"Ssid_055",37.5307519459317,"MacN"
"Ssid_056",47.4246463854548,"MacN"
"Ssid_057",42.2266210149562,"MacN"
"Ssid_058",24.9099706653255,"MacN"
"Ssid_059",63.6951955345489,"MacN"
"Ssid_060",42.048891502254,"Emerald"
"Ssid_061",24.906250689853,"Emerald"
"Ssid_062",31.2118351616376,"Emerald"
"Ssid_063",20.4409404034458,"Emerald"
"Ssid_064",36.880613191042,"Emerald"
"Ssid_065",23.612696218234,"Rainbow"
"Ssid_066",33.3774603653016,"Rainbow"
"Ssid_067",36.3691348211413,"Rainbow"
"Ssid_068",26.8298954746928,"Rainbow"
"Ssid_069",28.6922549362546,"Rainbow"
"Ssid_070",22.9879473838201,"Star"
"Ssid_071",29.0395864915961,"Star"
"Ssid_072",38.9565407355929,"Star"
"Ssid_073",24.0333799731605,"Star"
"Ssid_074",33.9252972243054,"Star"
"Ssid_075",30.5289224716956,"MacN"
"Ssid_077",27.1864231154019,"MacN"
"Ssid_078",24.9446753196299,"MacN"
"Ssid_079",79.1452355745028,"MacN"
