"","count","site"
"Ofav_080",186.796252879247,"Emerald"
"Ofav_081",198.218127732155,"Emerald"
"Ofav_082",125.982780619138,"Emerald"
"Ofav_083",175.179103017406,"Emerald"
"Ofav_084",257.961715829378,"Rainbow"
"Ofav_085",218.134024634032,"Rainbow"
"Ofav_086",256.399867805332,"Rainbow"
"Ofav_087",220.664321023165,"Star"
"Ofav_088",263.057576351832,"Star"
"Ofav_089",244.229839912131,"Star"
"Ofav_090",208.261466876683,"MacN"
"Ofav_091",235.291384352596,"MacN"
"Ofav_092",244.488801061656,"MacN"
"Ofav_093",207.803943225366,"MacN"
"Ofav_094",137.454176697924,"Emerald"
"Ofav_095",175.106974788277,"Emerald"
"Ofav_096",181.306934025754,"Emerald"
"Ofav_097",98.9105403355716,"Emerald"
"Ofav_098",141.323625308293,"Emerald"
"Ofav_099",121.615945864359,"Rainbow"
"Ofav_100",121.139832232317,"Rainbow"
"Ofav_101",154.708730404799,"Rainbow"
"Ofav_102",170.59765578701,"Rainbow"
"Ofav_103",130.185548173558,"Rainbow"
"Ofav_104",270.272162550604,"Star"
"Ofav_105",189.120426685573,"Star"
"Ofav_106",181.618892345476,"Star"
"Ofav_107",201.474734442612,"Star"
"Ofav_108",348.527363237181,"Star"
"Ofav_110",136.746612357644,"MacN"
"Ofav_111",175.317163208118,"MacN"
"Ofav_112",193.4596301881,"MacN"
"Ofav_113",192.483486853277,"MacN"
"Ofav_114",124.873519357441,"MacN"
"Ofav_115",183.325747970494,"Emerald"
"Ofav_116",195.75836172869,"Emerald"
"Ofav_117",128.628587415209,"Emerald"
"Ofav_118",179.807504353199,"Emerald"
"Ofav_119",191.199775033193,"Rainbow"
"Ofav_120",205.286697808991,"Rainbow"
"Ofav_121",168.653167242419,"Rainbow"
"Ofav_122",242.889281188039,"Star"
"Ofav_123",175.88930264129,"Star"
"Ofav_124",197.479483719216,"Star"
"Ofav_126",350.361584215776,"Star"
"Ofav_127",231.286897997478,"MacN"
"Ofav_128",184.287362138638,"MacN"
"Ofav_129",204.084175899132,"MacN"
"Ofav_130",170.951074973345,"MacN"
"Ofav_132",168.200731919165,"Emerald"
"Ofav_133",166.06642182673,"Emerald"
"Ofav_153",102.577354959891,"Emerald"
"Ofav_154",143.183656301256,"Emerald"
"Ofav_134",154.526601044808,"Rainbow"
"Ofav_155",131.72120182439,"Rainbow"
"Ofav_156",167.52453301186,"Star"
"Ofav_157",168.181662672416,"Star"
"Ofav_158",143.439372535971,"Star"
"Ofav_159",272.295186341655,"Star"
"Ofav_136",316.377674147608,"MacN"
"Ofav_137",196.413736069629,"MacN"
"Ofav_138",128.270299648498,"MacN"
"Ofav_160",164.947463730931,"MacN"
"Ofav_161",212.182170889672,"MacN"
"Ofav_162",219.579193223093,"MacN"
"Ofav_163",142.378062112341,"MacN"
