"","count","site"
"Ofav_080",27.8965077763599,"Emerald"
"Ofav_081",20.9889251535912,"Emerald"
"Ofav_082",87.4416408575455,"Emerald"
"Ofav_083",31.4557904081479,"Emerald"
"Ofav_084",17.7997990873495,"Rainbow"
"Ofav_085",21.7325877691739,"Rainbow"
"Ofav_086",52.271649555992,"Rainbow"
"Ofav_087",25.6329133588088,"Star"
"Ofav_088",8.33753959259199,"Star"
"Ofav_089",30.8398140969457,"Star"
"Ofav_090",48.4449538946192,"MacN"
"Ofav_091",29.3034040283854,"MacN"
"Ofav_092",20.5931953815482,"MacN"
"Ofav_093",76.0689251166358,"MacN"
"Ofav_094",33.1922873407948,"Emerald"
"Ofav_095",21.6950663037793,"Emerald"
"Ofav_096",30.6344890042924,"Emerald"
"Ofav_097",102.555375162815,"Emerald"
"Ofav_098",34.5846991192047,"Emerald"
"Ofav_099",37.3613748282833,"Rainbow"
"Ofav_100",30.4021806387795,"Rainbow"
"Ofav_101",21.3390176222701,"Rainbow"
"Ofav_102",8.53036143200477,"Rainbow"
"Ofav_103",39.2121039324054,"Rainbow"
"Ofav_104",16.5260690624121,"Star"
"Ofav_105",18.0638453998711,"Star"
"Ofav_106",23.4992244248224,"Star"
"Ofav_107",10.2245839246425,"Star"
"Ofav_108",57.243591832149,"Star"
"Ofav_110",37.7407407110893,"MacN"
"Ofav_111",24.5373599411163,"MacN"
"Ofav_112",16.9015685659885,"MacN"
"Ofav_113",15.1074392170972,"MacN"
"Ofav_114",31.8048994301042,"MacN"
"Ofav_115",29.9880238662088,"Emerald"
"Ofav_116",26.9602452809907,"Emerald"
"Ofav_117",33.6899352943011,"Emerald"
"Ofav_118",33.5303297492736,"Emerald"
"Ofav_119",10.7867098565623,"Rainbow"
"Ofav_120",15.904309127225,"Rainbow"
"Ofav_121",15.9623602061994,"Rainbow"
"Ofav_122",18.2752139537895,"Star"
"Ofav_123",18.1155194792562,"Star"
"Ofav_124",9.84290041355963,"Star"
"Ofav_126",44.6086237979775,"Star"
"Ofav_127",48.1625115429574,"MacN"
"Ofav_128",20.9208180154042,"MacN"
"Ofav_129",26.4673693748893,"MacN"
"Ofav_130",41.4082579936027,"MacN"
"Ofav_132",62.4202702470762,"Emerald"
"Ofav_133",24.5449160329276,"Emerald"
"Ofav_153",38.8880651131215,"Emerald"
"Ofav_154",32.6656797442137,"Emerald"
"Ofav_134",26.9585572346909,"Rainbow"
"Ofav_155",49.1921440732015,"Rainbow"
"Ofav_156",23.0288904992742,"Star"
"Ofav_157",18.9362037493233,"Star"
"Ofav_158",25.9853144831576,"Star"
"Ofav_159",28.9737814262686,"Star"
"Ofav_136",18.3461962795259,"MacN"
"Ofav_137",16.0179196886835,"MacN"
"Ofav_138",27.4825477518568,"MacN"
"Ofav_160",35.9860316472008,"MacN"
"Ofav_161",11.3001107596771,"MacN"
"Ofav_162",23.3207492940722,"MacN"
"Ofav_163",28.2355610144426,"MacN"
