term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,Emerald,Rainbow,0,-5.1723979526061825,-41.25500688619019,30.910210980977823,0.981,ns
grp,Emerald,Star,0,-13.221546526808751,-47.33345037336902,20.890357319751516,0.737,ns
grp,Emerald,MacN,0,-25.712393010061728,-58.019260057315336,6.594474037191883,0.164,ns
grp,Rainbow,Star,0,-8.049148574202569,-44.61711187129502,28.518814722889886,0.937,ns
grp,Rainbow,MacN,0,-20.539995057455545,-55.43021738505685,14.350227270145762,0.412,ns
grp,Star,MacN,0,-12.490846483252977,-45.33890473107739,20.357211764571442,0.748,ns
