term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,Emerald,Rainbow,0,-1.3057623622605767,-5.060968250244457,2.449443525723303,0.795,ns
grp,Emerald,Star,0,-4.530050502682809,-8.080160263612989,-0.9799407417526291,0.00695,**
grp,Emerald,MacN,0,-4.8753856370544035,-8.237640777237495,-1.513130496871312,0.00168,**
grp,Rainbow,Star,0,-3.2242881404222326,-7.030006051163681,0.5814297703192155,0.125,ns
grp,Rainbow,MacN,0,-3.569623274793827,-7.200734554990859,0.061488005403205204,0.0557,ns
grp,Star,MacN,0,-0.34533513437159424,-3.7639133743241433,3.073243105580955,0.993,ns
