term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,Emerald,Rainbow,0,-4.735321812645479,-16.20763273752864,6.7369891122376835,0.7,ns
grp,Emerald,Star,0,-13.541166863431659,-25.16344900223563,-1.9188847246276897,0.0159,*
grp,Emerald,MacN,0,-9.535169905054058,-21.321848923681348,2.2515091135732312,0.154,ns
grp,Rainbow,Star,0,-8.80584505078618,-20.42812718959015,2.816437088017789,0.2,ns
grp,Rainbow,MacN,0,-4.799848092408579,-16.58652711103587,6.98683092621871,0.708,ns
grp,Star,MacN,0,4.005996958377601,-7.926702922408683,15.938696839163885,0.814,ns
