"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"41","Ssiderea012146",1.33362399208655,4.48706126775083,"Ubiquitin-like modifier","Function Unknown",NA
"42","Ssiderea012241",1.26790069752854,1.67520480422974,"cytoskeletal anchoring at plasma membrane","Extracellular structures",NA
"43","Ssiderea013295",1.15178597490565,3.07898680307104,"positive regulation of skeletal muscle acetylcholine-gated channel clustering","Function Unknown",NA
"44","Ssiderea013350",1.08867647140721,2.81116745902171,NA,NA,NA
"45","Ssiderea013425",1.26908147921629,4.32587369955358,"Sulfide quinone","Energy production and conversion",NA
"46","Ssiderea013701",1.04308625949605,1.78259001855286,"hematopoietic cell-specific Lyn substrate 1","Signal transduction mechanisms",NA
"47","Ssiderea014540",1.17323138528773,-5.09279020556915,"RNA-binding protein Musashi homolog","RNA processing and modification",NA
"48","Ssiderea014567",-1.94039375979804,-1.82080846169687,"Paired box protein 7","Transcription",NA
"49","Ssiderea014817",1.15682391191172,1.37061388498456,"o-methyltransferase","Posttranslational modification, protein turnover, chaperones",NA
"50","Ssiderea014838",1.27844721149116,16.3447385585365,"regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway","Function Unknown",NA
"51","Ssiderea014953",1.03274880894491,1.28232280603987,NA,NA,NA
"52","Ssiderea015151",1.12870377515916,-2.3964353371181,"serine arginine-rich splicing factor","RNA processing and modification",NA
"53","Ssiderea015272",1.46781205730669,-1.08268493546703,"protein-cysteine S-acyltransferase activity","Function Unknown",NA
"54","Ssiderea015294",1.03812050527686,1.84610403544406,"Cytochrome c oxidase subunit","Energy production and conversion",NA
"55","Ssiderea015499",1.25640575556167,1.13970561415822,"Tissue factor pathway inhibitor","Posttranslational modification, protein turnover, chaperones",NA
"56","Ssiderea015602",1.31255293980622,-2.40639903469963,"translational elongation","Translation, ribosomal structure and biogenesis",NA
"57","Ssiderea015794",1.01954821873977,1.34224975661404,"-","",NA
"58","Ssiderea015872",2.01631314792157,2.29576406988009,"structural constituent of cuticle","Cell cycle control, cell division, chromosome partitioning",NA
"59","Ssiderea016649",1.33660007896889,1.13437149292099,"Belongs to the tropomyosin family","",NA
"60","Ssiderea017473",1.19246398382321,1.81198447854985,NA,NA,NA
"61","Ssiderea018987",-1.60611434530991,-2.3761457260862,"negative regulation of triglyceride biosynthetic process","Signal transduction mechanisms",NA
"62","Ssiderea019309",1.21814288802561,4.33501147923129,"Universal stress protein family","Signal transduction mechanisms",NA
"63","Ssiderea019357",1.03146473384083,3.06324960687328,NA,NA,NA
"64","Ssiderea019828",1.14362403059917,1.53415114094359,"Mucin 4, cell surface associated","Signal transduction mechanisms",NA
"65","Ssiderea019931",2.41068196219623,2.08660473795042,"Lipoxygenase homology 2 (beta barrel) domain","Function Unknown",NA
"66","Ssiderea019944",5.43431406136354,3.86458662702266,NA,NA,NA
"67","Ssiderea019945",2.66576334415739,1.32601526222382,NA,NA,NA
"68","Ssiderea020286",1.52056234928069,10.7956202691125,"6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate","",NA
"69","Ssiderea020323",1.33062294212343,1.9449886799139,"Hemicentin 1","Signal transduction mechanisms",NA
"70","Ssiderea020402",1.22743956942968,9.26612518075302,NA,NA,NA
"71","Ssiderea021340",1.40316289276197,1.44270649326801,"Ectoine synthase","Function Unknown",NA
"72","Ssiderea021485",1.30580544526722,1.52485083175749,"Reverse transcriptase (RNA-dependent DNA polymerase)","Function Unknown",NA
"73","Ssiderea021669",3.72155040763228,4.75482456926668,"N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity","Carbohydrate transport and metabolism",NA
"74","Ssiderea021959",-1.21987981328492,-3.72631290497511,"PX domain","Signal transduction mechanisms",NA
"75","Ssiderea022757",1.69180554383086,1.3979524585493,NA,NA,NA
"76","Ssiderea022799",1.64053607537343,1.9181018669611,"unfolded protein binding","Signal transduction mechanisms",NA
