"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"91","Ssiderea006071",1.1982053678346,1.85907790673189,NA,NA,NA,NA
"92","Ssiderea006084",1.50270992480368,2.69079435659752,"Complement Clr-like EGF-like","Signal transduction mechanisms",NA,NA
"93","Ssiderea006090",-1.00866121635726,-3.07913190775731,"axonogenesis involved in innervation","Function Unknown",NA,NA
"94","Ssiderea006333",-1.40052264335732,-2.20858322025832,"Calcium ion binding. It is involved in the biological process described with regulation of developmental process","Signal transduction mechanisms",NA,NA
"95","Ssiderea006354",1.92154590184841,1.31894891675639,NA,NA,NA,NA
"96","Ssiderea006355",1.08700130631189,2.75447612262983,NA,NA,NA,NA
"97","Ssiderea006567",-1.73358601895706,-1.74188774731408,NA,NA,NA,NA
"98","Ssiderea006569",1.74572922018809,2.7936375852282,"Coagulation factor 5/8 C-terminal domain, discoidin domain","Signal transduction mechanisms",NA,NA
"99","Ssiderea006707",1.84990280815301,1.42219653060988,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"100","Ssiderea006712",1.16541910827475,1.39730822419455,"ATP binding","Cytoskeleton",NA,NA
"101","Ssiderea007355",-2.2450833662382,-1.34905183084541,"metanephric glomerular basement membrane development","Extracellular structures",NA,NA
"102","Ssiderea007357",-3.21419110258738,-1.01871483204723,"calcium ion transport","",NA,NA
"103","Ssiderea007529",3.60959622412152,2.81196124378972,NA,NA,NA,NA
"104","Ssiderea007554",-2.2226904998069,-2.12680853107778,"glucose:sodium symporter activity","Inorganic ion transport and metabolism",NA,NA
"105","Ssiderea007661",-2.66184719935788,-1.22594850285206,NA,NA,NA,NA
"106","Ssiderea007706",-1.38815619005224,-2.12630325536346,NA,NA,NA,NA
"107","Ssiderea007768",-1.26841896092179,-2.48153570084572,NA,NA,NA,NA
"108","Ssiderea007826",-1.83198970862503,-2.78567696856172,"EGF domain","Signal transduction mechanisms",NA,NA
"109","Ssiderea007918",-1.06360159929505,-1.19189369018917,"medium-chain fatty acid-CoA ligase activity","Lipid transport and metabolism",NA,NA
"110","Ssiderea007956",-2.32894195345118,-1.1680452902513,"Belongs to the peptidase C19 family","Posttranslational modification, protein turnover, chaperones",NA,NA
"111","Ssiderea008044",-1.08478069803308,-2.46932777624611,NA,NA,NA,NA
"112","Ssiderea008138",1.80062644334319,2.33501385537731,NA,NA,NA,NA
"113","Ssiderea008285",1.70550593500425,1.94056010546134,"AP-5 complex subunit sigma-1","Function Unknown",NA,NA
"114","Ssiderea008320",-1.58187312773693,-1.21591200358804,"FAD transmembrane transport","Energy production and conversion",NA,NA
"115","Ssiderea008343",3.37923538479912,1.90818255977097,NA,NA,NA,NA
"116","Ssiderea008478",-2.32747731761841,-1.21126330854545,NA,NA,NA,NA
"117","Ssiderea008532",2.3904868008566,1.84576234254742,"scavenger receptor activity","Signal transduction mechanisms",NA,NA
"118","Ssiderea008739",-3.0402683712472,-1.51976703366596,NA,NA,NA,NA
"119","Ssiderea008754",1.2379481798627,1.01544293222495,NA,NA,NA,NA
"120","Ssiderea008758",-1.08478069803308,-1.61603352242288,NA,NA,NA,NA
"121","Ssiderea008952",5.88422544325393,1.62202755596891,"G-protein coupled receptor activity","Signal transduction mechanisms",NA,NA
"122","Ssiderea008973",1.43480463824675,1.07313890096951,NA,NA,NA,NA
"123","Ssiderea009069",2.08702849191275,2.07164268787853,"Coagulation factor 5/8 C-terminal domain, discoidin domain","Signal transduction mechanisms",NA,NA
"124","Ssiderea009081",-1.66719940570442,-1.11600968043485,"catalytic activity. It is involved in the biological process described with metabolic process","Lipid transport and metabolism",NA,NA
"125","Ssiderea009116",1.36509668083821,1.12238587196131,"Lipocalin-like domain","Cell wall/membrane/envelope biogenesis",NA,NA
"126","Ssiderea009695",-2.2226904998069,-1.32075069414552,NA,NA,NA,NA
"127","Ssiderea009730",1.31113378341494,2.23721805304699,NA,NA,NA,NA
"128","Ssiderea009771",1.07743471533793,2.14933608895503,NA,NA,NA,NA
"129","Ssiderea009801",2.79453223964007,3.54287599284897,NA,NA,NA,NA
"130","Ssiderea009898",2.82173087359902,4.2160103769129,"Papain family cysteine protease","Posttranslational modification, protein turnover, chaperones",NA,NA
"131","Ssiderea009987",1.00301521176874,1.47730794715147,"SANT  SWI3, ADA2, N-CoR and TFIIIB'' DNA-binding domains","Transcription",NA,NA
"132","Ssiderea010003",1.89964924408457,2.73244476148478,NA,NA,NA,NA
"133","Ssiderea010143",-2.29688671510542,-2.23209974340481,NA,NA,NA,NA
"134","Ssiderea010168",-1.40619551426575,-1.352710628829,"7 transmembrane receptor (rhodopsin family)","Function Unknown",NA,NA
"135","Ssiderea010217",-1.79714827935805,-2.08345243460508,NA,NA,NA,NA
"136","Ssiderea010264",3.56098827756719,3.24218132920427,"zinc ion binding","Posttranslational modification, protein turnover, chaperones",NA,NA
"137","Ssiderea010280",1.17248281654977,1.25843782158755,NA,NA,NA,NA
"138","Ssiderea010348",-2.41548270727933,-1.16046056754778,"Spermine synthase activity. It is involved in the biological process described with spermine biosynthetic process","Coenzyme transport and metabolism",NA,NA
"139","Ssiderea010376",1.20029119533851,1.93439951497476,"homogentisate 1,2-dioxygenase activity","Amino acid transport and metabolism",NA,NA
"140","Ssiderea010471",-1.34538130367681,-4.90222463614378,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"141","Ssiderea010741",1.13559262661929,1.18127314228829,"Notch homolog","Signal transduction mechanisms",NA,NA
"142","Ssiderea010865",1.1476127816781,1.17722972986653,"carbohydrate binding","Posttranslational modification, protein turnover, chaperones",NA,NA
"143","Ssiderea010960",-1.14558049018176,-1.7659368167265,"nail development","Carbohydrate transport and metabolism",NA,NA
"144","Ssiderea010964",-1.50240218823498,-1.07724561224373,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"145","Ssiderea011005",1.21639988724327,3.89128487086744,NA,NA,NA,NA
"146","Ssiderea011080",-2.50455114388353,-1.33417713130351,"Caspase domain","Function Unknown",NA,NA
"147","Ssiderea011154",1.06582578927063,1.11471419123702,"Hemicentin 1","Signal transduction mechanisms",NA,NA
"148","Ssiderea011251",1.04291428410781,2.11151934047802,"positive regulation of phosphorylation of RNA polymerase II C-terminal domain","Cell cycle control, cell division, chromosome partitioning",NA,NA
"149","Ssiderea011304",1.29496563849649,1.61356196580394,"Protein tyrosine phosphatase, catalytic domain","Signal transduction mechanisms",NA,NA
"150","Ssiderea011491",1.04435355191378,1.32035982470208,"calmodulin-dependent protein kinase activity","Signal transduction mechanisms",NA,NA
"151","Ssiderea011597",-1.69471982435711,-2.68100999193521,"carbohydrate binding","Function Unknown",NA,NA
"152","Ssiderea011641",1.45900359505067,1.52637008621937,"Hemicentin 1","Signal transduction mechanisms",NA,NA
"153","Ssiderea011646",1.94933993429397,1.10521813589607,"Scavenger receptor Cys-rich","Signal transduction mechanisms",NA,NA
"154","Ssiderea011678",1.24504924900107,1.69028960119038,"CUB domain containing protein 2","Signal transduction mechanisms",NA,NA
"155","Ssiderea011718",-1.19711470054102,-1.15115303491844,"cellular response to vasopressin","",NA,NA
"156","Ssiderea011810",1.07800364951654,1.24145703498549,NA,NA,NA,NA
"157","Ssiderea011981",6.22711043799228,4.3409739974631,NA,NA,NA,NA
"158","Ssiderea011982",5.59779723825941,5.33650114651689,NA,NA,NA,NA
"159","Ssiderea012006",1.18352548839784,1.87823310029996,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"160","Ssiderea012150",1.06582578927063,1.21766493285114,NA,NA,NA,NA
"161","Ssiderea012151",1.73048694315025,3.16690424595097,NA,NA,NA,NA
"162","Ssiderea012163",1.46269842685277,1.03769148554222,"extracellular ligand-gated ion channel activity","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"163","Ssiderea012245",1.31403415730996,3.48872941101416,NA,NA,NA,NA
"164","Ssiderea012262",1.40914664291385,1.84395067577908,NA,NA,NA,NA
"165","Ssiderea012317",1.37950881833979,1.01892978518059,NA,NA,NA,NA
"166","Ssiderea012341",1.97624311063184,1.96432588819381,NA,NA,NA,NA
"167","Ssiderea012391",1.7308546991433,2.22415879504928,"Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively","Nucleotide transport and metabolism",NA,NA
"168","Ssiderea012713",1.80062644334319,3.58609349370183,"negative regulation of growth rate","Signal transduction mechanisms",NA,NA
"169","Ssiderea012715",1.15662229346686,6.66766413440269,"hyaluronic acid binding","Signal transduction mechanisms",NA,NA
"170","Ssiderea012743",2.37956504521264,2.89518577833824,"collagen","Extracellular structures",NA,NA
"171","Ssiderea012886",1.10095231432116,1.15159668716501,NA,NA,NA,NA
"172","Ssiderea013067",4.92983012031931,6.29495813272127,"dihydrofolate reductase activity","Coenzyme transport and metabolism",NA,NA
"173","Ssiderea013167",-4.02006460194221,-2.12027367204,"Fibrinogen-related domains (FReDs)","Function Unknown",NA,NA
"174","Ssiderea013259",5.63133336361868,2.71909295500695,"arylesterase activity","Function Unknown",NA,NA
"175","Ssiderea013770",-3.69729161486423,-1.07437440122241,"Galactose-3-O-sulfotransferase","Function Unknown",NA,NA
"176","Ssiderea013833",2.30305917020803,1.02014245037333,"Ring finger and WD repeat domain 2","Function Unknown",NA,NA
"177","Ssiderea013867",-1.0359589774208,-1.94736221379314,"CUB and zona pellucida-like domain-containing protein","Function Unknown",NA,NA
"178","Ssiderea013956",-1.05111082336377,-1.20273676048931,NA,NA,NA,NA
"179","Ssiderea013981",-2.09237205079847,-1.03019295850838,"-","",NA,NA
"180","Ssiderea014060",1.02614642642435,1.62640599753985,NA,NA,NA,NA
"181","Ssiderea014114",-7.59696048871925,-1.26778902807668,"C-type lectin domain family 4 member G-like","",NA,NA
"182","Ssiderea014159",2.93727562887264,1.74927160031927,"scavenger receptor activity","Signal transduction mechanisms",NA,NA
"183","Ssiderea014222",1.27090156399057,1.00632488676077,"Tetratricopeptide repeat","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"184","Ssiderea014225",1.21916779935731,1.1500662580827,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"185","Ssiderea014529",1.31903897902804,1.59146822918529,"GMC oxidoreductase","Amino acid transport and metabolism",NA,NA
"186","Ssiderea014617",1.25197942201639,2.41496645505394,"fucose metabolic process","Carbohydrate transport and metabolism",NA,NA
"187","Ssiderea014725",-1.75478687273274,-2.09010691238782,NA,NA,NA,NA
"188","Ssiderea014817",1.9439730433077,1.63356700526127,"o-methyltransferase","Posttranslational modification, protein turnover, chaperones",NA,NA
"189","Ssiderea014825",-3.46115652067521,-1.71856236784334,"Solute carrier organic anion transporter family, member","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"190","Ssiderea014844",-1.66680293339807,-1.05410896759484,"NLE (NUC135) domain","Function Unknown",NA,NA
"191","Ssiderea014857",-1.91845056815216,-2.94258152082284,"regulation of mitotic cell cycle","Posttranslational modification, protein turnover, chaperones",NA,NA
"192","Ssiderea014913",3.10762865842667,5.96559486511638,"translation elongation factor activity","Translation, ribosomal structure and biogenesis",NA,NA
"193","Ssiderea015228",1.62316995244829,1.72064130024976,"BPTI/Kunitz family of serine protease inhibitors.","Posttranslational modification, protein turnover, chaperones",NA,NA
"194","Ssiderea015474",-4.23570176509006,-1.19457600572986,"3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity","Carbohydrate transport and metabolism",NA,NA
"195","Ssiderea015479",2.16079643446128,2.82396660467866,NA,NA,NA,NA
"196","Ssiderea015564",-1.28438828038432,-1.32047513288001,"Rdx family","Function Unknown",NA,NA
"197","Ssiderea015736",-3.8345825982688,-1.81864819818869,"molting cycle, collagen and cuticulin-based cuticle","",NA,NA
"198","Ssiderea015840",-2.53397592163814,-1.00003158664507,"E3 ubiquitin-protein ligase parkin","Posttranslational modification, protein turnover, chaperones",NA,NA
"199","Ssiderea015915",-1.14896174949945,-1.9879876408791,"Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)","Translation, ribosomal structure and biogenesis",NA,NA
"200","Ssiderea015986",1.43460117461007,3.45033276805115,NA,NA,NA,NA
"201","Ssiderea016067",1.46404191794041,1.76048270847527,"cell division cycle 5-like","Transcription",NA,NA
"202","Ssiderea016088",-3.83710738388703,-3.65771551492784,"alkaline phosphatase activity","Inorganic ion transport and metabolism",NA,NA
"203","Ssiderea016127",1.70044024167758,3.81876161160305,NA,NA,NA,NA
"204","Ssiderea016232",-1.3011241364197,-1.53374045209113,NA,NA,NA,NA
"205","Ssiderea016378",-1.00007474921992,-1.71881004117415,NA,NA,NA,NA
"206","Ssiderea016562",1.81340738830404,3.28649077520387,NA,NA,NA,NA
"207","Ssiderea016647",-1.82533655649309,-2.09297410730849,"Protein tyrosine kinase","Signal transduction mechanisms",NA,NA
"208","Ssiderea016663",2.15201056880072,1.31259880321738,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"209","Ssiderea016667",-1.59887294318778,-2.42233342937633,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"210","Ssiderea016812",3.39506830642255,3.67513515291766,NA,NA,NA,NA
"211","Ssiderea016881",-3.4793213170273,-2.11024932579758,NA,NA,NA,NA
"212","Ssiderea016945",2.26778511756453,2.77445879649606,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","RNA processing and modification",NA,NA
"213","Ssiderea017115",1.83909909388532,1.16272176140282,"phosphoenolpyruvate carboxykinase activity","Energy production and conversion",NA,NA
"214","Ssiderea017216",2.17367406553293,1.16046056754778,"nucleic acid-templated transcription","Function Unknown",NA,NA
"215","Ssiderea017330",-3.51321779781079,-1.62092090237116,NA,NA,NA,NA
"216","Ssiderea017365",3.73397589437058,4.86395266469732,"electron carrier activity. It is involved in the biological process described with oxidation-reduction process","Nucleotide transport and metabolism",NA,NA
"217","Ssiderea017671",-1.35025204045907,-1.04418533783809,NA,NA,NA,NA
"218","Ssiderea017817",3.33264305597183,1.06513907799609,"CHAT domain","Transcription",NA,NA
"219","Ssiderea017831",4.93627438768388,1.48234385190819,"propanoyl-CoA C-acyltransferase activity","Lipid transport and metabolism",NA,NA
"220","Ssiderea017832",-2.18338143464574,-1.23554899284203,NA,NA,NA,NA
"221","Ssiderea017874",-1.14135834992339,-1.01312750794149,"retinol dehydrogenase","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"222","Ssiderea018152",-1.68477524536557,-1.75784528744813,"collagen","Extracellular structures",NA,NA
"223","Ssiderea018246",-1.84143711527353,-1.06610527233591,NA,NA,NA,NA
"224","Ssiderea018266",3.81727665218772,2.33084738972881,NA,NA,NA,NA
"225","Ssiderea018495",1.74479497811616,1.74188774731408,NA,NA,NA,NA
"226","Ssiderea018836",-3.48045288013739,-2.58398057495623,NA,NA,NA,NA
"227","Ssiderea018905",-2.78227405718317,-1.58593576936391,"mitochondrial translational elongation","Translation, ribosomal structure and biogenesis",NA,NA
"228","Ssiderea018910",-1.46105045348839,-1.51869063943457,"Belongs to the cullin family","Cell cycle control, cell division, chromosome partitioning",NA,NA
"229","Ssiderea019185",-1.27618529338395,-3.16878517205682,NA,NA,NA,NA
"230","Ssiderea019349",-1.41702689488413,-1.17163903947573,"protein O-linked mannosylation","Carbohydrate transport and metabolism",NA,NA
"231","Ssiderea019391",-3.31563189845673,-3.37218774366856,"positive regulation of voltage-gated calcium channel activity","Signal transduction mechanisms",NA,NA
"232","Ssiderea019397",2.00243737549036,1.88548366635024,"Leucine-rich repeat-containing protein 31","Function Unknown",NA,NA
"233","Ssiderea019422",1.94146758501125,4.91218712168631,"negative regulation of bile acid biosynthetic process","Signal transduction mechanisms",NA,NA
"234","Ssiderea019629",5.01063911839981,2.15303235233289,NA,NA,NA,NA
"235","Ssiderea019630",2.6420120625967,2.49021701774468,NA,NA,NA,NA
"236","Ssiderea019708",-1.95993276726099,-1.04418533783809,NA,NA,NA,NA
"237","Ssiderea019780",1.95265097607222,1.32882442693381,"cyclic-di-GMP binding","Function Unknown",NA,NA
"238","Ssiderea019816",1.59443469388731,1.17801923104887,NA,NA,NA,NA
"239","Ssiderea019818",1.40965784393995,1.05052118950572,"Glucose-induced degradation protein 8 homolog","Cytoskeleton",NA,NA
"240","Ssiderea019840",-2.87575098965146,-2.35113592889506,"Sushi, nidogen and EGF-like","Signal transduction mechanisms",NA,NA
"241","Ssiderea019841",-2.26550625870301,-1.67622288597703,NA,NA,NA,NA
"242","Ssiderea019899",2.18338143464574,1.62741773231902,"Nodal homolog","Signal transduction mechanisms",NA,NA
"243","Ssiderea020491",-4.30729315938149,2.33732849112928,NA,NA,NA,NA
"244","Ssiderea020500",5.4631994275798,5.64321747744593,NA,NA,NA,NA
"245","Ssiderea020581",-2.02882998631476,-1.82342319234836,"C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","Signal transduction mechanisms",NA,NA
"246","Ssiderea020631",-2.01547573664051,-1.67622288597703,"regulation of voltage-gated sodium channel activity","Signal transduction mechanisms",NA,NA
"247","Ssiderea020718",1.1318428655446,1.69728670709246,NA,NA,NA,NA
"248","Ssiderea020887",1.05799290827498,1.33305078281368,"tetratricopeptide repeat","Intracellular trafficking, secretion, and vesicular transport",NA,NA
"249","Ssiderea020898",1.06541906546477,2.12069020646966,"protein serine/threonine kinase activity","Signal transduction mechanisms",NA,NA
"250","Ssiderea020931",1.25803733261957,1.35643058499058,NA,NA,NA,NA
"251","Ssiderea021127",-1.9829625674223,-1.75162255675472,"ribosomal large subunit biogenesis","Function Unknown",NA,NA
"252","Ssiderea021182",-1.27737544825565,-1.36158704920792,NA,NA,NA,NA
"253","Ssiderea021220",2.08748386716861,3.75525615404209,"Synaptic vesicle membrane protein VAT-1 homolog","Energy production and conversion",NA,NA
"254","Ssiderea021262",-2.52251751472397,-2.61321500740195,"NFX1-type zinc finger-containing protein","Replication, recombination and repair",NA,NA
"255","Ssiderea021268",-2.93230440229721,-1.23968223365667,"NFX1-type zinc finger-containing protein","Replication, recombination and repair",NA,NA
"256","Ssiderea021340",1.81340738830404,1.20280768582288,"Ectoine synthase","Function Unknown",NA,NA
"257","Ssiderea021343",2.26079237434195,2.91437684996649,"-","",NA,NA
"258","Ssiderea021366",1.4891917521557,1.49820676254946,NA,NA,NA,NA
"259","Ssiderea021568",1.67930015308202,2.43194621034321,"Ankyrin repeat and SAM domain-containing protein 6","RNA processing and modification",NA,NA
"260","Ssiderea021609",-1.0512428773555,-2.13457245772514,"carbohydrate binding","Posttranslational modification, protein turnover, chaperones",NA,NA
"261","Ssiderea021838",1.46797995405995,1.56609321610419,"-","",NA,NA
"262","Ssiderea021920",1.93114150063196,3.28649520741081,NA,NA,NA,NA
"263","Ssiderea022000",-2.50139725295373,-1.6695934472195,NA,NA,NA,NA
"264","Ssiderea022008",3.21419110258738,1.50077629438802,NA,NA,NA,NA
"265","Ssiderea022066",-1.07645985398892,-1.22222798313893,"octopamine biosynthetic process","Function Unknown",NA,NA
"266","Ssiderea022145",2.30477305874168,1.42228828365851,NA,NA,NA,NA
"267","Ssiderea022223",-1.79108022697321,-1.85631307647477,"HEAT repeat-containing protein 4","Function Unknown",NA,NA
"268","Ssiderea022229",-2.42104558423899,-1.30102705172927,"-","",NA,NA
"269","Ssiderea022230",1.53938996729345,1.24151241264299,"histone pre-mRNA stem-loop binding","Replication, recombination and repair",NA,NA
"270","Ssiderea022358",-4.40209843024016,-2.84699931961948,NA,NA,NA,NA
"271","Ssiderea022367",1.70524347812479,2.07018913989835,"proton-transporting ATPase activity, rotational mechanism","Energy production and conversion",NA,NA
"272","Ssiderea022438",5.5082546347568,4.3409739974631,"Laminin B domain","Signal transduction mechanisms",NA,NA
"273","Ssiderea022541",2.2366861859467,3.20009990338955,"protein phosphatase 1, regulatory subunit","",NA,NA
"274","Ssiderea022549",1.00446023168008,1.98850697897292,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"275","Ssiderea022553",-1.55433271676344,-2.73916649915245,"NFX1-type zinc finger-containing protein","Replication, recombination and repair",NA,NA
"276","Ssiderea022604",-2.38739787108642,-1.68057662953853,"voltage-gated potassium channel activity","Translation, ribosomal structure and biogenesis",NA,NA
"277","Ssiderea022680",-1.14760471798839,-1.07672805047082,NA,NA,NA,NA
"278","Ssiderea022681",-1.64095218036839,-1.66399823089562,NA,NA,NA,NA
"279","Ssiderea022809",-1.70256713601191,-1.02542681681339,NA,NA,NA,NA
"280","Ssiderea022857",-1.69189641077335,-1.44357374451394,"fibroblast growth factor-activated receptor activity","Signal transduction mechanisms",NA,NA
"281","Ssiderea022859",-1.06641688119902,-1.19439738905096,"DBH-like monooxygenase protein 1","Amino acid transport and metabolism",NA,NA
"282","Ssiderea022887",-4.57683821987609,-2.47313839647861,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"283","Ssiderea022933",-2.14139180667393,-1.61356196580394,NA,NA,NA,NA
"284","Ssiderea022973",-2.36308913996509,-1.29363641091542,NA,NA,NA,NA
"285","Ssiderea022991",3.23973372080104,1.51811456892933,"N-acylsphingosine amidohydrolase activity","Function Unknown",NA,NA
"286","Ssiderea023032",-2.7796717226228,-2.23721805304699,NA,NA,NA,NA
"287","Ssiderea023113",-1.28361961556062,-1.35816680133143,"Catechol O-methyltransferase domain-containing protein","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"288","Ssiderea023314",2.39849754592083,1.56594149602116,NA,NA,NA,NA
"289","Ssiderea023333",1.10598309166349,1.15115303491844,"beta-galactosidase activity","Carbohydrate transport and metabolism",NA,NA
"290","Ssiderea023339",-1.04758449269386,-1.00822325618423,"glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity","Carbohydrate transport and metabolism",NA,NA
"291","Ssiderea023649",-4.66847489702478,-5.07537034585942,NA,NA,NA,NA
"292","Ssiderea023651",-3.56863866639337,-1.46413411748696,NA,NA,NA,NA
"293","Ssiderea023735",1.21916779935731,4.3409739974631,NA,NA,NA,NA
"294","Ssiderea023852",2.79715704599034,2.75728183297089,"Neuronal pentraxin","Signal transduction mechanisms",NA,NA
"295","Ssiderea023878",1.53483245303458,1.77137414025151,NA,NA,NA,NA
"296","Ssiderea023900",3.58814605334619,2.26179717982508,"Complement","Posttranslational modification, protein turnover, chaperones",NA,NA
"297","Ssiderea023904",-1.72151707719859,-1.13133705768698,"UDP-glucoronosyl and UDP-glucosyl transferase","",NA,NA
"298","Ssiderea023913",1.84066842555734,1.13731615116174,NA,NA,NA,NA
"299","Ssiderea023975",1.50817964155529,2.37548823500258,NA,NA,NA,NA
"300","Ssiderea023985",1.33440115760555,1.34762093127962,"nicotinamide phosphoribosyltransferase activity","Coenzyme transport and metabolism",NA,NA
"301","Ssiderea024034",-1.18233972956005,-1.66413252483599,NA,NA,NA,NA
"302","Ssiderea024163",-2.13008481518413,-1.03677142234206,"acetyl-CoA hydrolase activity","Lipid transport and metabolism",NA,NA
"303","Ssiderea024229",-5.45982554696485,-1.98601691050804,NA,NA,NA,NA
"304","Ssiderea024230",-5.42806667901096,-1.25095359479532,NA,NA,NA,NA
"305","Ssiderea024535",2.7381335794108,1.98601691050804,NA,NA,NA,NA
"306","Ssiderea024538",-1.80062644334319,-1.50468602870226,NA,NA,NA,NA
"307","Ssiderea024585",-6.09060879849897,-3.75557694965085,"Transmembrane amino acid transporter protein","Amino acid transport and metabolism",NA,NA
"308","Ssiderea024595",-1.48674554542556,-1.03378653835853,"biological adhesion","Extracellular structures",NA,NA
"309","Ssiderea024607",1.75942080798809,2.11327310534496,NA,NA,NA,NA
"310","Ssiderea024700",1.2602356496737,1.87460156076844,NA,NA,NA,NA
"311","Ssiderea024710",-7.74925220982198,-9.20245313659103,NA,NA,NA,NA
"312","Ssiderea024727",1.03502264354824,1.00439538566624,NA,NA,NA,NA
"313","Ssiderea024769",1.56614110279337,4.22794611641678,NA,NA,NA,NA
"314","Ssiderea024838",1.8800526008127,2.36461475560137,"Belongs to the G-protein coupled receptor 1 family","Signal transduction mechanisms",NA,NA
"315","Ssiderea024844",-1.74769640172041,-1.29271520399083,NA,NA,NA,NA
"316","Ssiderea024906",2.73051418872094,5.36551800123087,"Galactose binding lectin domain","Posttranslational modification, protein turnover, chaperones",NA,NA
"317","Ssiderea024910",2.26039144749943,1.67170780123945,NA,NA,NA,NA
"318","Ssiderea024988",-1.1557603031945,-1.73313014217237,"ephrin receptor binding","Signal transduction mechanisms",NA,NA
"319","Ssiderea025061",2.47676924933633,1.06304844349187,NA,NA,NA,NA
"320","Ssiderea025376",-1.10406893701577,-1.29679815836061,"gamma-glutamyl-peptidase activity","Coenzyme transport and metabolism",NA,NA
"321","Ssiderea025583",-3.40657639815267,-2.27596999082256,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",NA,NA
"322","Ssiderea025633",-1.11618665646539,-1.58463175407517,"neurotransmitter:sodium symporter activity","Signal transduction mechanisms",NA,NA
"323","Ssiderea025659",5.01063911839981,1.72064130024976,"NADP-retinol dehydrogenase activity","Secondary metabolites biosynthesis, transport and catabolism",NA,NA
"324","Ssiderea025685",3.60948294912118,-1.17460491597446,"Collagen triple helix","Function Unknown",NA,NA
"325","Ssiderea025962",2.10838969731846,1.05804094547972,NA,NA,NA,NA
"326","Ssiderea026077",3.12965129216163,1.4639684246702,NA,NA,NA,NA
"327","Ssiderea026079",-1.31113378341494,-1.81954248040819,"kynurenine 3-monooxygenase activity","Energy production and conversion",NA,NA
"328","Ssiderea026130",2.52284606062161,3.16878517205682,"HD domain","Function Unknown",NA,NA
"329","Ssiderea026182",1.17940885395905,1.61356196580394,"protein phosphatase 1, regulatory subunit 21","Cell cycle control, cell division, chromosome partitioning",NA,NA
"330","Ssiderea026208",1.50174472986599,3.1973905615017,NA,NA,NA,NA
"331","Ssiderea026325",-1.66188326448067,-1.0037724011458,"Protein kinase C conserved region 2 (CalB)","Function Unknown",NA,NA
"332","Ssiderea026331",-2.73587048666775,-5.50818787909098,"Belongs to the ATP guanido phosphotransferase family","Energy production and conversion",NA,NA
"333","Ssiderea026336",-1.00902807514823,-1.82619782435476,NA,NA,NA,NA
"334","Ssiderea026458",2.21701298223055,1.352710628829,"guanylate cyclase activity","Signal transduction mechanisms",NA,NA
"335","Ssiderea026489",-2.31225938444902,-1.34905183084541,NA,NA,NA,NA
"336","Ssiderea026676",1.16163196371695,3.02997012208026,"C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","",NA,NA
"337","Ssiderea026681",2.23098860170188,3.43479772062539,"C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","",NA,NA
"338","Ssiderea026717",-1.6997515745287,-1.20222251677218,NA,NA,NA,NA
"339","Ssiderea026835",-4.80543289115322,-1.80422673988214,NA,NA,NA,NA
"340","Ssiderea026844",2.25021370181532,6.69946802936159,"negative regulation of chemokine (C-X-C motif) ligand 2 production","Signal transduction mechanisms",NA,NA
"341","Ssiderea026847",4.1326749463201,3.42039323480971,NA,NA,NA,NA
"342","Ssiderea026848",3.11160916748887,1.18710406148062,NA,NA,NA,NA
"343","Ssiderea026849",1.49067377543496,1.64085539816762,"C-type lectin (CTL) or carbohydrate-recognition domain (CRD)","",NA,NA
