"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1189","Ssiderea051186",NA,NA,NA,NA,1.40071220480001,1.41314118949035
"1190","Ssiderea051572",NA,NA,"HNK-1 sulfotransferase activity","Carbohydrate transport and metabolism",-1.1485052771847,-1.13312362477021
"1191","Ssiderea051796",NA,NA,"Glycosyl hydrolase family 20, catalytic domain","Carbohydrate transport and metabolism",2.13219494946304,4.46941856853408
"1192","Ssiderea051914",NA,NA,"axoneme assembly","",-2.2950367485998,-2.45996780631838
"1193","Ssiderea051932",NA,NA,"coagulation factor V","Signal transduction mechanisms",-1.04408947252039,-1.10664614773381
"1194","Ssiderea052157",NA,NA,NA,NA,1.61896667096512,1.03329648841774
"1195","Ssiderea052159",NA,NA,"Lipoxygenase homology 2 (beta barrel) domain","",-1.20834927529267,-2.21038573070902
"1196","Ssiderea052362",NA,NA,NA,NA,1.52648148574228,1.50258725359018
"1197","Ssiderea052518",NA,NA,NA,NA,-4.16504685905433,-1.55768911769077
"1198","Ssiderea052656",NA,NA,"carbohydrate binding","",-3.00353992564951,-5.56310524015066
"1199","Ssiderea053017",NA,NA,"Interferon induced with helicase C domain 1","RNA processing and modification",1.02841264362956,1.61444795013199
"1200","Ssiderea053115",NA,NA,"Structural maintenance of chromosomes","Replication, recombination and repair",-5.01718706925105,-4.68949329002826
"1201","Ssiderea053364",NA,NA,"Common central domain of tyrosinase","Amino acid transport and metabolism",2.18692990685883,1.85439097832643
"1202","Ssiderea053371",NA,NA,"Common central domain of tyrosinase","Amino acid transport and metabolism",3.14571781218993,1.00916440616374
"1203","Ssiderea053696",NA,NA,NA,NA,-1.07725211466337,-4.48852986460766
"1204","Ssiderea053724",NA,NA,NA,NA,-4.71237099902689,-3.57397505095365
"1205","Ssiderea053828",NA,NA,NA,NA,3.10445350327063,2.65395706438519
"1206","Ssiderea054400",NA,NA,NA,NA,2.42667410179726,2.75886282543281
"1207","Ssiderea054582",NA,NA,"Belongs to the G-protein coupled receptor 2 family","Signal transduction mechanisms",-1.32212747286868,-1.5223436147208
"1208","Ssiderea054683",NA,NA,NA,NA,-1.09149650932219,-1.0184279851765
"1209","Ssiderea054891",NA,NA,"aryl sulfotransferase activity","Function Unknown",-1.00011403903185,2.53289600270092
"1210","Ssiderea055324",NA,NA,"regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback","",-2.59680073641632,-2.49541882833164
"1211","Ssiderea056118",NA,NA,NA,NA,-1.26832541084142,-2.0309231696753
"1212","Ssiderea056460",NA,NA,NA,NA,1.05097740326489,7.02396173009884
"1213","Ssiderea056771",NA,NA,"histidine transport","Amino acid transport and metabolism",1.429631339652,1.10664614773381
"1214","Ssiderea056809",NA,NA,NA,NA,1.42216151380387,1.37346800388564
"1215","Ssiderea057248",NA,NA,"-","",2.27047667949466,7.02396173009884
"1216","Ssiderea057290",NA,NA,NA,NA,1.22989689566931,2.01569479461039
"1217","Ssiderea057306",NA,NA,NA,NA,-5.30730582033452,-4.53692668407567
"1218","Ssiderea057323",NA,NA,"Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process","Amino acid transport and metabolism",-1.2863651454503,-2.0309231696753
"1219","Ssiderea057744",NA,NA,"Cytochrome P450","",1.32873271510431,1.8033501391378
"1220","Ssiderea057794",NA,NA,"Peptidase family M28","Posttranslational modification, protein turnover, chaperones",-1.05773455960017,-1.05306968451232
"1221","Ssiderea057909",NA,NA,NA,NA,-1.01955090962505,-1.37934363954498
"1222","Ssiderea057978",NA,NA,NA,NA,1.27860987687493,1.12360613593541
"1223","Ssiderea058012",NA,NA,"UDP-Gal betaGlcNAc beta 1,4- galactosyltransferase, polypeptide","Carbohydrate transport and metabolism",5.79245129222774,4.33264820914445
"1224","Ssiderea058022",NA,NA,"-","",2.18672313451552,2.0309231696753
"1225","Ssiderea058081",NA,NA,NA,NA,3.86227854558278,1.75253092790511
"1226","Ssiderea058082",NA,NA,"Si ch211-69l10.4","Function Unknown",-1.2158020794936,-1.17290176331964
"1227","Ssiderea058118",NA,NA,"Myb/SANT-like DNA-binding domain","Function Unknown",-1.95381208193415,-1.15273848863465
"1228","Ssiderea058353",NA,NA,"Common central domain of tyrosinase","Amino acid transport and metabolism",1.03092149712026,1.75274031938644
"1229","Ssiderea058589",NA,NA,NA,NA,-2.08606229570369,-1.82960812126454
"1230","Ssiderea058642",NA,NA,NA,NA,-2.80161653240785,-4.2294148921312
"1231","Ssiderea058877",NA,NA,"positive regulation of glutamate neurotransmitter secretion in response to membrane depolarization","",2.92765248603346,1.9063449074909
"1232","Ssiderea058965",NA,NA,NA,NA,-2.63889197643568,-1.91241047715731
"1233","Ssiderea058971",NA,NA,NA,NA,2.05413644963727,5.33511640658121
"1234","Ssiderea059105",NA,NA,"Translocase of inner mitochondrial membrane 21","Function Unknown",3.21605288965537,1.33926412709543
"1235","Ssiderea059158",NA,NA,"four-way junction helicase activity","Replication, recombination and repair",-1.40071220480001,-1.03329648841774
"1236","Ssiderea059167",NA,NA,NA,NA,-1.0381170510811,-1.10479078443576
"1237","Ssiderea59194",NA,NA,NA,NA,-1.07072988786469,-1.29131959293549
"1238","Ssiderea59378",NA,NA,NA,NA,2.46622532837787,1.046769038691
"1239","Ssiderea59438",NA,NA,NA,NA,-2.64367086499721,-1.03074201084938
"1240","Ssiderea59477",NA,NA,"-","",-2.3032728095049,-2.03252929174618
"1241","Ssiderea59537",NA,NA,NA,NA,-4.44008555618861,-1.81847994051036
"1242","Ssiderea59705",NA,NA,NA,NA,1.91658945323432,1.35372662838828
"1243","Ssiderea59793",NA,NA,NA,NA,-1.15528539212949,-2.2792602458964
"1244","Ssiderea59845",NA,NA,NA,NA,-3.22850051980899,-2.23372757671175
"1245","Ssiderea59853",NA,NA,NA,NA,-1.18560955201803,-1.8791707675454
"1246","Ssiderea59859",NA,NA,NA,NA,1.20989765997445,2.7696168343847
"1247","Ssiderea59860",NA,NA,"transposition, RNA-mediated","Replication, recombination and repair",-1.10094880531463,-1.08573930673047
"1248","Ssiderea59884",NA,NA,NA,NA,-1.23616271077275,-1.83925155585171
"1249","Ssiderea59895",NA,NA,NA,NA,4.05661195316956,3.5624763810286
"1250","Ssiderea59897",NA,NA,NA,NA,-3.24794718708375,-1.56868292634037
"1251","Ssiderea60036",NA,NA,NA,NA,1.23733504702423,3.58881321270063
"1252","Ssiderea60042",NA,NA,"-","",-3.10445350327063,-1.56546738513534
"1253","Ssiderea60093",NA,NA,"Collagen triple helix","Function Unknown",1.96763436925632,2.05750478964926
"1254","Ssiderea60182",NA,NA,NA,NA,1.3681227564333,1.13613164089786
"1255","Ssiderea60183",NA,NA,NA,NA,-1.98097390890271,-1.04234242046132
"1256","Ssiderea60216",NA,NA,"K02A2.6-like","Amino acid transport and metabolism",2.39435137468171,3.05529175391898
"1257","Ssiderea60348",NA,NA,NA,NA,-3.04323320382379,-1.1325991805434
"1258","Ssiderea60368",NA,NA,"metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones",1.21687692391373,1.40044276932691
"1259","Ssiderea60552",NA,NA,NA,NA,-1.26651626832609,-2.146931729689
"1260","Ssiderea60684",NA,NA,"Glycosyl transferases group 1","Cell wall/membrane/envelope biogenesis",-7.89342113823371,-3.93270473416709
"1261","Ssiderea60824",NA,NA,"Reverse transcriptase (RNA-dependent DNA polymerase)","Carbohydrate transport and metabolism",-1.14775056318611,-2.10087114538004
"1262","Ssiderea60964",NA,NA,"-","",-1.56161997917685,-1.8791707675454
"1263","Ssiderea60971",NA,NA,"transposition, RNA-mediated","Replication, recombination and repair",-2.0800958640801,-1.56735844128438
