"","comparison","gene","lpv.LC_CC","lpv.CH_CC","lpv.LH_CC","annot","KOG"
"90","stress_control","Ssiderea033647",1.29139550095794,2.29972773811681,2.26173045313724,NA,NA
"91","stress_control","Ssiderea033671",9.84109778139642,11.2281772175883,11.9160837422351,NA,NA
"92","stress_control","Ssiderea033675",10.9866036274231,12.0092263281294,14.7553903935813,NA,NA
"93","stress_control","Ssiderea033678",4.54856644128612,2.83227299945483,3.31823023461385,NA,NA
"94","stress_control","Ssiderea033884",1.76271162711638,3.02163445071031,2.36427260097108,NA,NA
"95","stress_control","Ssiderea034174",1.08074532819672,1.20426975359185,1.83907784385662,"collagen","Extracellular structures"
"96","stress_control","Ssiderea034786",1.18481645467933,2.81854023930742,3.185226545326,"Filamin C, gamma","Cytoskeleton"
"97","stress_control","Ssiderea034936",-1.22057071040207,-3.07837010115603,-2.87655488407912,"Cell adhesion molecule","Signal transduction mechanisms"
"98","stress_control","Ssiderea035505",1.21388471685481,2.33448189253981,4.51004099292275,NA,NA
"99","stress_control","Ssiderea035890",1.31509287112284,1.50274519761448,1.45137527872473,NA,NA
"100","stress_control","Ssiderea036714",3.27283050390068,3.37889018059115,3.20952606958882,NA,NA
"101","stress_control","Ssiderea036834",1.64820465197808,4.72622625926759,7.22797392796764,NA,NA
"102","stress_control","Ssiderea037540",3.14393759618285,1.93201980192805,2.92700315968598,"Common central domain of tyrosinase","Posttranslational modification, protein turnover, chaperones"
"103","stress_control","Ssiderea037541",6.16462995270689,2.19754831898468,4.03136049762716,"serine-type endopeptidase inhibitor activity","Posttranslational modification, protein turnover, chaperones"
"104","stress_control","Ssiderea037729",1.24255951172476,2.76278412106762,1.54358703928149,"quinone binding","Energy production and conversion"
"105","stress_control","Ssiderea038150",1.92626746802659,1.21653896786759,2.35443234564715,NA,NA
"106","stress_control","Ssiderea038345",1.49635898555903,3.12004993461391,4.30571586148457,"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family","Cytoskeleton"
"107","stress_control","Ssiderea038430",1.36258957846457,2.56151747513295,3.34887485312351,"structural constituent of cuticle","Extracellular structures"
"108","stress_control","Ssiderea038439",1.64820465197808,4.81253588858786,5.10417238707236,NA,NA
"109","stress_control","Ssiderea038569",3.37088116583112,2.73115305271594,3.40131485014546,NA,NA
"110","stress_control","Ssiderea038585",1.31509287112284,2.35205387237295,1.83590554215348,NA,NA
"111","stress_control","Ssiderea038691",1.13529498546061,2.7018541166509,2.91723111905319,NA,NA
"112","stress_control","Ssiderea039136",-1.95877576943173,-1.70781114709224,-2.21253196721765,"Mucin 4, cell surface associated","Signal transduction mechanisms"
"113","stress_control","Ssiderea039263",1.65930375288828,1.07461879736097,1.4227927888625,"Fibrillar collagens C-terminal domain","Extracellular structures"
"114","stress_control","Ssiderea039355",1.88340791161636,-1.20822652361984,-1.96831023759129,"60s ribosomal protein","Translation, ribosomal structure and biogenesis"
"115","stress_control","Ssiderea039384",1.68379271680057,3.28678766079739,3.85912107287548,NA,NA
"116","stress_control","Ssiderea040225",1.00681890897403,-3.35011435974223,-3.74894340528117,"supervillin","Cytoskeleton"
"117","stress_control","Ssiderea041776",-1.29414593527576,-1.82614035224223,-2.42392099738717,"Guanine nucleotide exchange factor for Ras-like small GTPases","Signal transduction mechanisms"
"118","stress_control","Ssiderea042178",1.29139550095794,1.67520480422974,1.18619969481498,NA,NA
"119","stress_control","Ssiderea042330",-1.03812050527686,-8.7179163702075,-8.10373712192794,"Sterol-sensing domain of SREBP cleavage-activation","Lipid transport and metabolism"
"120","stress_control","Ssiderea042819",2.01878274967941,3.4049171998339,3.34132064418888,NA,NA
"121","stress_control","Ssiderea044659",1.62324973572624,1.65771827878924,2.0130599874845,"Malate dehydrogenase","Energy production and conversion"
"122","stress_control","Ssiderea044678",-2.72014095450478,-7.54849529727023,-9.93349336218851,"annexin A6","Intracellular trafficking, secretion, and vesicular transport"
"123","stress_control","Ssiderea044860",1.29493049221021,1.31802831885527,1.39383865945744,"Ndr family","Function Unknown"
"124","stress_control","Ssiderea045223",2.35266528514557,3.60731852306841,2.28542546507108,"ephrin receptor binding","Signal transduction mechanisms"
"125","stress_control","Ssiderea045236",1.5743500205043,2.93083965474538,1.94117040067148,NA,NA
"126","stress_control","Ssiderea045901",1.07719819316947,1.06438574082768,2.3270571744087,"benzodiazepine receptor binding","Signal transduction mechanisms"
"127","stress_control","Ssiderea046072",1.15719890594455,1.13153548655266,4.42722869580078,"acetyltransferase activator activity","Function Unknown"
"128","stress_control","Ssiderea047239",1.07879763048339,3.16858949959649,3.31410163597914,"brca1 gene 1","Function Unknown"
"129","stress_control","Ssiderea047625",1.40406716883333,-1.13970561415822,-1.37659228266464,"ribosomal protein","Translation, ribosomal structure and biogenesis"
"130","stress_control","Ssiderea047859",-1.27922708257751,-3.00172803904997,-4.14348980529428,"Belongs to the peptidase M10A family","Posttranslational modification, protein turnover, chaperones"
"131","stress_control","Ssiderea048360",6.16462995270689,8.42274924076919,7.28822248741565,"Serpentine type 7TM GPCR chemoreceptor Srx","Function Unknown"
"132","stress_control","Ssiderea048486",1.03470691452438,2.19810661811223,2.54166814961938,NA,NA
"133","stress_control","Ssiderea049169",1.07879763048339,-1.71863220829289,-2.57803701460762,"translation","Translation, ribosomal structure and biogenesis"
"134","stress_control","Ssiderea049437",4.61638054780286,5.87131267292376,7.29197498777764,NA,NA
