"row_label","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"Urban Sites vs Rainbow Reef_5","Urban Sites vs Rainbow Reef","Ssiderea054891",NA,NA,"aryl sulfotransferase activity","Function Unknown",-1.00011403903185,2.53289600270092,"Inverse",1.00011403903185,2.53289600270092,1.53278196366907,0.0999737449897548,0.00293159516869562,34.1021659666048,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,-1.00011403903185,2.53289600270092
"Urban Sites vs Emerald Reef_7","Urban Sites vs Emerald Reef","Ssiderea004833",4.2256795676156,1.29459277276932,NA,NA,4.2256795676156,1.29459277276932,"Direct",4.2256795676156,1.29459277276932,2.93108679484628,5.94730802739778e-05,0.0507466323916631,853.270625262486,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_8","Urban Sites vs Emerald Reef","Ssiderea005375",8.45219589153796,1.26860581651639,NA,NA,8.45219589153796,1.26860581651639,"Direct",8.45219589153796,1.26860581651639,7.18359007502158,3.53023899996413e-09,0.0538758560030808,15261248.8853101,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_9","Urban Sites vs Emerald Reef","Ssiderea006090",-1.00866121635726,-3.07913190775731,"axonogenesis involved in innervation","Function Unknown",-1.00866121635726,-3.07913190775731,"Direct",1.00866121635726,3.07913190775731,2.07047069140005,0.098025436225775,0.000833428010054297,117.6171607424,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_10","Urban Sites vs Emerald Reef","Ssiderea007357",-3.21419110258738,-1.01871483204723,"calcium ion transport","",-3.21419110258738,-1.01871483204723,"Direct",3.21419110258738,1.01871483204723,2.19547627054014,0.000610673251243907,0.0957822793788527,156.847019553828,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_11","Urban Sites vs Emerald Reef","Ssiderea011005",1.21639988724327,3.89128487086744,NA,NA,1.21639988724327,3.89128487086744,"Direct",1.21639988724327,3.89128487086744,2.67488498362417,0.0607575303851693,0.000128444386620766,473.025968542767,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_12","Urban Sites vs Emerald Reef","Ssiderea012715",1.15662229346686,6.66766413440269,"hyaluronic acid binding","Signal transduction mechanisms",1.15662229346686,6.66766413440269,"Direct",1.15662229346686,6.66766413440269,5.51104184093583,0.0697232634721944,2.14949216086828e-07,324370.866484249,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_13","Urban Sites vs Emerald Reef","Ssiderea013770",-3.69729161486423,-1.07437440122241,"Galactose-3-O-sulfotransferase","Function Unknown",-3.69729161486423,-1.07437440122241,"Direct",3.69729161486423,1.07437440122241,2.62291721364182,0.000200774422381494,0.0842608040028252,419.678976053634,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_14","Urban Sites vs Emerald Reef","Ssiderea014114",-7.59696048871925,-1.26778902807668,"C-type lectin domain family 4 member G-like","",-7.59696048871925,-1.26778902807668,"Direct",7.59696048871925,1.26778902807668,6.32917146064257,2.52952811760479e-08,0.0539772770087982,2133887.21133921,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_15","Urban Sites vs Emerald Reef","Ssiderea015474",-4.23570176509006,-1.19457600572986,"3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity","Carbohydrate transport and metabolism",-4.23570176509006,-1.19457600572986,"Direct",4.23570176509006,1.19457600572986,3.04112575936019,5.81163371952553e-05,0.0638886916181329,1099.32412642394,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_16","Urban Sites vs Emerald Reef","Ssiderea017817",3.33264305597183,1.06513907799609,"CHAT domain","Transcription",3.33264305597183,1.06513907799609,"Direct",3.33264305597183,1.06513907799609,2.26750397797573,0.000464897214474866,0.0860718072618804,185.141585240739,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","Star Island vs Emerald Reef >> MacArthur North vs Emerald Reef",2,2,1.3,100,NA,NA
"Urban Sites vs Emerald Reef_17","Urban Sites vs Emerald Reef","Ssiderea023735",1.21916779935731,4.3409739974631,NA,NA,1.21916779935731,4.3409739974631,"Direct",1.21916779935731,4.3409739974631,3.1218061981058,0.0603715325430114,4.5606422109153e-05,1323.75068578105,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","discordant","Direct (discordant significance)","MacArthur North vs Emerald Reef >> Star Island vs Emerald Reef",2,2,1.3,100,NA,NA
