"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"Bleaching vs OA_16","Bleaching vs OA","Ssiderea030383",1.09386778640167,-1.07065437362213,NA,NA,1.09386778640167,-1.07065437362213,"Inverse",1.09386778640167,1.07065437362213,0.0232134127795367,0.0805623662347693,0.0849856550840403,1.05490515058087,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_17","Bleaching vs OA","Ssiderea031617",1.10052889977246,-2.40991521516606,"WAP four-disulfide core domain","Extracellular structures",1.10052889977246,-2.40991521516606,"Inverse",1.10052889977246,2.40991521516606,1.30938631539359,0.0793361461428462,0.00389121103472568,20.3885488180517,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_18","Bleaching vs OA","Ssiderea033307",1.04985515994948,-1.14253722204605,"Protein prenyltransferase activity. It is involved in the biological process described with protein prenylation","Posttranslational modification, protein turnover, chaperones",1.04985515994948,-1.14253722204605,"Inverse",1.04985515994948,1.14253722204605,0.0926820620965738,0.0891548225722389,0.07202160210901,1.23789002134799,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_19","Bleaching vs OA","Ssiderea039355",1.88340791161636,-1.20822652361984,"60s ribosomal protein","Translation, ribosomal structure and biogenesis",1.88340791161636,-1.20822652361984,"Inverse",1.88340791161636,1.20822652361984,0.675181387996517,0.0130795284959263,0.0619118065108713,4.7334891720412,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_20","Bleaching vs OA","Ssiderea040225",1.00681890897403,-3.35011435974223,"supervillin","Cytoskeleton",1.00681890897403,-3.35011435974223,"Inverse",1.00681890897403,3.35011435974223,2.3432954507682,0.0984421501805926,0.000446565985555534,220.44256249864,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_21","Bleaching vs OA","Ssiderea042652",-1.00503846406216,1.08703818813822,"betaine-homocysteine S-methyltransferase activity","Amino acid transport and metabolism",-1.00503846406216,1.08703818813822,"Inverse",1.00503846406216,1.08703818813822,0.081999724076063,0.0988465545573332,0.0818392822513253,1.20781306773658,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_22","Bleaching vs OA","Ssiderea047625",1.40406716883333,-1.13970561415822,"ribosomal protein","Translation, ribosomal structure and biogenesis",1.40406716883333,-1.13970561415822,"Inverse",1.40406716883333,1.13970561415822,0.264361554675112,0.0394396299255563,0.0724927184337275,1.83806791723351,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_23","Bleaching vs OA","Ssiderea049169",1.07879763048339,-1.71863220829289,"translation","Translation, ribosomal structure and biogenesis",1.07879763048339,-1.71863220829289,"Inverse",1.07879763048339,1.71863220829289,0.639834577809496,0.0834069748092154,0.0191147134430493,4.3634959560194,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_24","Bleaching vs OA","Ssiderea051443",1.07205948958911,-1.21980384956545,"ribosomal large subunit assembly","Translation, ribosomal structure and biogenesis",1.07205948958911,-1.21980384956545,"Inverse",1.07205948958911,1.21980384956545,0.147744359976343,0.0847111369012164,0.0602831795426673,1.4052201218295,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
"Bleaching vs OA_25","Bleaching vs OA","Ssiderea054350",1.21938821691528,-3.73526270419079,"Transferrin","Extracellular structures",1.21938821691528,-3.73526270419079,"Inverse",1.21938821691528,3.73526270419079,2.51587448727551,0.0603408999421806,0.000183965885748327,328.000486050602,"OA","Bleaching","lpv.LC_CC","lpv.CH_CC","inverse","Inverse",NA,NA,NA,NA,NA,NA
