"","Df","SumOfSqs","R2","F","Pr(>F)"
"site",3,2849980576.62871,0.0747229216696104,2.01375271428703,3.1999968000032e-05
"treat",3,2683916664.05137,0.0703689338447726,1.89641449190051,0.000141999858000142
"site:treat",9,3829827603.20041,0.100413283637385,0.902032548857961,0.885058114941885
"Residual",61,28776922134.9673,0.754494860848232,NA,NA
"Total",76,38140646978.8478,1,NA,NA
