Orthogroup	Protein_symD	Protein_symB
OG0000000	Durusdinium31716	Breviolum68565
OG0000000	Durusdinium27304	Breviolum206718
OG0000000	Durusdinium27304	Breviolum56063
OG0000000	Durusdinium27304	Breviolum68509
OG0000000	Durusdinium29916	Breviolum306945
OG0000000	Durusdinium29916	Breviolum174028
OG0000000	Durusdinium29916	Breviolum245011
OG0000000	Durusdinium29916	Breviolum360978
OG0000000	Durusdinium29916	Breviolum91322
OG0000000	Durusdinium29916	Breviolum310657
OG0000000	Durusdinium29916	Breviolum21582
OG0000000	Durusdinium29916	Breviolum82087
OG0000000	Durusdinium29916	Breviolum18042
OG0000000	Durusdinium29916	Breviolum17682
OG0000000	Durusdinium29916	Breviolum358695
OG0000000	Durusdinium29916	Breviolum40298
OG0000000	Durusdinium29916	Breviolum362919
OG0000000	Durusdinium29916	Breviolum315317
OG0000000	Durusdinium29916	Breviolum52286
OG0000000	Durusdinium29916	Breviolum21130
OG0000000	Durusdinium50751	Breviolum28861
OG0000000	Durusdinium50751	Breviolum88694
OG0000000	Durusdinium50751	Breviolum98774
OG0000000	Durusdinium50751	Breviolum305376
OG0000000	Durusdinium50751	Breviolum32382
OG0000000	Durusdinium50751	Breviolum42880
OG0000000	Durusdinium50751	Breviolum91511
OG0000000	Durusdinium45153	Breviolum49885
OG0000000	Durusdinium45153	Breviolum403798
OG0000000	Durusdinium45153	Breviolum80549
OG0000000	Durusdinium45153	Breviolum27284
OG0000000	Durusdinium45153	Breviolum313254
OG0000000	Durusdinium45153	Breviolum387775
OG0000000	Durusdinium45153	Breviolum40557
OG0000000	Durusdinium35203	Breviolum235993
OG0000000	Durusdinium35203	Breviolum34356
OG0000000	Durusdinium35203	Breviolum54129
OG0000000	Durusdinium35203	Breviolum28881
OG0000000	Durusdinium35203	Breviolum302721
OG0000000	Durusdinium35203	Breviolum52801
OG0000000	Durusdinium35203	Breviolum312425
OG0000000	Durusdinium35203	Breviolum211694
OG0000000	Durusdinium35203	Breviolum29821
OG0000000	Durusdinium35203	Breviolum73212
OG0000000	Durusdinium35203	Breviolum177458
OG0000000	Durusdinium35203	Breviolum20890
OG0000000	Durusdinium35203	Breviolum80823
OG0000000	Durusdinium35203	Breviolum302557
OG0000000	Durusdinium35203	Breviolum347653
OG0000000	Durusdinium35203	Breviolum74152
OG0000000	Durusdinium27789	Breviolum308779
OG0000000	Durusdinium27789	Breviolum62295
OG0000000	Durusdinium27789	Breviolum62662
OG0000000	Durusdinium27789	Breviolum189784
OG0000000	Durusdinium27789	Breviolum37509
OG0000000	Durusdinium27789	Breviolum229879
OG0000000	Durusdinium27789	Breviolum392788
OG0000000	Durusdinium27789	Breviolum348924
OG0000000	Durusdinium27789	Breviolum230375
OG0000000	Durusdinium27789	Breviolum43970
OG0000000	Durusdinium27789	Breviolum55320
OG0000000	Durusdinium27789	Breviolum72433
OG0000000	Durusdinium27789	Breviolum349181
OG0000001	Durusdinium36935	Breviolum364004
OG0000001	Durusdinium34122	Breviolum271833
OG0000001	Durusdinium34122	Breviolum386174
OG0000001	Durusdinium34122	Breviolum38881
OG0000001	Durusdinium34122	Breviolum56029
OG0000001	Durusdinium34122	Breviolum75029
OG0000001	Durusdinium34122	Breviolum253688
OG0000001	Durusdinium34122	Breviolum283740
OG0000001	Durusdinium34122	Breviolum18048
OG0000001	Durusdinium34122	Breviolum319433
OG0000001	Durusdinium34122	Breviolum390609
OG0000001	Durusdinium28612	Breviolum267424
OG0000001	Durusdinium28612	Breviolum61397
OG0000001	Durusdinium28612	Breviolum49786
OG0000001	Durusdinium46331	Breviolum352116
OG0000001	Durusdinium46331	Breviolum300741
OG0000001	Durusdinium46331	Breviolum53420
OG0000001	Durusdinium46331	Breviolum24908
OG0000001	Durusdinium46331	Breviolum32977
OG0000001	Durusdinium46331	Breviolum359142
OG0000001	Durusdinium46331	Breviolum235027
OG0000001	Durusdinium46331	Breviolum2560
OG0000001	Durusdinium46331	Breviolum398357
OG0000001	Durusdinium46331	Breviolum335713
OG0000001	Durusdinium46331	Breviolum211725
OG0000001	Durusdinium46331	Breviolum232029
OG0000001	Durusdinium46331	Breviolum27671
OG0000001	Durusdinium46331	Breviolum82133
OG0000001	Durusdinium46331	Breviolum307097
OG0000001	Durusdinium46331	Breviolum7637
OG0000001	Durusdinium46331	Breviolum400275
OG0000001	Durusdinium46331	Breviolum26597
OG0000001	Durusdinium46331	Breviolum356351
OG0000001	Durusdinium46331	Breviolum333677
OG0000001	Durusdinium46331	Breviolum43865
OG0000001	Durusdinium46331	Breviolum251764
OG0000001	Durusdinium46331	Breviolum27848
OG0000001	Durusdinium46331	Breviolum213354
OG0000001	Durusdinium46331	Breviolum404854
OG0000001	Durusdinium46331	Breviolum2730
OG0000001	Durusdinium46331	Breviolum387065
OG0000001	Durusdinium46331	Breviolum313117
OG0000001	Durusdinium46331	Breviolum70138
OG0000001	Durusdinium46331	Breviolum390329
OG0000001	Durusdinium46331	Breviolum249073
OG0000001	Durusdinium46331	Breviolum18755
OG0000001	Durusdinium46331	Breviolum314881
OG0000001	Durusdinium46331	Breviolum27710
OG0000001	Durusdinium46331	Breviolum306370
OG0000001	Durusdinium46331	Breviolum18506
OG0000001	Durusdinium46331	Breviolum232160
OG0000001	Durusdinium46331	Breviolum242522
OG0000001	Durusdinium46331	Breviolum368665
OG0000001	Durusdinium46331	Breviolum360422
OG0000001	Durusdinium46331	Breviolum321987
OG0000001	Durusdinium46331	Breviolum47963
OG0000001	Durusdinium46331	Breviolum236279
OG0000001	Durusdinium46331	Breviolum22711
OG0000001	Durusdinium46331	Breviolum390501
OG0000001	Durusdinium46331	Breviolum63428
OG0000001	Durusdinium46331	Breviolum237727
OG0000001	Durusdinium46331	Breviolum355327
OG0000001	Durusdinium46331	Breviolum26395
OG0000001	Durusdinium46331	Breviolum318376
OG0000001	Durusdinium46331	Breviolum19626
OG0000001	Durusdinium46331	Breviolum328882
OG0000001	Durusdinium46331	Breviolum414332
OG0000001	Durusdinium46331	Breviolum71198
OG0000001	Durusdinium46331	Breviolum48487
OG0000001	Durusdinium46331	Breviolum211591
OG0000001	Durusdinium46331	Breviolum270869
OG0000001	Durusdinium46331	Breviolum215690
OG0000001	Durusdinium46331	Breviolum19252
OG0000001	Durusdinium46331	Breviolum253104
OG0000001	Durusdinium46331	Breviolum362471
OG0000001	Durusdinium46331	Breviolum386797
OG0000001	Durusdinium46331	Breviolum17311
OG0000001	Durusdinium46331	Breviolum166638
OG0000001	Durusdinium46331	Breviolum19224
OG0000001	Durusdinium46331	Breviolum238710
OG0000001	Durusdinium46331	Breviolum268268
