"","count","treat"
"Ofav_080",80.4978027069708,"CC"
"Ofav_081",54.7956516570166,"CC"
"Ofav_082",50.6931122476551,"CC"
"Ofav_083",49.1448134985181,"CC"
"Ofav_084",67.6639258685335,"CC"
"Ofav_085",32.3488816537608,"CC"
"Ofav_086",70.0219294037607,"CC"
"Ofav_087",42.7232944427988,"CC"
"Ofav_088",61.2409318425879,"CC"
"Ofav_089",35.89644977977,"CC"
"Ofav_090",87.7844032440504,"CC"
"Ofav_091",51.1241646559502,"CC"
"Ofav_092",54.0818543507951,"CC"
"Ofav_093",33.1784541044912,"CC"
"Ofav_094",69.4188760157296,"CH"
"Ofav_095",44.9087103507757,"CH"
"Ofav_096",42.0367280869976,"CH"
"Ofav_097",58.8173572358943,"CH"
"Ofav_098",62.3906378743454,"CH"
"Ofav_099",28.5848570120254,"CH"
"Ofav_100",52.0554838599647,"CH"
"Ofav_101",31.3417460809598,"CH"
"Ofav_102",40.6518071600239,"CH"
"Ofav_103",28.5662753509939,"CH"
"Ofav_104",38.5619140232288,"CH"
"Ofav_105",38.6822726084155,"CH"
"Ofav_106",57.039760044355,"CH"
"Ofav_107",47.5021556357721,"CH"
"Ofav_108",60.0807714237565,"CH"
"Ofav_110",53.1820234449556,"CH"
"Ofav_111",39.1054568751261,"CH"
"Ofav_112",34.2679352829174,"CH"
"Ofav_113",58.9297568683888,"CH"
"Ofav_114",33.4970561560558,"CH"
"Ofav_115",140.568113364492,"LC"
"Ofav_116",47.0335348045009,"LC"
"Ofav_117",53.7582682629483,"LC"
"Ofav_118",79.1436422601752,"LC"
"Ofav_119",74.8808251166812,"LC"
"Ofav_120",62.1172365089001,"LC"
"Ofav_121",57.5174532603603,"LC"
"Ofav_122",27.9707852013111,"LC"
"Ofav_123",41.0922840174164,"LC"
"Ofav_124",64.3431528259908,"LC"
"Ofav_126",60.6481233608784,"LC"
"Ofav_127",65.7223842166786,"LC"
"Ofav_128",38.7890337788829,"LC"
"Ofav_129",66.9764655997167,"LC"
"Ofav_130",52.0141026586108,"LC"
"Ofav_132",85.6403715897298,"LH"
"Ofav_133",62.3297840846709,"LH"
"Ofav_153",45.8677133155072,"LH"
"Ofav_154",73.0789696792514,"LH"
"Ofav_134",42.0777327973714,"LH"
"Ofav_155",46.7162723406658,"LH"
"Ofav_156",51.7726473431758,"LH"
"Ofav_157",54.9306967837163,"LH"
"Ofav_158",40.3900574518989,"LH"
"Ofav_159",39.3278837630935,"LH"
"Ofav_136",68.3155458621984,"LH"
"Ofav_137",81.9690783655882,"LH"
"Ofav_138",33.0377781713567,"LH"
"Ofav_160",48.1032131852694,"LH"
"Ofav_161",51.2605205704825,"LH"
"Ofav_162",72.3853602763275,"LH"
"Ofav_163",27.1688086677332,"LH"
