"","count","treat"
"Ofav_080",53.1012949306109,"CC"
"Ofav_081",68.1134530068508,"CC"
"Ofav_082",64.1376958854199,"CC"
"Ofav_083",54.304111899876,"CC"
"Ofav_084",43.2406800981577,"CC"
"Ofav_085",75.6987483491575,"CC"
"Ofav_086",27.125419771653,"CC"
"Ofav_087",64.8402581985506,"CC"
"Ofav_088",82.7941657222159,"CC"
"Ofav_089",42.975739735724,"CC"
"Ofav_090",66.885320777165,"CC"
"Ofav_091",62.4709601822838,"CC"
"Ofav_092",60.7795861446445,"CC"
"Ofav_093",51.5600845382674,"CC"
"Ofav_094",68.5353006821946,"CH"
"Ofav_095",78.2152431138574,"CH"
"Ofav_096",64.0267606036433,"CH"
"Ofav_097",67.9294443040028,"CH"
"Ofav_098",66.8754667058196,"CH"
"Ofav_099",52.2814551159218,"CH"
"Ofav_100",59.2732516003598,"CH"
"Ofav_101",67.1848563912644,"CH"
"Ofav_102",66.9329900284031,"CH"
"Ofav_103",60.5037610952283,"CH"
"Ofav_104",74.6205694136561,"CH"
"Ofav_105",112.755881468742,"CH"
"Ofav_106",58.9563620797569,"CH"
"Ofav_107",83.1589633594613,"CH"
"Ofav_108",80.8867550955445,"CH"
"Ofav_110",80.4313459164843,"CH"
"Ofav_111",76.2541040568513,"CH"
"Ofav_112",78.6486502261803,"CH"
"Ofav_113",44.3223176512916,"CH"
"Ofav_114",53.8029368674747,"CH"
"Ofav_115",49.1552393792445,"LC"
"Ofav_116",69.844091081217,"LC"
"Ofav_117",76.9140370729258,"LC"
"Ofav_118",55.5505495821226,"LC"
"Ofav_119",50.350978535648,"LC"
"Ofav_120",41.2761123955956,"LC"
"Ofav_121",57.5174532603603,"LC"
"Ofav_122",47.3619276963542,"LC"
"Ofav_123",50.2829898326805,"LC"
"Ofav_124",40.9859017920917,"LC"
"Ofav_126",76.6876229237793,"LC"
"Ofav_127",55.6881712602665,"LC"
"Ofav_128",62.6133214635211,"LC"
"Ofav_129",50.3573491997875,"LC"
"Ofav_130",45.9536199928919,"LC"
"Ofav_132",108.860472932383,"LH"
"Ofav_133",80.1917217091314,"LH"
"Ofav_153",57.209641644384,"LH"
"Ofav_154",68.9551645838394,"LH"
"Ofav_134",100.664538102758,"LH"
"Ofav_155",65.6979556234393,"LH"
"Ofav_156",102.268436393273,"LH"
"Ofav_157",75.1227294615465,"LH"
"Ofav_158",58.1189718749651,"LH"
"Ofav_159",80.7442931103933,"LH"
"Ofav_136",153.977288003923,"LH"
"Ofav_137",91.6677781710153,"LH"
"Ofav_138",68.7499737252849,"LH"
"Ofav_160",74.0686021954163,"LH"
"Ofav_161",78.2607974696753,"LH"
"Ofav_162",76.9495101351419,"LH"
"Ofav_163",68.7721501893971,"LH"
