"","count","treat"
"Ofav_080",250.356150920402,"CC"
"Ofav_081",303.736092273149,"CC"
"Ofav_082",279.251034089656,"CC"
"Ofav_083",247.409280636417,"CC"
"Ofav_084",326.143276938344,"CC"
"Ofav_085",244.6747593455,"CC"
"Ofav_086",325.921797209093,"CC"
"Ofav_087",257.861032794202,"CC"
"Ofav_088",488.386839638851,"CC"
"Ofav_089",272.546999735946,"CC"
"Ofav_090",406.188071416009,"CC"
"Ofav_091",196.886845648083,"CC"
"Ofav_092",268.409271753975,"CC"
"Ofav_093",177.167892502405,"CC"
"Ofav_094",526.227323453322,"CH"
"Ofav_095",480.921502885664,"CH"
"Ofav_096",356.412748510156,"CH"
"Ofav_097",383.207656860556,"CH"
"Ofav_098",498.316000293647,"CH"
"Ofav_099",159.354972474269,"CH"
"Ofav_100",585.139186972,"CH"
"Ofav_101",364.766028037282,"CH"
"Ofav_102",361.13623158276,"CH"
"Ofav_103",606.344426542144,"CH"
"Ofav_104",327.031157146647,"CH"
"Ofav_105",389.959180605838,"CH"
"Ofav_106",403.944728452092,"CH"
"Ofav_107",520.765239968374,"CH"
"Ofav_108",627.516689745247,"CH"
"Ofav_110",433.764227297307,"CH"
"Ofav_111",242.330409104564,"CH"
"Ofav_112",322.742582414126,"CH"
"Ofav_113",326.037216838166,"CH"
"Ofav_114",448.075454014193,"CH"
"Ofav_115",401.537124580439,"LC"
"Ofav_116",172.035383200905,"LC"
"Ofav_117",211.217496170795,"LC"
"Ofav_118",318.220314731108,"LC"
"Ofav_119",285.362734489417,"LC"
"Ofav_120",275.059156797011,"LC"
"Ofav_121",172.518757293968,"LC"
"Ofav_122",158.053032772225,"LC"
"Ofav_123",173.591626187474,"LC"
"Ofav_124",276.894137234472,"LC"
"Ofav_126",315.27517892193,"LC"
"Ofav_127",504.719201059707,"LC"
"Ofav_128",255.760225192553,"LC"
"Ofav_129",272.63803104884,"LC"
"Ofav_130",294.433409287368,"LC"
"Ofav_132",365.57159333172,"LH"
"Ofav_133",328.197855648756,"LH"
"Ofav_153",296.262592576095,"LH"
"Ofav_154",331.229168652043,"LH"
"Ofav_134",417.222276446381,"LH"
"Ofav_155",590.582762921001,"LH"
"Ofav_156",369.50768921225,"LH"
"Ofav_157",384.148620878775,"LH"
"Ofav_158",439.290631970888,"LH"
"Ofav_159",421.135407433513,"LH"
"Ofav_136",587.639857596402,"LH"
"Ofav_137",568.843808598032,"LH"
"Ofav_138",357.621955539281,"LH"
"Ofav_160",650.500238220678,"LH"
"Ofav_161",635.546512669015,"LH"
"Ofav_162",521.95412136955,"LH"
"Ofav_163",642.684912719017,"LH"
