"","count","treat"
"Ofav_080",7.07516186632637,"CC"
"Ofav_081",9.72001631911602,"CC"
"Ofav_082",6.77413903095689,"CC"
"Ofav_083",4.92225577259255,"CC"
"Ofav_084",5.58817620216163,"CC"
"Ofav_085",4.03876462819565,"CC"
"Ofav_086",3.45837997462812,"CC"
"Ofav_087",8.54253227481882,"CC"
"Ofav_088",6.37815469444399,"CC"
"Ofav_089",3.53398140969457,"CC"
"Ofav_090",7.87614675301834,"CC"
"Ofav_091",8.3554738259233,"CC"
"Ofav_092",11.0250071046205,"CC"
"Ofav_093",4.58480676306139,"CC"
"Ofav_094",16.4043560036299,"CH"
"Ofav_095",5.54644435804269,"CH"
"Ofav_096",7.83001083888192,"CH"
"Ofav_097",15.0793393089736,"CH"
"Ofav_098",14.8514522607178,"CH"
"Ofav_099",11.9094731611353,"CH"
"Ofav_100",11.8422064491922,"CH"
"Ofav_101",11.3362891635805,"CH"
"Ofav_102",8.53036143200477,"CH"
"Ofav_103",4.37121039324054,"CH"
"Ofav_104",9.84854028640707,"CH"
"Ofav_105",15.0092635911979,"CH"
"Ofav_106",18.7077193363177,"CH"
"Ofav_107",6.98305594976167,"CH"
"Ofav_108",16.5773510191089,"CH"
"Ofav_110",11.3997289886115,"CH"
"Ofav_111",10.6976678538069,"CH"
"Ofav_112",9.18318335846448,"CH"
"Ofav_113",5.71694257753471,"CH"
"Ofav_114",6.42254854083052,"CH"
"Ofav_115",9.34640715986263,"LC"
"Ofav_116",5.97453350641187,"LC"
"Ofav_117",5.90301272232809,"LC"
"Ofav_118",3.64574569040701,"LC"
"Ofav_119",8.41285373581714,"LC"
"Ofav_120",5.03067915506618,"LC"
"Ofav_121",7.26478259021224,"LC"
"Ofav_122",6.96371416501438,"LC"
"Ofav_123",15.0519508741682,"LC"
"Ofav_124",8.28575034463303,"LC"
"Ofav_126",9.52221850413176,"LC"
"Ofav_127",0.5,"LC"
"Ofav_128",10.7104090077021,"LC"
"Ofav_129",16.0804216249336,"LC"
"Ofav_130",11.863404998223,"LC"
"Ofav_132",5.66002252058969,"LH"
"Ofav_133",6.6829784084671,"LH"
"Ofav_153",6.60719217708751,"LH"
"Ofav_154",15.3456983434832,"LH"
"Ofav_134",11.8393816720104,"LH"
"Ofav_155",18.6563927052616,"LH"
"Ofav_156",16.0371658615684,"LH"
"Ofav_157",14.5466314280558,"LH"
"Ofav_158",18.2289144230662,"LH"
"Ofav_159",10.8541023368249,"LH"
"Ofav_136",9.42309813976295,"LH"
"Ofav_137",8.25895984434173,"LH"
"Ofav_138",19.5465042954283,"LH"
"Ofav_160",22.1378241751224,"LH"
"Ofav_161",17.7801772154834,"LH"
"Ofav_162",6.20518732351805,"LH"
"Ofav_163",19.7015422407679,"LH"
