"","count","treat"
"Ofav_080",300.765725228904,"CC"
"Ofav_081",501.454220005304,"CC"
"Ofav_082",350.955480157735,"CC"
"Ofav_083",344.698907633454,"CC"
"Ofav_084",547.987759352591,"CC"
"Ofav_085",391.533491415619,"CC"
"Ofav_086",771.157983390624,"CC"
"Ofav_087",374.477750779075,"CC"
"Ofav_088",504.061918824035,"CC"
"Ofav_089",374.691040528997,"CC"
"Ofav_090",435.692658428082,"CC"
"Ofav_091",334.794052814292,"CC"
"Ofav_092",395.666175837114,"CC"
"Ofav_093",717.383586917275,"CC"
"Ofav_094",319.470695406133,"CH"
"Ofav_095",353.751105062988,"CH"
"Ofav_096",334.42271599351,"CH"
"Ofav_097",239.236681184442,"CH"
"Ofav_098",266.001866823279,"CH"
"Ofav_099",268.183793395867,"CH"
"Ofav_100",328.392877349376,"CH"
"Ofav_101",299.748293055799,"CH"
"Ofav_102",358.21610015294,"CH"
"Ofav_103",309.229028860933,"CH"
"Ofav_104",306.998570818632,"CH"
"Ofav_105",345.667744380076,"CH"
"Ofav_106",319.61423889441,"CH"
"Ofav_107",271.16758590255,"CH"
"Ofav_108",343.798730584502,"CH"
"Ofav_110",358.374435126078,"CH"
"Ofav_111",318.084513161415,"CH"
"Ofav_112",355.545719546103,"CH"
"Ofav_113",338.557879024249,"CH"
"Ofav_114",392.23428205779,"CH"
"Ofav_115",485.577992599135,"LC"
"Ofav_116",412.002435231959,"LC"
"Ofav_117",360.186275514984,"LC"
"Ofav_118",379.562355694044,"LC"
"Ofav_119",412.759679636073,"LC"
"Ofav_120",522.434238663624,"LC"
"Ofav_121",423.782110644709,"LC"
"Ofav_122",376.203385841461,"LC"
"Ofav_123",358.9375267953,"LC"
"Ofav_124",461.416420402275,"LC"
"Ofav_126",383.443052064259,"LC"
"Ofav_127",419.428390930205,"LC"
"Ofav_128",423.381106402329,"LC"
"Ofav_129",385.855761523358,"LC"
"Ofav_130",517.156147252538,"LC"
"Ofav_132",243.021058467715,"LH"
"Ofav_133",308.961922822414,"LH"
"Ofav_153",290.155400399007,"LH"
"Ofav_154",306.486338079571,"LH"
"Ofav_134",324.617326124963,"LH"
"Ofav_155",311.634547721982,"LH"
"Ofav_156",328.334199679094,"LH"
"Ofav_157",284.94428641813,"LH"
"Ofav_158",345.105774098349,"LH"
"Ofav_159",330.537011986295,"LH"
"Ofav_136",286.039140472414,"LH"
"Ofav_137",306.978913851498,"LH"
"Ofav_138",392.540546747567,"LH"
"Ofav_160",369.208523944086,"LH"
"Ofav_161",367.703765829022,"LH"
"Ofav_162",334.823977158158,"LH"
"Ofav_163",447.469233271209,"LH"
