"","count","treat"
"Ofav_080",37.7592505758494,"CC"
"Ofav_081",73.2356842952486,"CC"
"Ofav_082",40.8337509132943,"CC"
"Ofav_083",42.5114298396292,"CC"
"Ofav_084",51.3817620216163,"CC"
"Ofav_085",36.7723374390054,"CC"
"Ofav_086",90.7305892261575,"CC"
"Ofav_087",28.6488629618659,"CC"
"Ofav_088",57.3221620462919,"CC"
"Ofav_089",39.9417583260294,"CC"
"Ofav_090",60.7385318163164,"CC"
"Ofav_091",40.6501995547191,"CC"
"Ofav_092",40.6863907630963,"CC"
"Ofav_093",61.7721014459209,"CC"
"Ofav_094",42.0280406761448,"CH"
"Ofav_095",35.8251105062988,"CH"
"Ofav_096",34.7067172481156,"CH"
"Ofav_097",40.5931830996773,"CH"
"Ofav_098",29.2029045214355,"CH"
"Ofav_099",23.3189463222706,"CH"
"Ofav_100",45.868825796769,"CH"
"Ofav_101",23.8396997369425,"CH"
"Ofav_102",30.4313471556542,"CH"
"Ofav_103",34.3730909408547,"CH"
"Ofav_104",21.8680920832162,"CH"
"Ofav_105",34.1003998954056,"CH"
"Ofav_106",31.1656325664298,"CH"
"Ofav_107",21.5699318367254,"CH"
"Ofav_108",37.3833346908969,"CH"
"Ofav_110",51.3654019468537,"CH"
"Ofav_111",25.9941696345173,"CH"
"Ofav_112",26.5495500753934,"CH"
"Ofav_113",26.5847128876736,"CH"
"Ofav_114",54.6490152304505,"CH"
"Ofav_115",69.7968560855906,"LC"
"Ofav_116",25.1354007788534,"LC"
"Ofav_117",49.1271145009528,"LC"
"Ofav_118",42.9675668204946,"LC"
"Ofav_119",40.0642686790857,"LC"
"Ofav_120",43.0883840576221,"LC"
"Ofav_121",40.122298028386,"LC"
"Ofav_122",27.9707852013111,"LC"
"Ofav_123",32.6674703534244,"LC"
"Ofav_124",36.3144515853119,"LC"
"Ofav_126",70.6728105876915,"LC"
"Ofav_127",65.7223842166786,"LC"
"Ofav_128",35.3855641096489,"LC"
"Ofav_129",61.7829917247389,"LC"
"Ofav_130",55.0443439914703,"LC"
"Ofav_132",26.3001126029484,"LH"
"Ofav_133",25.9189112348092,"LH"
"Ofav_153",24.92876870835,"LH"
"Ofav_154",36.7894848396257,"LH"
"Ofav_134",37.3529904340337,"LH"
"Ofav_155",41.7645288755945,"LH"
"Ofav_156",30.7974734300584,"LH"
"Ofav_157",27.7153483918582,"LH"
"Ofav_158",34.8497716946907,"LH"
"Ofav_159",32.8565698025779,"LH"
"Ofav_136",37.9770121870044,"LH"
"Ofav_137",49.9633690076785,"LH"
"Ofav_138",35.4185912082853,"LH"
"Ofav_160",54.1618039543037,"LH"
"Ofav_161",60.9806202541919,"LH"
"Ofav_162",33.5900864764047,"LH"
"Ofav_163",65.5718931492691,"LH"
