term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,17.32115393530094,-14.670053957202711,49.312361827804594,0.489,ns
grp,CC,CH,0,-25.412976601424262,-57.81173223472041,6.9857790318718855,0.175,ns
grp,CC,LH,0,-47.71914208783279,-80.11789772112894,-15.320386454536646,0.00131,**
grp,LC,CH,0,-42.7341305367252,-74.72533842922886,-10.74292264422155,0.00418,**
grp,LC,LH,0,-65.04029602313373,-97.03150391563739,-33.04908813063008,5.83e-6,****
grp,CH,LH,0,-22.30616548640853,-54.70492111970468,10.092590146887616,0.277,ns
