term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,-646.857892807926,-1371.1862181589531,77.4704325431012,0.0962,ns
grp,CC,CH,0,-1325.9430452418887,-2005.1569375620015,-646.729152921776,1.65e-5,****
grp,CC,LH,0,-1234.0849021692047,-1937.5434087559581,-530.6263955824513,1.1e-4,***
grp,LC,CH,0,-679.0851524339628,-1344.8479327816622,-13.322372086263385,0.0439,*
grp,LC,LH,0,-587.2270093612788,-1277.7068705193915,103.25285179683408,0.123,ns
grp,CH,LH,0,91.85814307268402,-551.1367459270195,734.8530320723876,0.982,ns
