term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,-46.899019192395315,-114.00996498862608,20.21192660383545,0.263,ns
grp,CC,CH,0,-66.07959249860801,-129.01056608638194,-3.1486189108340668,0.036,*
grp,CC,LH,0,-59.58388423201205,-124.7611858135318,5.593417349507689,0.085,ns
grp,LC,CH,0,-19.180573306212693,-80.86526559462948,42.5041189822041,0.844,ns
grp,LC,LH,0,-12.684865039616739,-76.65966060365072,51.289930524417244,0.953,ns
grp,CH,LH,0,6.495708266595955,-53.079478334038534,66.07089486723044,0.992,ns
