term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,1.6164320307325681,-11.908676871325278,15.141540932790415,0.989,ns
grp,CC,CH,0,-16.425348288474098,-29.10805244334495,-3.742644133603246,0.00599,**
grp,CC,LH,0,-16.88526665478939,-30.02068132334309,-3.749851986235692,0.00646,**
grp,LC,CH,0,-18.041780319206666,-30.473316946986127,-5.610243691427204,0.00167,**
grp,LC,LH,0,-18.50169868552196,-31.394768016084782,-5.608629354959135,0.00191,**
grp,CH,LH,0,-0.4599183663152928,-12.466318769023577,11.546482036392991,1,ns
