term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,5.670586478972581,-28.66776339316761,40.00893635111277,0.972,ns
grp,CC,CH,0,-23.179645088001706,-55.37924774913366,9.019957573130249,0.238,ns
grp,CC,LH,0,-20.700543772964423,-54.049514777243154,12.648427231314308,0.365,ns
grp,LC,CH,0,-28.850231566974287,-60.41215519097316,2.7116920570245853,0.0851,ns
grp,LC,LH,0,-26.371130251937004,-59.10482051680915,6.362560012935141,0.156,ns
grp,CH,LH,0,2.4791013150372834,-28.003461207655125,32.96166383772969,0.996,ns
