term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,7.404439511223529,-48.45764632936496,63.26652535181202,0.985,ns
grp,CC,CH,0,76.37172721024854,23.988983875561736,128.75447054493534,0.00158,**
grp,CC,LH,0,69.08859066378031,14.83603956936151,123.34114175819911,0.0071,**
grp,LC,CH,0,68.96728769902501,17.62192913220597,120.31264626584405,0.00408,**
grp,LC,LH,0,61.68415115255678,8.432546976343787,114.93575532876977,0.0169,*
grp,CH,LH,0,-7.283136546468228,-56.87257606887524,42.306302975938785,0.98,ns
