term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,-1.1076116703164942,-6.816158075580184,4.600934734947195,0.956,ns
grp,CC,CH,0,-6.927698023620387,-12.708967697054876,-1.1464283501858983,0.0124,*
grp,CC,LH,0,-6.165747378641324,-11.947017052075813,-0.38447770520683555,0.0321,*
grp,LC,CH,0,-5.820086353303893,-11.528632758567582,-0.11153994804020329,0.044,*
grp,LC,LH,0,-5.05813570832483,-10.76668211358852,0.6504106969388594,0.101,ns
grp,CH,LH,0,0.7619506449790627,-5.019319028455426,6.543220318413551,0.986,ns
