term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,1.4398069770552837,-42.05525561931699,44.934869573427555,1,ns
grp,CC,CH,0,-51.11808023299443,-91.90407427578154,-10.332086190207313,0.00829,**
grp,CC,LH,0,-42.76711418451466,-85.00896875110689,-0.5252596179224227,0.0461,*
grp,LC,CH,0,-52.557887210049714,-92.5361578258296,-12.579616594269822,0.00513,**
grp,LC,LH,0,-44.206921161569944,-85.66942336048932,-2.7444189626505704,0.0323,*
grp,CH,LH,0,8.350966048479766,-30.260119515012466,46.962051611972,0.94,ns
