term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,CC,LC,0,-2.3580452648979104,-11.535741193699417,6.819650663903596,0.905,ns
grp,CC,CH,0,2.896510850810465,-5.70955680685122,11.50257850847215,0.811,ns
grp,CC,LH,0,5.09856332895248,-3.814698856194344,14.011825514099304,0.438,ns
grp,LC,CH,0,5.254556115708375,-3.1810774842664937,13.690189715683244,0.362,ns
grp,LC,LH,0,7.45660859385039,-1.2922059821903442,16.205423169891127,0.121,ns
grp,CH,LH,0,2.202052478142015,-5.9450976034910425,10.349202559775073,0.891,ns
