term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,Emerald,Rainbow,0,-1.2851369078576091,-3.0645572614789653,0.49428344576374683,0.236,ns
grp,Emerald,Star,0,1.1379895669777058,-0.544245110594286,2.8202242445496974,0.29,ns
grp,Emerald,MacN,0,-1.3624456242943144,-2.9556645872422926,0.23077333865366367,0.119,ns
grp,Rainbow,Star,0,2.423126474835315,0.6197707834246224,4.226482166246008,0.00406,**
grp,Rainbow,MacN,0,-0.07730871643670523,-1.797926309981135,1.6433088771077244,0.999,ns
grp,Star,MacN,0,-2.50043519127202,-4.120343095678446,-0.8805272868655944,7.51e-4,***
