term,group1,group2,null.value,estimate,conf.low,conf.high,p.adj,p.adj.signif
grp,Emerald,Rainbow,0,-20.975277844202388,-38.920438713078134,-3.030116975326642,0.0154,*
grp,Emerald,Star,0,-24.95457017794348,-43.134318269666565,-6.7748220862204,0.00308,**
grp,Emerald,MacN,0,-20.471576342037928,-38.90847649964269,-2.0346761844331667,0.0236,*
grp,Rainbow,Star,0,-3.9792923337410926,-22.159040425464173,14.200455757981988,0.939,ns
grp,Rainbow,MacN,0,0.5037015021644606,-17.9331986554403,18.94060165976922,1,ns
grp,Star,MacN,0,4.482993835905553,-14.18231434505321,23.148302016864317,0.922,ns
