"","Eigenvalues","Relative_eig","Broken_stick","Cumul_eig","Cumul_br_stick"
"1",3183.31759967348,0.199935562276337,0.0732196233706213,0.199935562276337,0.0732196233706213
"2",1499.94578364522,0.0942075348271527,0.0578350079860059,0.294143097103489,0.131054631356627
"3",1001.79529366633,0.0629200508757,0.0501427002936982,0.357063147979189,0.181197331650325
"4",850.632458891538,0.0534259223699286,0.0450144951654931,0.410489070349118,0.226211826815819
"5",576.229469235709,0.0361914133053057,0.0411683413193392,0.446680483654424,0.267380168135158
"6",497.193063923622,0.0312273506123487,0.0380914182424162,0.477907834266773,0.305471586377574
"7",463.058801462899,0.0290834699770415,0.0355273156783136,0.506991304243814,0.340998902055888
"8",423.712612095519,0.0266122423196424,0.0333295134805114,0.533603546563456,0.374328415536399
"9",409.344883694949,0.0257098441873617,0.0314064365574345,0.559313390750818,0.405734852093833
"10",359.109352564205,0.022554686447554,0.0296970348480328,0.581868077198372,0.435431886941866
"11",356.180895786874,0.0223707580037074,0.0281585733095712,0.60423883520208,0.463590460251437
"12",347.228157139327,0.0218084607212766,0.0267599719109698,0.626047295923356,0.490350432162407
"13",324.441998906371,0.020377323797053,0.0254779206289186,0.646424619720409,0.515828352791326
"14",301.973457632789,0.0189661355343665,0.0242944886762558,0.665390755254776,0.540122841467582
"15",269.007672714045,0.0168956438107992,0.0231955875773547,0.682286399065575,0.563318429044936
"16",250.695351393837,0.0157454964739088,0.0221699465517137,0.698031895539484,0.58548837559665
"17",244.817115200119,0.0153763003689696,0.0212084080901752,0.713408195908453,0.606696783686825
"18",227.86306407671,0.0143114623067642,0.0203034307146096,0.727719658215217,0.627000214401435
"19",222.473705824053,0.0139729713020764,0.0194487298599088,0.741692629517294,0.646448944261344
"20",208.134526741483,0.013072366275186,0.0186390132607185,0.75476499579248,0.665087957522062
"21",183.077496135384,0.0114986020036852,0.0178697824914877,0.766263597796165,0.68295774001355
"22",175.798254454597,0.011041412536149,0.017137181758887,0.777305010332314,0.700094921772437
