"","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"1224","Ofaveolata013518",NA,NA,"Neuronal PAS","Transcription",1.17077091162499,4.46209402198415
"1225","Ofaveolata013526",NA,NA,"positive regulation of mediator complex assembly","Transcription",-1.38615277060528,-4.35523373173697
"1226","Ofaveolata013530",NA,NA,"Hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing",NA,-2.73312748696621,-2.96106070156756
"1227","Ofaveolata013538",NA,NA,NA,NA,1.00322140248317,1.35064124894749
"1228","Ofaveolata013767",NA,NA,"glycosylceramidase activity","Carbohydrate transport and metabolism",-1.00246641745684,-1.46127983183862
"1229","Ofaveolata013798",NA,NA,NA,NA,1.55618063609994,1.49363585215866
"1230","Ofaveolata013926",NA,NA,NA,NA,1.24400260214761,5.11576451064369
"1231","Ofaveolata013951",NA,NA,"ATP binding","Cytoskeleton",2.25142250324217,7.44099998588726
"1232","Ofaveolata013972",NA,NA,"cell adhesion",NA,1.13767048428799,8.3239824024882
"1233","Ofaveolata014092",NA,NA,"aryl hydrocarbon receptor activity","Transcription",1.79215879711385,2.20032195944661
"1234","Ofaveolata014093",NA,NA,NA,NA,1.85125349716332,1.14770381133666
"1235","Ofaveolata014240",NA,NA,NA,NA,-3.04348430510063,-1.881244094249
"1236","Ofaveolata014259",NA,NA,"ADP-ribosylarginine hydrolase activity",NA,-2.24430095488499,-11.8823707859677
"1237","Ofaveolata014262",NA,NA,NA,NA,-1.62311603131519,-5.39541085039417
"1238","Ofaveolata014271",NA,NA,"BEST Arabidopsis thaliana protein match is P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR",NA,-1.45102978881616,-9.72725012072038
"1239","Ofaveolata014299",NA,NA,"PLAC8 family",NA,1.34076860970829,1.3953121335296
"1240","Ofaveolata014317",NA,NA,"belongs to the actin family","Cytoskeleton",-1.33056649728264,-1.33230077430405
"1241","Ofaveolata014323",NA,NA,"ATP binding","Cytoskeleton",3.62556657084597,3.39169853535533
"1242","Ofaveolata014337",NA,NA,"-","",1.25871735159627,4.6108760812777
"1243","Ofaveolata014341",NA,NA,"GMP binding","Intracellular trafficking, secretion, and vesicular transport",1.78519137526471,1.41412186362793
"1244","Ofaveolata014345",NA,NA,"iron-sulfur cluster assembly","Cell cycle control, cell division, chromosome partitioning",-1.35515744916729,-1.64292335934033
"1245","Ofaveolata014416",NA,NA,NA,NA,1.73935579717106,2.01192497629323
"1246","Ofaveolata014442",NA,NA,"ubiquinone biosynthetic process","Coenzyme transport and metabolism",1.13543489164543,2.58796474737578
"1247","Ofaveolata014493",NA,NA,"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family","Cytoskeleton",1.43564700787638,1.26959601218068
"1248","Ofaveolata014507",NA,NA,"coiled-coil",NA,1.03615536423355,1.84027716508714
"1249","Ofaveolata014585",NA,NA,NA,NA,1.05471339110202,1.04625323282709
"1250","Ofaveolata014612",NA,NA,NA,NA,1.11804663251541,2.2360301151055
"1251","Ofaveolata014629",NA,NA,NA,NA,1.62338673040514,3.42982329803162
"1252","Ofaveolata014649",NA,NA,"methyltransferase","Secondary metabolites biosynthesis, transport and catabolism",-1.32088642895576,-3.46780661514354
"1253","Ofaveolata014728",NA,NA,"Belongs to the glycosyl hydrolase 18 family","Carbohydrate transport and metabolism",1.77946468646726,2.97520491944034
"1254","Ofaveolata014746",NA,NA,NA,NA,-1.60035424453577,-2.20568091315215
"1255","Ofaveolata014778",NA,NA,"intracellular chloride channel activity","Intracellular trafficking, secretion, and vesicular transport",1.29956973488025,2.91227639491059
"1256","Ofaveolata014850",NA,NA,NA,NA,1.00322140248317,1.85215976401763
"1257","Ofaveolata014852",NA,NA,"IPT/TIG domain",NA,-4.84396886867224,-3.34750848542301
"1258","Ofaveolata014858",NA,NA,"Dermatopontin",NA,1.14596339150317,5.66231944066226
"1259","Ofaveolata014884",NA,NA,"renal vesicle induction","Transcription",1.19326593821208,2.34926088492988
"1260","Ofaveolata014896",NA,NA,NA,NA,-1.84436997603675,-4.47665277048491
"1261","Ofaveolata014901",NA,NA,NA,NA,-3.89100407273292,-3.24705132071198
"1262","Ofaveolata014903",NA,NA,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones",1.47292488957632,2.9677436989605
"1263","Ofaveolata014921",NA,NA,"Ubiquitin specific protease 1","Posttranslational modification, protein turnover, chaperones",-1.4769581605941,-4.40416830050578
"1264","Ofaveolata014934",NA,NA,NA,NA,-2.44840944946466,-2.76168943299427
"1265","Ofaveolata014963",NA,NA,NA,NA,4.19717514964169,1.48858479370628
"1266","Ofaveolata014972",NA,NA,"15-hydroxyprostaglandin dehydrogenase (NADP+) activity","Secondary metabolites biosynthesis, transport and catabolism",-2.38450049767529,-1.7562709258795
"1267","Ofaveolata014996",NA,NA,"Coiled-coil domain containing 89",NA,1.40140321588174,3.58391220603336
"1268","Ofaveolata014998",NA,NA,"Coiled-coil domain containing 89",NA,1.40471063760715,1.38170751438199
"1269","Ofaveolata015021",NA,NA,NA,NA,-2.19233303811542,-2.81140988610295
"1270","Ofaveolata015050",NA,NA,"structural constituent of cuticle","Extracellular structures",3.76954056748123,6.73458580073346
"1271","Ofaveolata015057",NA,NA,"Fibrillar collagens C-terminal domain","Extracellular structures",3.08209010829896,4.3769680021598
