"","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv.LH_CC"
"1","Ofaveolata000010",2.70828345705369,14.1192513772093,NA,NA,NA
"2","Ofaveolata000015",1.26238049083396,2.52871825772255,"protein dimerization activity","Transcription",NA
"3","Ofaveolata000053",2.70940856596791,-6.92656780806262,"protein-disulfide reductase (glutathione) activity",NA,NA
"4","Ofaveolata000104",-2.66394824306671,-3.33993242619867,"PX domain","Signal transduction mechanisms",NA
"5","Ofaveolata000139",-1.38944343872703,-1.46147554997125,NA,NA,NA
"6","Ofaveolata000216",2.04219159879418,1.01765189997241,"cellular zinc ion homeostasis","Inorganic ion transport and metabolism",NA
"7","Ofaveolata000414",-1.00051099235091,-2.85422780075337,NA,NA,NA
"8","Ofaveolata000449",1.94042193194724,-14.6163340889082,"Lactose-binding lectin l-2-like","Signal transduction mechanisms",NA
"9","Ofaveolata000572",-1.80715424147465,-4.27357010323894,"Cobalamin-independent synthase, Catalytic domain","Amino acid transport and metabolism",NA
"10","Ofaveolata000592",-1.68597606440008,1.00937007709726,"Transmembrane protein 173",NA,NA
"11","Ofaveolata000719",1.77531751080215,1.9886736569902,"alpha1-adrenergic receptor activity","Signal transduction mechanisms",NA
"12","Ofaveolata000742",1.53082792577287,-1.53789789137527,"peptidase inhibitor activity","",NA
"13","Ofaveolata000882",1.21389610505965,5.98818670915793,"cortical actin cytoskeleton organization","Replication, recombination and repair",NA
"14","Ofaveolata000921",-1.14384984479631,-2.22905978180385,"histone H4-K16 acetylation",NA,NA
"15","Ofaveolata000952",3.24012252413146,-1.40335512254453,NA,NA,NA
"16","Ofaveolata000959",3.43805898535207,-1.13365634543454,NA,NA,NA
"17","Ofaveolata000962",1.6182731455652,-7.8110396131437,NA,NA,NA
"18","Ofaveolata000965",1.44631796518218,-1.36815044942338,NA,NA,NA
"19","Ofaveolata001202",2.44463425877493,-10.5984634754027,NA,NA,NA
"20","Ofaveolata001229",-1.83848636867144,-3.89423696170768,NA,NA,NA
"21","Ofaveolata001235",-3.98494091809697,-5.89951167670529,NA,NA,NA
"22","Ofaveolata001402",-2.70013563311754,-2.53235587752981,"Calcineurin-like phosphoesterase",NA,NA
"23","Ofaveolata001455",1.03347590255697,-1.41208985816606,"transmembrane transport","Carbohydrate transport and metabolism",NA
"24","Ofaveolata001490",-1.3700122688308,-1.44326309245796,"ATP binding","Posttranslational modification, protein turnover, chaperones",NA
"25","Ofaveolata001520",-3.6889655418075,-1.06530987240532,"metallocarboxypeptidase activity",NA,NA
