"row_label","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.Star_Rainbow","lpv.MacN_Rainbow"
"Urban Sites vs Emerald Reef_1","Urban Sites vs Emerald Reef","Ofaveolata000560",-2.26011422611883,1.1775829585757,NA,NA,-2.26011422611883,1.1775829585757,"Inverse",2.26011422611883,1.1775829585757,1.08253126754314,0.00549396355173849,0.0664380751319789,12.0929224422968,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_2","Urban Sites vs Emerald Reef","Ofaveolata004774",1.34593828430568,-3.01436503916383,NA,NA,1.34593828430568,-3.01436503916383,"Inverse",1.34593828430568,3.01436503916383,1.66842675485815,0.0450880772688876,0.000967464328003147,46.6043821604769,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_3","Urban Sites vs Emerald Reef","Ofaveolata006126",1.2241627610314,-1.61452073679613,NA,NA,1.2241627610314,-1.61452073679613,"Inverse",1.2241627610314,1.61452073679613,0.390357975764724,0.0596811576920623,0.0242928944496142,2.45673309188606,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_4","Urban Sites vs Emerald Reef","Ofaveolata007117",1.63050350282743,-1.08892346663691,"kinetochore-associated protein 1","Cell cycle control, cell division, chromosome partitioning",1.63050350282743,-1.08892346663691,"Inverse",1.63050350282743,1.08892346663691,0.541580036190515,0.0234151258948702,0.0814847867593002,3.48000634825337,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_5","Urban Sites vs Emerald Reef","Ofaveolata008666",1.48410669314885,-4.18294398883475,NA,NA,1.48410669314885,-4.18294398883475,"Inverse",1.48410669314885,4.18294398883475,2.6988372956859,0.0328014699824807,6.56229895126202e-05,499.847236861597,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_6","Urban Sites vs Emerald Reef","Ofaveolata010246",2.23801213553339,-1.52184885790298,"DNA-directed RNA polymerase III subunit","Transcription",2.23801213553339,-1.52184885790298,"Inverse",2.23801213553339,1.52184885790298,0.716163277630405,0.00578079893836742,0.0300712265197006,5.20191531314409,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_7","Urban Sites vs Emerald Reef","Ofaveolata012401",2.81782637829251,-1.26292525884349,NA,NA,2.81782637829251,-1.26292525884349,"Inverse",2.81782637829251,1.26292525884349,1.55490111944901,0.00152115553385708,0.0545851792940737,35.8840224284405,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_8","Urban Sites vs Emerald Reef","Ofaveolata018602",-1.2478443174567,1.32484798643418,NA,NA,-1.2478443174567,1.32484798643418,"Inverse",1.2478443174567,1.32484798643418,0.0770036689774882,0.0565139525373182,0.0473316902326356,1.19399819147703,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_9","Urban Sites vs Emerald Reef","Ofaveolata019852",-1.86830830137262,1.1330087349597,NA,NA,-1.86830830137262,1.1330087349597,"Inverse",1.86830830137262,1.1330087349597,0.735299566412926,0.0135422771813195,0.0736192290319135,5.43625182428445,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_10","Urban Sites vs Emerald Reef","Ofaveolata022669",-1.27814948114178,3.39803598531461,"intraflagellar transport","Transcription",-1.27814948114178,3.39803598531461,"Inverse",1.27814948114178,3.39803598531461,2.11988650417284,0.0527048423796012,0.000399911612012397,131.791227852537,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_11","Urban Sites vs Emerald Reef","Ofaveolata025330",-5.95223725764387,2.05342009186028,NA,NA,-5.95223725764387,2.05342009186028,"Inverse",5.95223725764387,2.05342009186028,3.89881716578359,1.11625326541686e-06,0.00884259853882855,7921.6776450157,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_12","Urban Sites vs Emerald Reef","Ofaveolata029868",1.35235280764067,-1.66154365269856,"SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.",NA,1.35235280764067,-1.66154365269856,"Inverse",1.35235280764067,1.66154365269856,0.309190845057892,0.0444270209214168,0.0217999926561154,2.0379374260456,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_13","Urban Sites vs Emerald Reef","Ofaveolata031080",1.90426695791319,-2.19621044923057,"fibroblast growth factor-activated receptor activity","Signal transduction mechanisms",1.90426695791319,-2.19621044923057,"Inverse",1.90426695791319,2.19621044923057,0.291943491317381,0.0124661699155234,0.00636487019031013,1.95858981295516,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_14","Urban Sites vs Emerald Reef","Ofaveolata032234",2.50984139858935,-2.19161451864541,NA,NA,2.50984139858935,-2.19161451864541,"Inverse",2.50984139858935,2.19161451864541,0.318226879943942,0.00309142419362258,0.0064325842250442,2.08078342607082,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Emerald Reef_15","Urban Sites vs Emerald Reef","Ofaveolata034305",1.04110883103132,-1.55788832148336,NA,NA,1.04110883103132,-1.55788832148336,"Inverse",1.04110883103132,1.55788832148336,0.516779490452038,0.0909685283566453,0.0276765325397544,3.28684701473997,"Star Island vs Emerald Reef","MacArthur North vs Emerald Reef","lpv.Star_Emerald","lpv.MacN_Emerald","inverse","Inverse",NA,NA,NA,NA,NA,NA,NA
"Urban Sites vs Rainbow Reef_1","Urban Sites vs Rainbow Reef","Ofaveolata002680",NA,NA,NA,NA,-16.9276124381761,1.36461784643525,"Inverse",16.9276124381761,1.36461784643525,15.5629945917408,1.18137441692168e-17,0.0431898955310351,3655902388979746,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,-16.9276124381761,1.36461784643525
"Urban Sites vs Rainbow Reef_2","Urban Sites vs Rainbow Reef","Ofaveolata003215",NA,NA,NA,NA,-1.01169474252312,1.74909639118499,"Inverse",1.01169474252312,1.74909639118499,0.737401648661878,0.0973431189970923,0.0178198321432909,5.46262827923109,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,-1.01169474252312,1.74909639118499
"Urban Sites vs Rainbow Reef_3","Urban Sites vs Rainbow Reef","Ofaveolata006126",NA,NA,NA,NA,1.17883750192872,-1.4019801549588,"Inverse",1.17883750192872,1.4019801549588,0.223142653030077,0.0662464328722328,0.0396296142552745,1.67163960884166,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,1.17883750192872,-1.4019801549588
"Urban Sites vs Rainbow Reef_4","Urban Sites vs Rainbow Reef","Ofaveolata009957",NA,NA,"phenazine biosynthesis-like",NA,-1.10849854422448,1.69174376238749,"Inverse",1.10849854422448,1.69174376238749,0.583245218163005,0.077893542557746,0.0203355647348655,3.83040960864965,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,-1.10849854422448,1.69174376238749
"Urban Sites vs Rainbow Reef_5","Urban Sites vs Rainbow Reef","Ofaveolata009973",NA,NA,NA,NA,1.47941131251206,-1.79683941020428,"Inverse",1.47941131251206,1.79683941020428,0.317428097692228,0.0331580275068221,0.0159646936725024,2.07695983318073,"Star Island vs Rainbow Reef","MacArthur North vs Rainbow Reef","lpv.Star_Rainbow","lpv.MacN_Rainbow","inverse","Inverse",NA,NA,NA,NA,NA,1.47941131251206,-1.79683941020428
