"","comparison","gene","lpv.LC_CC","lpv.CH_CC","lpv.LH_CC","annot","KOG"
"1","stress_control","Ofaveolata000010",2.70828345705369,14.1192513772093,9.87557298218378,NA,NA
"2","stress_control","Ofaveolata000015",1.26238049083396,2.52871825772255,1.09576425439425,"protein dimerization activity","Transcription"
"3","stress_control","Ofaveolata000053",2.70940856596791,-6.92656780806262,-4.75992343114236,"protein-disulfide reductase (glutathione) activity",NA
"4","stress_control","Ofaveolata000104",-2.66394824306671,-3.33993242619867,-2.50344708003284,"PX domain","Signal transduction mechanisms"
"5","stress_control","Ofaveolata000139",-1.38944343872703,-1.46147554997125,-1.67343833232348,NA,NA
"6","stress_control","Ofaveolata000414",-1.00051099235091,-2.85422780075337,-1.05223803495036,NA,NA
"7","stress_control","Ofaveolata000449",1.94042193194724,-14.6163340889082,-8.66315378709878,"Lactose-binding lectin l-2-like","Signal transduction mechanisms"
"8","stress_control","Ofaveolata000572",-1.80715424147465,-4.27357010323894,-3.159609145594,"Cobalamin-independent synthase, Catalytic domain","Amino acid transport and metabolism"
"9","stress_control","Ofaveolata000742",1.53082792577287,-1.53789789137527,-1.38662032605953,"peptidase inhibitor activity",""
"10","stress_control","Ofaveolata000882",1.21389610505965,5.98818670915793,2.46209920409403,"cortical actin cytoskeleton organization","Replication, recombination and repair"
"11","stress_control","Ofaveolata000921",-1.14384984479631,-2.22905978180385,-2.01355636146809,"histone H4-K16 acetylation",NA
"12","stress_control","Ofaveolata000952",3.24012252413146,-1.40335512254453,-1.73625350758563,NA,NA
"13","stress_control","Ofaveolata000962",1.6182731455652,-7.8110396131437,-5.79329062880762,NA,NA
"14","stress_control","Ofaveolata001202",2.44463425877493,-10.5984634754027,-7.8708073976616,NA,NA
"15","stress_control","Ofaveolata001229",-1.83848636867144,-3.89423696170768,-2.71817456062429,NA,NA
"16","stress_control","Ofaveolata001235",-3.98494091809697,-5.89951167670529,-5.77313803302099,NA,NA
"17","stress_control","Ofaveolata001402",-2.70013563311754,-2.53235587752981,-2.00294532439769,"Calcineurin-like phosphoesterase",NA
"18","stress_control","Ofaveolata001455",1.03347590255697,-1.41208985816606,-1.75298938461166,"transmembrane transport","Carbohydrate transport and metabolism"
"19","stress_control","Ofaveolata001490",-1.3700122688308,-1.44326309245796,-2.14359732048994,"ATP binding","Posttranslational modification, protein turnover, chaperones"
"20","stress_control","Ofaveolata001563",-2.51452990634379,-6.27918187735479,-6.90892737920032,"Belongs to the carnitine choline acetyltransferase family","Lipid transport and metabolism"
"21","stress_control","Ofaveolata001594",1.01965045521319,-10.1016010871147,-7.51561090293556,NA,NA
"22","stress_control","Ofaveolata001608",1.54400956790803,-4.47230177699447,-3.06477644273394,NA,NA
"23","stress_control","Ofaveolata001666",-1.24053740558495,-2.09108180813427,-5.75722916114919,"eukaryotic initiation factor 4E binding","Translation, ribosomal structure and biogenesis"
"24","stress_control","Ofaveolata001713",1.50699431576785,-12.863184463478,-8.33741073943037,NA,NA
"25","stress_control","Ofaveolata001714",1.71528189177876,-10.6316771746581,-8.22527021572202,NA,NA
"26","stress_control","Ofaveolata001715",2.1885144281776,-10.0840672289975,-8.00545425343181,NA,NA
"27","stress_control","Ofaveolata001721",1.84745376793806,-7.29375575129039,-5.35742203873403,NA,NA
"28","stress_control","Ofaveolata001724",1.04708096591179,-4.72030022619376,-4.6303134407294,NA,NA
"29","stress_control","Ofaveolata001725",2.17567740218336,-2.93514894237993,-4.91919284993405,NA,NA
"30","stress_control","Ofaveolata001730",1.46247214699765,-9.20663221321455,-8.16073989883999,NA,NA
"31","stress_control","Ofaveolata001732",1.76588146293915,-7.67214340060936,-7.49911977028659,NA,NA
"32","stress_control","Ofaveolata001733",1.96925646890067,-9.43380639580283,-8.03292107264547,NA,NA
"33","stress_control","Ofaveolata001734",2.574810699973,-13.5128519504807,-11.2743855703508,NA,NA
"34","stress_control","Ofaveolata001805",1.04368674130592,4.96919963413359,4.37334291621952,"Ligand for members of the frizzled family of seven transmembrane receptors","Signal transduction mechanisms"
"35","stress_control","Ofaveolata001887",1.86805427290321,-7.18281619804231,-4.97904885827139,"negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment",NA
"36","stress_control","Ofaveolata001889",1.68408797466061,-6.96012072723714,-4.1831222704389,NA,NA
"37","stress_control","Ofaveolata002017",1.06091909895595,-5.28436205362325,-2.79165139957776,"phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)","Lipid transport and metabolism"
"38","stress_control","Ofaveolata002144",-1.26683937844389,-2.15207458301504,-3.16365855185995,"Transmembrane protein 258",NA
"39","stress_control","Ofaveolata002172",-2.51690119797552,-4.6576239740768,-4.56824916685415,"carboxypeptidase Q",""
"40","stress_control","Ofaveolata002239",1.78115139879824,-5.47152780311962,-1.91060913826921,NA,NA
"41","stress_control","Ofaveolata002242",1.51002695538565,-2.45014672864067,-2.16030357868603,NA,NA
"42","stress_control","Ofaveolata002291",-1.25519986901484,-1.69695843220799,-2.89982910619112,"oxidoreductase activity","Secondary metabolites biosynthesis, transport and catabolism"
"43","stress_control","Ofaveolata002345",1.76768937436145,-12.9318816453366,-9.99169436926238,NA,NA
"44","stress_control","Ofaveolata002376",-1.94042193194724,-5.55248199749502,-3.37636661303034,NA,NA
"45","stress_control","Ofaveolata002478",-2.22384288017756,-1.54428003054541,-1.80795992540466,NA,NA
"46","stress_control","Ofaveolata002551",-2.0366370797396,-1.84475148096015,-4.5003601852622,NA,NA
"47","stress_control","Ofaveolata002574",1.36766913987326,-5.6181349845222,-5.4063772232133,NA,NA
"48","stress_control","Ofaveolata002642",-1.02168384251939,-1.3026684800673,-1.19812961303321,"Fes/CIP4 homology domain","Signal transduction mechanisms"
"49","stress_control","Ofaveolata002736",-1.14802618645639,-1.37026163464691,-1.57306236776869,NA,NA
"50","stress_control","Ofaveolata002772",-2.89245407592868,-3.41085878665141,-2.45251182907225,"Nidogen-like","Extracellular structures"
"51","stress_control","Ofaveolata002790",-1.04716621234019,-6.95143443512314,-9.74234880718195,NA,NA
"52","stress_control","Ofaveolata002794",-1.36493592932428,-7.0796315890871,-6.24307469618433,NA,NA
"53","stress_control","Ofaveolata002898",1.34034448830763,-9.89742588423896,-4.8299217303811,NA,NA
"54","stress_control","Ofaveolata002916",1.5755857857469,-14.6233066935805,-11.1071099940578,NA,NA
"55","stress_control","Ofaveolata002917",5.0667216275031,-1.47843729899139,-1.63614696310867,NA,NA
"56","stress_control","Ofaveolata002981",-1.87771206507038,-3.42168537383887,-4.40913452865236,NA,NA
"57","stress_control","Ofaveolata003085",1.87885383343618,-9.43380639580283,-9.1710580714883,NA,NA
"58","stress_control","Ofaveolata003086",1.74353165027332,-10.5111089372768,-5.6978427745503,"-",""
"59","stress_control","Ofaveolata003181",-3.75842660021377,-2.4473405566847,-2.34815833302056,"neurexin family protein binding","Lipid transport and metabolism"
"60","stress_control","Ofaveolata003229",2.13428114483195,-3.35970342345846,-3.17836227815377,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","Intracellular trafficking, secretion, and vesicular transport"
"61","stress_control","Ofaveolata003232",1.07558027179455,-8.55975422523034,-5.35430749722693,NA,NA
"62","stress_control","Ofaveolata003233",1.1093750216164,-8.17504627163247,-5.94423708178159,NA,NA
"63","stress_control","Ofaveolata003357",-1.64219236817661,-3.01933323608566,-2.46361806696322,"macromolecule localization","Signal transduction mechanisms"
"64","stress_control","Ofaveolata003478",-1.68597606440008,-5.73166418990998,-4.7512853035614,"MMPL family","Signal transduction mechanisms"
"65","stress_control","Ofaveolata003589",1.10487083277868,-4.99691332757335,-2.99052901210526,NA,NA
"66","stress_control","Ofaveolata003639",-3.31154883869411,-1.7702792308156,-6.2272334869438,"ephrin receptor activity","Signal transduction mechanisms"
"67","stress_control","Ofaveolata003645",2.45204698507145,-2.0093427124256,-1.82137907730758,"serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones"
"68","stress_control","Ofaveolata003648",1.4601373712216,-8.26768320584952,-6.94947025567985,"serine-type endopeptidase activity","Posttranslational modification, protein turnover, chaperones"
"69","stress_control","Ofaveolata003661",1.46055299600868,-1.02216475308104,-2.31306136510437,"Belongs to the peptidase M10A family","Posttranslational modification, protein turnover, chaperones"
"70","stress_control","Ofaveolata003751",1.89503270231937,5.1796364386634,3.82335474357055,"Tachylectin",NA
"71","stress_control","Ofaveolata003857",1.63193679214206,-1.14286328773651,-1.01454654433254,NA,NA
"72","stress_control","Ofaveolata003932",-2.50613782739102,-2.17178570308163,-1.22468837136186,"Tissue factor pathway inhibitor","Posttranslational modification, protein turnover, chaperones"
"73","stress_control","Ofaveolata003972",-1.49503236793454,-1.26308136693495,-1.0982787368508,NA,NA
"74","stress_control","Ofaveolata003976",-2.45204698507145,-1.22836556295158,-1.76159064984071,NA,NA
"75","stress_control","Ofaveolata003977",-1.60278987864725,2.90278990719615,1.47686638576201,NA,NA
