"","comparison","gene","lpv.Star_Emerald","lpv.MacN_Emerald","lpv.Star_Rainbow","lpv.MacN_Rainbow","annot","KOG"
"48","urban_reef","Ofaveolata006376",-1.52999482468611,-1.71701541556406,-1.56954177663501,-1.6605291018609,NA,NA
"49","urban_reef","Ofaveolata006440",-2.10749793877397,-1.27535910857537,-2.90207933857807,-1.9442358629806,NA,NA
"50","urban_reef","Ofaveolata006892",1.18954926863897,2.38995558772658,1.39288923494566,2.45648817865622,NA,NA
"51","urban_reef","Ofaveolata007406",-2.49817107246762,-8.58349967282844,-4.13919086012372,-10.7390689565159,NA,NA
"52","urban_reef","Ofaveolata007504",4.21329471312236,4.44532345058884,5.21584572954511,5.45472731884626,"Thrombospondin type 1 repeats","Inorganic ion transport and metabolism"
"53","urban_reef","Ofaveolata007580",1.77388297852053,5.28967669769092,1.56481229031071,4.33715092874533,"BTB/POZ domain","Posttranslational modification, protein turnover, chaperones"
"54","urban_reef","Ofaveolata007703",1.58381415218783,8.98518166514592,2.29687505288402,9.07093128720904,"coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway","Intracellular trafficking, secretion, and vesicular transport"
"55","urban_reef","Ofaveolata007900",1.35111903902596,5.49801530566593,1.07338424649243,4.23667578314352,"L-2-hydroxyglutarate dehydrogenase",NA
"56","urban_reef","Ofaveolata008057",1.46252091299691,4.39497483696001,1.19381489627238,3.41709344645066,"positive regulation of inhibitory postsynaptic potential","Signal transduction mechanisms"
"57","urban_reef","Ofaveolata008630",4.05875745740589,1.58933347102682,6.19742747586798,3.26818006761578,"LicD family",NA
"58","urban_reef","Ofaveolata008648",1.22337088726248,1.35909437885054,1.41400701825246,1.49262103105754,NA,NA
"59","urban_reef","Ofaveolata008922",1.06935531927096,1.42762556494776,1.11137646486914,1.36509825312993,NA,NA
"60","urban_reef","Ofaveolata009131",1.02118023381872,1.95597462845625,1.29696284699425,2.12141812020188,NA,NA
"61","urban_reef","Ofaveolata009424",8.66643550538279,6.75065770455715,2.80346365212832,1.63917625164788,NA,NA
"62","urban_reef","Ofaveolata009609",-1.48207230753248,-1.42656002060062,-3.70692664641712,-3.70188231398701,"RNA binding motif protein","RNA processing and modification"
"63","urban_reef","Ofaveolata010474",1.9716567966481,4.05897441445442,2.23364974482043,3.97085262095041,NA,NA
"64","urban_reef","Ofaveolata010622",1.41532319979056,8.41606814214354,1.4272294557107,7.35046066135761,"Leucine-rich repeat protein",NA
"65","urban_reef","Ofaveolata010679",1.20226353865616,1.0344319297077,1.59931216194084,1.39056539586454,"ZIP Zinc transporter","Inorganic ion transport and metabolism"
"66","urban_reef","Ofaveolata011135",4.58527281626191,3.84191184682872,-1.14596339150317,-3.08647847304004,NA,NA
"67","urban_reef","Ofaveolata011272",1.82051916791253,2.0459141250971,3.15058193966844,3.44243450951355,NA,NA
"68","urban_reef","Ofaveolata011377",1.33672777282185,1.36583484995014,2.6880254045858,2.7213463548003,"heterogeneous nuclear ribonucleoprotein","RNA processing and modification"
"69","urban_reef","Ofaveolata011478",1.41889254485423,4.09197891538925,4.139981493151,8.05151238089418,NA,NA
"70","urban_reef","Ofaveolata012289",1.14693940262371,2.3596491583856,1.27471417366387,2.30207384184723,"dipeptidyl-peptidase activity","Posttranslational modification, protein turnover, chaperones"
"71","urban_reef","Ofaveolata012297",-3.05123814262532,-3.93163448197204,-1.47046119202647,-1.83842965529005,NA,NA
"72","urban_reef","Ofaveolata012351",1.15133011629375,4.02252865427572,1.48173931792671,4.10979104768619,NA,NA
"73","urban_reef","Ofaveolata012490",1.90230127331022,2.00489754699523,1.78600204745861,1.78693050357488,NA,NA
"74","urban_reef","Ofaveolata012651",-1.82172673828501,-1.74046624321148,-2.09678315093067,-1.92725376659715,"zinc ion binding","Posttranslational modification, protein turnover, chaperones"
"75","urban_reef","Ofaveolata012670",-1.57446501397831,-6.20446625209209,-2.32672204569164,-6.94385558905683,NA,NA
"76","urban_reef","Ofaveolata012682",-3.14686310370803,-8.91734477707871,-1.06213590227183,-4.1028325871203,NA,NA
"77","urban_reef","Ofaveolata012800",2.18801006861252,3.28688418310995,1.3299864357028,1.94520723785068,NA,NA
"78","urban_reef","Ofaveolata012823",-1.40051576098635,-15.9012032904352,-2.44840944946466,-17.1129245642867,"SCY1-like protein 2","Signal transduction mechanisms"
"79","urban_reef","Ofaveolata012950",2.7827847298836,2.18037504139957,1.55618063609994,1.05970188153162,"cationic amino acid transporter","Amino acid transport and metabolism"
"80","urban_reef","Ofaveolata013242",-4.30469521546041,-1.14643281231693,-6.88396091451506,-2.95276124885165,NA,NA
"81","urban_reef","Ofaveolata013317",1.63173583990976,5.18824498771231,1.18470620550661,3.71527412030319,NA,NA
"82","urban_reef","Ofaveolata013427",-2.21670909644239,-5.62831940709437,-1.81981216715721,-4.40297850457221,"Metalloendopeptidase activity. It is involved in the biological process described with proteolysis","Amino acid transport and metabolism"
"83","urban_reef","Ofaveolata013458",1.5584995169569,5.40635142101561,2.3520782454276,6.23401905755653,"thyroid hormone transmembrane transporter activity","Carbohydrate transport and metabolism"
"84","urban_reef","Ofaveolata014240",-6.96923142067894,-5.80761300380466,-3.04348430510063,-1.881244094249,NA,NA
"85","urban_reef","Ofaveolata014903",1.49482918099824,3.32936798733098,1.47292488957632,2.9677436989605,"G-protein coupled receptor activity","Posttranslational modification, protein turnover, chaperones"
"86","urban_reef","Ofaveolata014934",-2.53156900211564,-3.00983828302569,-2.44840944946466,-2.76168943299427,NA,NA
"87","urban_reef","Ofaveolata015576",-1.09268107434342,-1.7414779795084,-1.88047754012755,-2.58876169545136,"myosin light chain kinase activity","Signal transduction mechanisms"
