"row_label","comparison","gene","lpv.LC_CC","lpv.CH_CC","annot","KOG","lpv_x","lpv_y","rel_class","abs_x","abs_y","delta_log10p","p_x","p_y","p_ratio","x_axis_name","y_axis_name","x_col","y_col","filter_type","relationship_category","discord_direction","delta_cut_used","high_cut_used","low_cut_used","ratio_cut_used","lpv.LH_CC"
"OA+Bleaching vs OA_114","OA+Bleaching vs OA","Ofaveolata022506",3.31154883869411,NA,"metalloendopeptidase activity","Posttranslational modification, protein turnover, chaperones",3.31154883869411,-2.1243504942476,"Inverse",3.31154883869411,2.1243504942476,1.18719834444651,0.000488035216039822,0.0075101654685793,15.3885728360359,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.1243504942476
"OA+Bleaching vs OA_115","OA+Bleaching vs OA","Ofaveolata022639",1.76588146293915,NA,"carbohydrate binding","Posttranslational modification, protein turnover, chaperones",1.76588146293915,-4.28288938169571,"Inverse",1.76588146293915,4.28288938169571,2.51700791875656,0.0171442518172531,5.21327480506034e-05,328.857627083302,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-4.28288938169571
"OA+Bleaching vs OA_116","OA+Bleaching vs OA","Ofaveolata022899",1.06751075634772,NA,NA,NA,1.06751075634772,-1.67407006201049,"Inverse",1.06751075634772,1.67407006201049,0.606559305662763,0.0856030509802422,0.0211801942086959,4.04165562113196,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.67407006201049
"OA+Bleaching vs OA_117","OA+Bleaching vs OA","Ofaveolata023024",1.2548796197774,NA,"Isocitrate lyase family","Energy production and conversion",1.2548796197774,-2.74917504326312,"Inverse",1.2548796197774,2.74917504326312,1.49429542348572,0.0556058367342013,0.00178166052086142,31.2101189217103,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.74917504326312
"OA+Bleaching vs OA_118","OA+Bleaching vs OA","Ofaveolata024079",-1.50699431576785,NA,"RNA-directed 5'-3' RNA polymerase activity","Translation, ribosomal structure and biogenesis",-1.50699431576785,1.75289147475628,"Inverse",1.50699431576785,1.75289147475628,0.245897158988434,0.0311175706484846,0.0176647918856366,1.76155885956328,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,1.75289147475628
"OA+Bleaching vs OA_119","OA+Bleaching vs OA","Ofaveolata024342",1.06824013633952,NA,"Animal haem peroxidase","Signal transduction mechanisms",1.06824013633952,-2.87604642707143,"Inverse",1.06824013633952,2.87604642707143,1.8078062907319,0.0854594047811158,0.00133031219696596,64.2401121902236,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-2.87604642707143
"OA+Bleaching vs OA_120","OA+Bleaching vs OA","Ofaveolata024492",1.17150471047353,NA,NA,NA,1.17150471047353,-1.97093498497911,"Inverse",1.17150471047353,1.97093498497911,0.799430274505581,0.0673744587817854,0.0106921493151661,6.30130171173529,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-1.97093498497911
"OA+Bleaching vs OA_121","OA+Bleaching vs OA","Ofaveolata025102",1.26003627448395,NA,"cellular response to nitroglycerin","Transcription",1.26003627448395,-3.94874093477431,"Inverse",1.26003627448395,3.94874093477431,2.68870466029035,0.0549494975325737,0.000112527602314589,488.320166806306,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.94874093477431
"OA+Bleaching vs OA_122","OA+Bleaching vs OA","Ofaveolata025187",1.54290208624802,NA,"-","",1.54290208624802,-3.81233488209309,"Inverse",1.54290208624802,3.81233488209309,2.26943279584507,0.0286482378522075,0.000154051211440535,185.965677155781,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-3.81233488209309
"OA+Bleaching vs OA_123","OA+Bleaching vs OA","Ofaveolata025189",1.46844551335222,NA,"structural constituent of cuticle","Cell cycle control, cell division, chromosome partitioning",1.46844551335222,-7.79639104844407,"Inverse",1.46844551335222,7.79639104844407,6.32794553509184,0.0340059166999573,1.59811839910138e-08,2127872.17261742,"OA","OA + Bleaching","lpv.LC_CC","lpv.LH_CC","inverse","Inverse",NA,NA,NA,NA,NA,-7.79639104844407
