"","Df","SumOfSqs","R2","F","Pr(>F)"
"site",3,2106310905.08603,0.132291686880489,3.21743676315743,9.99999000001e-07
"treat",3,1338460187.81096,0.0840650616394435,2.04452771140627,0.00026999973000027
"site:treat",9,1566030859.21001,0.0983581595535315,0.797382324786399,0.982993017006983
"Residual",50,10910915842.5178,0.685285091926535,NA,NA
"Total",65,15921717794.6248,1,NA,NA
