"","count","treat"
"Ssid_001",1.58047956127281,"CC"
"Ssid_002",1.42649108902033,"CC"
"Ssid_003",1.45014295401049,"CC"
"Ssid_004",7.92300837514721,"CC"
"Ssid_005",21.4397309462228,"CC"
"Ssid_006",0.5,"CC"
"Ssid_007",3.89461346636801,"CC"
"Ssid_008",0.5,"CC"
"Ssid_009",0.5,"CC"
"Ssid_010",3.65565454292218,"CC"
"Ssid_011",5.20828088611572,"CC"
"Ssid_012",1.36188484585294,"CC"
"Ssid_013",1.61282092000337,"CC"
"Ssid_014",7.50144476923772,"CC"
"Ssid_015",1.79693484483598,"CC"
"Ssid_016",1.03498255256419,"CC"
"Ssid_017",3.57007490035721,"CC"
"Ssid_018",1.14848868257061,"CC"
"Ssid_019",3.39211366640214,"CC"
"Ssid_020",2.25762455666115,"CH"
"Ssid_021",7.06926751118791,"CH"
"Ssid_022",3.11734455446846,"CH"
"Ssid_023",4.59639511945015,"CH"
"Ssid_024",21.7534560203024,"CH"
"Ssid_025",3.32287967826106,"CH"
"Ssid_026",4.02559939840742,"CH"
"Ssid_027",3.69548452437181,"CH"
"Ssid_028",1.95050978613263,"CH"
"Ssid_029",7.54855963276809,"CH"
"Ssid_030",11.2732685143086,"CH"
"Ssid_031",1.54157709950044,"CH"
"Ssid_032",15.8529540151012,"CH"
"Ssid_033",4.72096887342884,"CH"
"Ssid_035",1.5077235234469,"CH"
"Ssid_036",14.9519468097048,"CH"
"Ssid_037",8.51178690412249,"CH"
"Ssid_038",8.10117679063094,"CH"
"Ssid_039",7.88162361210754,"CH"
"Ssid_040",3.10743703851895,"LC"
"Ssid_041",4.80379895393659,"LC"
"Ssid_042",5.37281889323546,"LC"
"Ssid_043",4.65326208519847,"LC"
"Ssid_044",32.3814683425088,"LC"
"Ssid_045",0.5,"LC"
"Ssid_046",3.43689552628095,"LC"
"Ssid_047",3.30761242417305,"LC"
"Ssid_048",0.5,"LC"
"Ssid_049",4.29565631505833,"LC"
"Ssid_050",2.35769943361575,"LC"
"Ssid_051",0.5,"LC"
"Ssid_052",5.06120515358736,"LC"
"Ssid_053",3.88037231375478,"LC"
"Ssid_054",0.5,"LC"
"Ssid_055",0.5,"LC"
"Ssid_056",4.96901394147189,"LC"
"Ssid_057",2.69613794815559,"LC"
"Ssid_058",4.43709204279444,"LC"
"Ssid_059",0.5,"LC"
"Ssid_060",3.38533968765653,"LH"
"Ssid_061",6.60156267246326,"LH"
"Ssid_062",5.04990150542779,"LH"
"Ssid_063",6.19741154384165,"LH"
"Ssid_064",19.4811894909785,"LH"
"Ssid_065",18.9901569745872,"LH"
"Ssid_066",10.616141650862,"LH"
"Ssid_067",8.89490389430966,"LH"
"Ssid_068",2.6941579562244,"LH"
"Ssid_069",2.26201593351591,"LH"
"Ssid_070",2.74879473838201,"LH"
"Ssid_071",2.28372415572476,"LH"
"Ssid_072",12.5176689798728,"LH"
"Ssid_073",2.03478565042351,"LH"
"Ssid_074",15.032737923611,"LH"
"Ssid_075",1.43840382724049,"LH"
"Ssid_077",9.13384277263002,"LH"
"Ssid_078",3.75929004261732,"LH"
"Ssid_079",3.06451855134248,"LH"
