"","count","treat"
"Ssid_001",223.619029402834,"CC"
"Ssid_002",160.782958400518,"CC"
"Ssid_003",256.088454628821,"CC"
"Ssid_004",875.884773383432,"CC"
"Ssid_005",372.488161515251,"CC"
"Ssid_006",692.831878129099,"CC"
"Ssid_007",229.07064006878,"CC"
"Ssid_008",294.924389826838,"CC"
"Ssid_009",330.472173434238,"CC"
"Ssid_010",74.9734472129635,"CC"
"Ssid_011",543.129372124837,"CC"
"Ssid_012",92.7216785062642,"CC"
"Ssid_013",345.474485201044,"CC"
"Ssid_014",539.611247231304,"CC"
"Ssid_015",294.904209777767,"CC"
"Ssid_016",208.60821294747,"CC"
"Ssid_017",98.7423968114306,"CC"
"Ssid_018",286.483509013637,"CC"
"Ssid_019",223.192752312965,"CC"
"Ssid_020",237.779315149256,"CH"
"Ssid_021",434.071655738402,"CH"
"Ssid_022",213.377357096768,"CH"
"Ssid_023",190.754795547796,"CH"
"Ssid_024",236.011269414162,"CH"
"Ssid_025",263.027810078278,"CH"
"Ssid_026",133.465463025651,"CH"
"Ssid_027",291.289091717835,"CH"
"Ssid_028",283.349408295862,"CH"
"Ssid_029",693.272718192064,"CH"
"Ssid_030",506.843620172505,"CH"
"Ssid_031",482.229408518956,"CH"
"Ssid_032",315.235557309574,"CH"
"Ssid_033",488.725399693269,"CH"
"Ssid_035",450.952414980765,"CH"
"Ssid_036",301.582225202183,"CH"
"Ssid_037",288.92432854841,"CH"
"Ssid_038",411.80812189303,"CH"
"Ssid_039",290.023681674885,"CH"
"Ssid_040",481.572133606746,"LC"
"Ssid_041",596.576155120218,"LC"
"Ssid_042",434.180881497956,"LC"
"Ssid_043",467.741984584828,"LC"
"Ssid_044",709.393825498137,"LC"
"Ssid_045",393.573012199391,"LC"
"Ssid_046",466.487423503244,"LC"
"Ssid_047",366.19151824854,"LC"
"Ssid_048",418.343814002972,"LC"
"Ssid_049",705.226855829164,"LC"
"Ssid_050",479.786453872864,"LC"
"Ssid_051",511.591776569499,"LC"
"Ssid_052",526.558994380408,"LC"
"Ssid_053",447.55423849407,"LC"
"Ssid_054",492.308713380368,"LC"
"Ssid_055",456.651535333977,"LC"
"Ssid_056",400.476747761734,"LC"
"Ssid_057",292.586347104693,"LC"
"Ssid_058",480.825229220921,"LC"
"Ssid_059",502.614553610871,"LC"
"Ssid_060",486.96827133889,"LH"
"Ssid_061",371.475010485766,"LH"
"Ssid_062",188.183437098897,"LH"
"Ssid_063",416.411042700441,"LH"
"Ssid_064",462.375610947142,"LH"
"Ssid_065",319.45520781163,"LH"
"Ssid_066",438.023126399783,"LH"
"Ssid_067",516.405002959394,"LH"
"Ssid_068",327.429535477436,"LH"
"Ssid_069",500.912525118518,"LH"
"Ssid_070",449.13455030721,"LH"
"Ssid_071",463.673705769861,"LH"
"Ssid_072",312.959393476692,"LH"
"Ssid_073",325.362962672977,"LH"
"Ssid_074",382.71100739097,"LH"
"Ssid_075",258.561052491134,"LH"
"Ssid_077",312.888129409704,"LH"
"Ssid_078",288.947168771633,"LH"
"Ssid_079",200.532447004714,"LH"
