"","count","treat"
"Ssid_001",16.1669536384557,"CC"
"Ssid_002",18.1033306913863,"CC"
"Ssid_003",22.3532879422412,"CC"
"Ssid_004",20.6481655896853,"CC"
"Ssid_005",17.744484308654,"CC"
"Ssid_006",19.8208896222074,"CC"
"Ssid_007",19.1703740650241,"CC"
"Ssid_008",19.7777874291382,"CC"
"Ssid_009",18.9104646122107,"CC"
"Ssid_010",18.1716654403642,"CC"
"Ssid_011",33.45796620281,"CC"
"Ssid_012",28.9421999131469,"CC"
"Ssid_013",33.884627600101,"CC"
"Ssid_014",17.3034674461705,"CC"
"Ssid_015",17.3601529828677,"CC"
"Ssid_016",17.0844591294899,"CC"
"Ssid_017",12.7802996014288,"CC"
"Ssid_018",18.657683111977,"CC"
"Ssid_019",19.5879501982542,"CC"
"Ssid_020",9.28812278330576,"CH"
"Ssid_021",11.6677547690195,"CH"
"Ssid_022",16.2040673268108,"CH"
"Ssid_023",14.1546503981672,"CH"
"Ssid_024",12.5627723358473,"CH"
"Ssid_025",4.73431951739158,"CH"
"Ssid_026",10.5731411383069,"CH"
"Ssid_027",7.80396462713557,"CH"
"Ssid_028",15.0050978613263,"CH"
"Ssid_029",19.6318047175134,"CH"
"Ssid_030",15.120864412276,"CH"
"Ssid_031",15.0820793930062,"CH"
"Ssid_032",15.8529540151012,"CH"
"Ssid_033",25.8258132405731,"CH"
"Ssid_035",14.6081293282566,"CH"
"Ssid_036",14.9519468097048,"CH"
"Ssid_037",16.523573808245,"CH"
"Ssid_038",13.1686279843849,"CH"
"Ssid_039",17.7237884282509,"CH"
"Ssid_040",21.3594963081516,"LC"
"Ssid_041",12.3354471233256,"LC"
"Ssid_042",22.7757435119335,"LC"
"Ssid_043",26.803993206257,"LC"
"Ssid_044",4.25076098147162,"LC"
"Ssid_045",4.74943796972314,"LC"
"Ssid_046",23.9951642102476,"LC"
"Ssid_047",27.172318029644,"LC"
"Ssid_048",18.4235952387334,"LC"
"Ssid_049",28.3348129770945,"LC"
"Ssid_050",30.223190937852,"LC"
"Ssid_051",18.3547345526463,"LC"
"Ssid_052",15.7040171786245,"LC"
"Ssid_053",20.7822338825287,"LC"
"Ssid_054",16.768481613091,"LC"
"Ssid_055",17.3321599754235,"LC"
"Ssid_056",18.3760557658875,"LC"
"Ssid_057",19.5331955506818,"LC"
"Ssid_058",24.9099706653255,"LC"
"Ssid_059",15.437046217257,"LC"
"Ssid_060",14.3496305007513,"LH"
"Ssid_061",21.2453130863751,"LH"
"Ssid_062",19.8370813980681,"LH"
"Ssid_063",21.8652932894062,"LH"
"Ssid_064",21.8538381773508,"LH"
"Ssid_065",15.9084641454894,"LH"
"Ssid_066",33.3774603653016,"LH"
"Ssid_067",23.3951924390264,"LH"
"Ssid_068",15.8591056935708,"LH"
"Ssid_069",11.9531035678534,"LH"
"Ssid_070",18.4903579070561,"LH"
"Ssid_071",15.364367964373,"LH"
"Ssid_072",31.7459393476692,"LH"
"Ssid_073",18.4058325882743,"LH"
"Ssid_074",22.2991068854165,"LH"
"Ssid_075",22.0832880265312,"LH"
"Ssid_077",11.4885271651655,"LH"
"Ssid_078",2.12964502130866,"LH"
"Ssid_079",15.8871113080549,"LH"
