"","count","treat"
"Ssid_001",4.82191824509122,"CC"
"Ssid_002",2.35298217804067,"CC"
"Ssid_003",0.5,"CC"
"Ssid_004",7.92300837514721,"CC"
"Ssid_005",4.19524663756872,"CC"
"Ssid_006",10.1604448111037,"CC"
"Ssid_007",7.85499584379736,"CC"
"Ssid_008",4.00505225984331,"CC"
"Ssid_009",7.58094792777334,"CC"
"Ssid_010",3.02452363433775,"CC"
"Ssid_011",6.38535110764465,"CC"
"Ssid_012",7.39507876682349,"CC"
"Ssid_013",12.741030120037,"CC"
"Ssid_014",3.30057790769509,"CC"
"Ssid_015",1.79693484483598,"CC"
"Ssid_016",3.17491276282096,"CC"
"Ssid_017",3.57007490035721,"CC"
"Ssid_018",5.68790946056485,"CC"
"Ssid_019",3.97053639968257,"CC"
"Ssid_020",4.0152491133223,"CH"
"Ssid_021",24.1493630402765,"CH"
"Ssid_022",9.22448184822821,"CH"
"Ssid_023",8.6927902389003,"CH"
"Ssid_024",5.09534184222755,"CH"
"Ssid_025",8.96863903478317,"CH"
"Ssid_026",8.05485585373019,"CH"
"Ssid_027",4.15198231356779,"CH"
"Ssid_028",3.40101957226525,"CH"
"Ssid_029",4.52774836158177,"CH"
"Ssid_030",10.5037493347151,"CH"
"Ssid_031",9.35340534575378,"CH"
"Ssid_032",15.8529540151012,"CH"
"Ssid_033",4.72096887342884,"CH"
"Ssid_035",18.6390234220442,"CH"
"Ssid_036",2.90865780161746,"CH"
"Ssid_037",5.3070721424735,"CH"
"Ssid_038",8.94575198958994,"CH"
"Ssid_039",11.982525618834,"CH"
"Ssid_040",5.7148740770379,"LC"
"Ssid_041",6.95569843090488,"LC"
"Ssid_042",5.37281889323546,"LC"
"Ssid_043",3.96105173766539,"LC"
"Ssid_044",4.25076098147162,"LC"
"Ssid_045",0.5,"LC"
"Ssid_046",11.2686169296968,"LC"
"Ssid_047",2.60570931812979,"LC"
"Ssid_048",3.30056175605209,"LC"
"Ssid_049",0.5,"LC"
"Ssid_050",4.2153988672315,"LC"
"Ssid_051",0.5,"LC"
"Ssid_052",6.58160687144981,"LC"
"Ssid_053",6.41565154907087,"LC"
"Ssid_054",0.5,"LC"
"Ssid_055",2.18321599754235,"LC"
"Ssid_056",4.96901394147189,"LC"
"Ssid_057",1.96409196543706,"LC"
"Ssid_058",4.43709204279444,"LC"
"Ssid_059",1.64900355517362,"LC"
"Ssid_060",7.42481525037566,"LH"
"Ssid_061",7.82187520695591,"LH"
"Ssid_062",5.04990150542779,"LH"
"Ssid_063",14.7435288596041,"LH"
"Ssid_064",11.5723605364041,"LH"
"Ssid_065",8.20423207274468,"LH"
"Ssid_066",5.55807082543102,"LH"
"Ssid_067",12.7107693008141,"LH"
"Ssid_068",11.470789781122,"LH"
"Ssid_069",7.54806373406364,"LH"
"Ssid_070",4.99758947676401,"LH"
"Ssid_071",8.22947134147394,"LH"
"Ssid_072",5.30706759194911,"LH"
"Ssid_073",5.61595216807838,"LH"
"Ssid_074",2.67991068854165,"LH"
"Ssid_075",2.37680765448098,"LH"
"Ssid_077",2.85468439253546,"LH"
"Ssid_078",5.38893506392598,"LH"
"Ssid_079",8.19355565402745,"LH"
